카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2020년04월_계_총인구수,"1,068,519","254,483","32,997","25,801","20,124","23,265","8,222","8,458","18,341","24,300","43,969","35,791","13,215","439,725","39,099","30,761","17,166","42,259","13,523","33,514","21,125","25,515","39,521","32,473","32,921","27,378","23,027","24,952","36,491","374,311","36,780","42,224","38,345","57,165","18,696","47,964","49,081","34,364","49,692"
2020년04월_계_연령구간인구수,"1,068,519","254,483","32,997","25,801","20,124","23,265","8,222","8,458","18,341","24,300","43,969","35,791","13,215","439,725","39,099","30,761","17,166","42,259","13,523","33,514","21,125","25,515","39,521","32,473","32,921","27,378","23,027","24,952","36,491","374,311","36,780","42,224","38,345","57,165","18,696","47,964","49,081","34,364","49,692"
2020년04월_계_0~9세,"104,429","21,861","2,435","2,004","1,640","3,163",361,238,"1,324","1,614","5,029","3,307",746,"44,819","3,554","3,682","1,905","4,482","1,034","3,239","1,961","3,300","3,551","2,852","3,712","2,812","3,036","2,131","3,568","37,749","2,910","4,952","3,738","5,432","1,583","5,656","4,955","3,515","5,008"
2020년04월_계_10~19세,"122,169","25,019","3,793","2,349","1,824","1,753",563,500,"1,812","2,221","4,516","4,480","1,208","51,347","3,750","3,581","1,291","3,535","1,348","4,358","2,169","2,414","4,923","3,101","5,730","4,745","2,963","2,889","4,550","45,803","3,866","5,885","5,349","7,289","1,631","5,230","6,335","4,301","5,917"
2020년04월_계_20~29세,"134,919","33,624","4,634","3,222","2,099","2,022",755,837,"2,239","4,342","6,774","4,803","1,897","55,330","5,195","3,698","2,399","6,624","1,949","3,964","2,454","4,690","4,274","4,079","3,415","3,032","2,165","3,351","4,041","45,965","5,454","5,003","4,073","7,677","2,837","5,421","6,334","3,882","5,284"
2020년04월_계_30~39세,"148,801","34,374","4,023","3,168","2,367","4,314",742,762,"2,275","3,131","7,472","4,664","1,456","61,691","6,367","4,969","3,182","8,172","1,937","4,084","2,808","4,728","4,477","4,255","3,568","2,615","3,228","2,935","4,366","52,736","6,187","6,453","4,194","7,268","3,381","7,880","6,983","4,542","5,848"
2020년04월_계_40~49세,"200,923","43,342","6,040","4,346","3,397","3,880","1,096","1,031","3,039","3,894","7,680","6,862","2,077","84,701","6,815","6,121","2,700","7,126","2,444","6,606","3,813","4,344","7,891","5,461","8,042","6,430","4,924","4,612","7,372","72,880","6,317","9,142","8,147","11,174","3,088","9,280","9,498","6,661","9,573"
2020년04월_계_50~59세,"160,852","42,670","5,719","4,584","3,692","3,183","1,623","1,690","3,326","4,148","6,212","5,896","2,597","64,463","6,113","4,630","2,686","6,359","2,257","4,923","3,392","3,191","5,643","4,992","4,311","4,043","2,593","4,245","5,085","53,719","5,423","5,669","5,607","8,495","2,876","6,650","6,956","4,954","7,089"
2020년04월_계_60~69세,"101,577","29,496","3,453","3,411","2,743","2,767","1,600","1,709","2,426","2,772","3,590","3,150","1,875","39,652","3,843","2,450","1,575","3,376","1,218","3,264","2,505","1,706","4,213","3,689","2,029","1,878","1,908","2,561","3,437","32,429","3,321","2,372","3,360","4,904","1,733","4,391","4,015","3,006","5,327"
2020년04월_계_70~79세,"64,420","15,688","1,871","1,819","1,481","1,502",923,959,"1,171","1,422","1,830","1,773",937,"25,796","2,333","1,118",748,"1,833",913,"2,160","1,400",783,"3,133","2,781","1,443","1,233","1,572","1,498","2,848","22,936","2,245","1,749","2,748","3,293","1,035","2,477","2,779","2,473","4,137"
