,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2020년12월_계_총인구수,"36,313","11,040","6,248","2,371","1,124","1,489",529,921,"1,736","6,381","2,786","1,688"
2020년12월_계_연령구간인구수,"36,313","11,040","6,248","2,371","1,124","1,489",529,921,"1,736","6,381","2,786","1,688"
2020년12월_계_0~9세,"1,675",809,230,55,16,35,8,30,40,351,75,26
2020년12월_계_10~19세,"2,117",937,302,63,40,38,16,32,75,443,124,47
2020년12월_계_20~29세,"2,425",946,438,131,45,74,18,45,88,474,112,54
2020년12월_계_30~39세,"2,406","1,026",390,110,46,56,12,33,76,473,124,60
2020년12월_계_40~49세,"3,873","1,573",679,180,64,111,29,83,166,674,208,106
2020년12월_계_50~59세,"6,165","1,853","1,140",404,185,272,80,142,301,"1,095",446,247
2020년12월_계_60~69세,"7,410","1,827","1,384",557,274,371,140,188,419,"1,207",625,418
2020년12월_계_70~79세,"5,909","1,224","1,075",481,242,306,139,200,363,929,555,395
2020년12월_계_80~89세,"3,780",717,541,337,182,197,78,152,191,633,459,293
2020년12월_계_90~99세,523,118,67,52,28,28,9,14,17,99,56,35
2020년12월_계_100세 이상,30,10,2,1,2,1,0,2,0,3,2,7
2020년12월_남_총인구수,"17,197","5,279","2,942","1,146",503,738,247,437,818,"2,949","1,306",832
2020년12월_남_연령구간인구수,"17,197","5,279","2,942","1,146",503,738,247,437,818,"2,949","1,306",832
2020년12월_남_0~9세,831,391,123,30,10,20,3,17,24,160,41,12
2020년12월_남_10~19세,"1,089",465,169,38,22,22,8,17,42,226,57,23
2020년12월_남_20~29세,"1,407",548,253,79,23,47,11,26,49,273,65,33
2020년12월_남_30~39세,"1,238",499,213,58,28,30,8,16,45,234,70,37
2020년12월_남_40~49세,"2,151",795,387,119,27,74,23,52,96,363,142,73
2020년12월_남_50~59세,"3,274",996,579,234,106,151,46,85,154,549,242,132
2020년12월_남_60~69세,"3,537",850,642,282,143,191,62,87,195,558,309,218
2020년12월_남_70~79세,"2,380",485,407,189,89,130,57,90,149,378,225,181
2020년12월_남_80~89세,"1,188",224,160,107,51,64,28,43,57,197,144,113
2020년12월_남_90~99세,95,23,8,10,4,9,1,3,7,11,11,8
2020년12월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2020년12월_여_총인구수,"19,116","5,761","3,306","1,225",621,751,282,484,918,"3,432","1,480",856
2020년12월_여_연령구간인구수,"19,116","5,761","3,306","1,225",621,751,282,484,918,"3,432","1,480",856
2020년12월_여_0~9세,844,418,107,25,6,15,5,13,16,191,34,14
2020년12월_여_10~19세,"1,028",472,133,25,18,16,8,15,33,217,67,24
2020년12월_여_20~29세,"1,018",398,185,52,22,27,7,19,39,201,47,21
2020년12월_여_30~39세,"1,168",527,177,52,18,26,4,17,31,239,54,23
2020년12월_여_40~49세,"1,722",778,292,61,37,37,6,31,70,311,66,33
2020년12월_여_50~59세,"2,891",857,561,170,79,121,34,57,147,546,204,115
2020년12월_여_60~69세,"3,873",977,742,275,131,180,78,101,224,649,316,200
2020년12월_여_70~79세,"3,529",739,668,292,153,176,82,110,214,551,330,214
2020년12월_여_80~89세,"2,592",493,381,230,131,133,50,109,134,436,315,180
2020년12월_여_90~99세,428,95,59,42,24,19,8,11,10,88,45,27
2020년12월_여_100세 이상,23,7,1,1,2,1,0,1,0,3,2,5
