카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년08월_계_총인구수,"657,250","255,532","24,268","4,100","4,295","4,349","3,129","2,262","6,082","2,088","5,372","4,304","8,649","9,223","18,084","23,137","44,507","55,119","36,564","401,718","23,885","21,614","19,998","8,464","17,240","25,741","13,787","37,458","18,797","40,466","70,087","46,903","57,278"
2021년08월_계_연령구간인구수,"657,250","255,532","24,268","4,100","4,295","4,349","3,129","2,262","6,082","2,088","5,372","4,304","8,649","9,223","18,084","23,137","44,507","55,119","36,564","401,718","23,885","21,614","19,998","8,464","17,240","25,741","13,787","37,458","18,797","40,466","70,087","46,903","57,278"
2021년08월_계_0~9세,"59,855","19,346","1,593",115,115,122,74,48,238,23,174,162,396,268,"1,074","2,037","4,409","5,721","2,777","40,509","1,109","1,725","1,376",276,865,921,806,"3,226","1,334","5,425","10,301","3,966","9,179"
2021년08월_계_10~19세,"67,753","25,696","2,608",229,185,227,154,82,358,69,272,223,655,638,"1,413","3,160","5,768","6,967","2,688","42,057","2,180","2,331","1,857",519,"1,121","1,243","1,196","4,835","2,326","5,652","9,542","4,079","5,176"
2021년08월_계_20~29세,"95,438","34,738","2,860",377,352,391,228,174,756,132,543,638,"1,051","1,143","2,830","2,700","6,090","6,900","7,573","60,700","2,780","2,549","2,496",886,"2,546","6,498","2,383","5,949","2,605","5,085","8,686","10,183","8,054"
2021년08월_계_30~39세,"102,712","32,026","2,436",318,289,328,183,165,542,90,495,573,831,838,"2,484","2,431","6,562","7,957","5,504","70,686","2,025","2,674","2,683",694,"2,506","5,583","1,829","4,907","2,249","6,622","14,176","9,375","15,363"
2021년08월_계_40~49세,"111,426","41,920","4,336",437,418,506,315,232,727,166,643,574,"1,185","1,300","2,892","4,310","8,846","10,078","4,955","69,506","3,593","4,075","3,642","1,040","2,568","3,786","1,882","6,568","3,076","7,878","14,226","7,476","9,696"
2021년08월_계_50~59세,"103,088","43,183","4,515",740,836,839,583,412,"1,134",405,"1,016",728,"1,710","1,784","3,223","4,017","6,944","8,459","5,838","59,905","4,225","3,714","3,547","1,756","3,251","3,605","2,450","6,677","3,535","5,662","8,852","6,752","5,879"
2021년08월_계_60~69세,"68,506","33,412","3,224",968,"1,087","1,015",788,531,"1,190",545,"1,197",817,"1,544","1,688","2,562","2,590","3,653","5,546","4,467","35,094","4,053","2,636","2,495","1,702","2,562","2,591","2,051","3,412","2,150","2,752","2,938","3,103","2,649"
2021년08월_계_70~79세,"30,458","15,649","1,611",532,560,506,455,340,644,352,663,383,820,982,"1,073","1,236","1,390","2,260","1,842","14,809","2,448","1,194","1,165",946,"1,249","1,006",777,"1,224",927,910,860,"1,281",822
