카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년01월_계_총인구수,"52,204","24,906","1,796","1,885","2,809","1,619","1,671",884,"1,444","1,153","1,010","3,622","1,797","3,182","4,426"
2020년01월_계_연령구간인구수,"52,204","24,906","1,796","1,885","2,809","1,619","1,671",884,"1,444","1,153","1,010","3,622","1,797","3,182","4,426"
2020년01월_계_0~9세,"2,889","2,112",53,32,115,28,30,20,31,34,27,158,22,70,157
2020년01월_계_10~19세,"4,157","2,654",93,102,188,71,66,35,72,71,34,263,51,152,305
2020년01월_계_20~29세,"4,128","2,339",88,98,254,98,95,49,103,77,59,289,94,188,297
2020년01월_계_30~39세,"4,312","2,670",96,104,194,68,81,37,79,54,40,270,90,188,341
2020년01월_계_40~49세,"6,718","3,908",184,156,343,147,138,54,142,78,75,417,187,301,588
2020년01월_계_50~59세,"9,300","4,311",318,304,514,298,301,132,284,193,191,649,356,613,836
2020년01월_계_60~69세,"9,237","3,542",436,439,556,341,364,192,282,254,214,770,382,689,776
2020년01월_계_70~79세,"6,816","2,159",328,381,398,313,322,210,234,184,197,494,363,582,651
2020년01월_계_80~89세,"4,045","1,059",173,235,206,225,235,134,190,174,148,273,222,345,426
2020년01월_계_90~99세,589,144,27,34,41,30,39,21,26,33,24,39,30,53,48
2020년01월_계_100세 이상,13,8,0,0,0,0,0,0,1,1,1,0,0,1,1
2020년01월_남_총인구수,"26,174","12,460",920,926,"1,469",792,850,389,704,565,502,"1,773",906,"1,631","2,287"
2020년01월_남_연령구간인구수,"26,174","12,460",920,926,"1,469",792,850,389,704,565,502,"1,773",906,"1,631","2,287"
2020년01월_남_0~9세,"1,471","1,077",31,19,58,17,16,10,11,18,11,71,9,35,88
2020년01월_남_10~19세,"2,245","1,452",53,48,101,36,34,17,34,42,19,132,26,83,168
2020년01월_남_20~29세,"2,418","1,333",52,62,159,66,57,26,66,45,36,165,56,110,185
2020년01월_남_30~39세,"2,349","1,377",62,65,110,30,50,19,52,34,27,136,58,127,202
2020년01월_남_40~49세,"3,759","2,044",117,104,205,86,85,29,88,49,45,228,114,198,367
2020년01월_남_50~59세,"5,015","2,212",176,172,290,152,175,69,157,102,116,339,214,354,487
2020년01월_남_60~69세,"4,615","1,704",229,203,286,192,198,87,147,136,116,403,199,353,362
2020년01월_남_70~79세,"2,968",906,148,166,184,132,160,90,95,76,82,218,159,268,284
2020년01월_남_80~89세,"1,220",328,48,80,66,75,61,39,52,55,45,75,68,92,136
2020년01월_남_90~99세,110,24,4,7,10,6,14,3,2,8,4,6,3,11,8
2020년01월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년01월_여_총인구수,"26,030","12,446",876,959,"1,340",827,821,495,740,588,508,"1,849",891,"1,551","2,139"
2020년01월_여_연령구간인구수,"26,030","12,446",876,959,"1,340",827,821,495,740,588,508,"1,849",891,"1,551","2,139"
2020년01월_여_0~9세,"1,418","1,035",22,13,57,11,14,10,20,16,16,87,13,35,69
2020년01월_여_10~19세,"1,912","1,202",40,54,87,35,32,18,38,29,15,131,25,69,137
2020년01월_여_20~29세,"1,710","1,006",36,36,95,32,38,23,37,32,23,124,38,78,112
2020년01월_여_30~39세,"1,963","1,293",34,39,84,38,31,18,27,20,13,134,32,61,139
2020년01월_여_40~49세,"2,959","1,864",67,52,138,61,53,25,54,29,30,189,73,103,221
2020년01월_여_50~59세,"4,285","2,099",142,132,224,146,126,63,127,91,75,310,142,259,349
2020년01월_여_60~69세,"4,622","1,838",207,236,270,149,166,105,135,118,98,367,183,336,414
2020년01월_여_70~79세,"3,848","1,253",180,215,214,181,162,120,139,108,115,276,204,314,367
2020년01월_여_80~89세,"2,825",731,125,155,140,150,174,95,138,119,103,198,154,253,290
2020년01월_여_90~99세,479,120,23,27,31,24,25,18,24,25,20,33,27,42,40
2020년01월_여_100세 이상,9,5,0,0,0,0,0,0,1,1,0,0,0,1,1
