카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년11월_계_총인구수,"105,406","5,614","7,339","7,691","13,729","8,184","7,767","7,563","6,656","4,288","9,864","4,882","9,032","12,797"
2021년11월_계_연령구간인구수,"105,406","5,614","7,339","7,691","13,729","8,184","7,767","7,563","6,656","4,288","9,864","4,882","9,032","12,797"
2021년11월_계_0~9세,"5,350",357,278,411,"1,093",572,600,413,91,102,452,130,291,560
2021년11월_계_10~19세,"7,086",366,473,508,"1,094",821,759,535,272,164,498,179,465,952
2021년11월_계_20~29세,"13,151",698,766,"1,227","1,705",909,879,"1,526",738,394,"1,399",440,810,"1,660"
2021년11월_계_30~39세,"10,591",677,596,839,"1,752",851,826,888,490,306,"1,100",424,677,"1,165"
2021년11월_계_40~49세,"14,194",768,938,"1,038","2,163","1,294","1,213","1,015",749,539,"1,249",547,"1,101","1,580"
2021년11월_계_50~59세,"17,142",918,"1,251","1,119","2,085","1,312","1,244","1,069","1,126",757,"1,665",866,"1,590","2,140"
2021년11월_계_60~69세,"19,302",912,"1,447","1,301","1,918","1,294","1,213","1,155","1,514",954,"1,820","1,147","2,023","2,604"
2021년11월_계_70~79세,"12,240",565,"1,013",805,"1,247",731,672,623,"1,058",681,"1,157",768,"1,434","1,486"
2021년11월_계_80~89세,"5,632",309,513,386,584,345,313,293,554,352,480,338,582,583
2021년11월_계_90~99세,699,43,63,56,88,53,46,42,60,39,44,43,56,66
2021년11월_계_100세 이상,19,1,1,1,0,2,2,4,4,0,0,0,3,1
2021년11월_남_총인구수,"50,990","2,744","3,567","3,606","6,478","3,756","3,738","3,577","3,378","2,175","4,700","2,471","4,506","6,294"
2021년11월_남_연령구간인구수,"50,990","2,744","3,567","3,606","6,478","3,756","3,738","3,577","3,378","2,175","4,700","2,471","4,506","6,294"
2021년11월_남_0~9세,"2,801",200,144,213,576,294,331,210,44,51,232,66,149,291
2021년11월_남_10~19세,"3,622",187,238,241,560,396,391,279,154,76,250,95,259,496
2021년11월_남_20~29세,"6,381",349,399,547,803,420,462,663,371,221,610,233,449,854
2021년11월_남_30~39세,"5,427",365,324,443,810,400,372,431,281,178,571,239,375,638
2021년11월_남_40~49세,"7,348",404,485,519,"1,054",603,579,518,438,314,645,325,601,863
2021년11월_남_50~59세,"8,835",470,636,559,"1,027",612,606,538,655,436,861,479,882,"1,074"
2021년11월_남_60~69세,"9,019",407,676,592,871,589,571,543,756,478,843,543,965,"1,185"
2021년11월_남_70~79세,"5,356",244,440,340,545,319,295,279,469,307,491,351,620,656
2021년11월_남_80~89세,"2,064",110,214,139,213,111,123,109,196,108,187,132,198,224
2021년11월_남_90~99세,132,8,11,13,19,12,7,6,11,6,10,8,8,13
2021년11월_남_100세 이상,5,0,0,0,0,0,1,1,3,0,0,0,0,0
2021년11월_여_총인구수,"54,416","2,870","3,772","4,085","7,251","4,428","4,029","3,986","3,278","2,113","5,164","2,411","4,526","6,503"
2021년11월_여_연령구간인구수,"54,416","2,870","3,772","4,085","7,251","4,428","4,029","3,986","3,278","2,113","5,164","2,411","4,526","6,503"
2021년11월_여_0~9세,"2,549",157,134,198,517,278,269,203,47,51,220,64,142,269
2021년11월_여_10~19세,"3,464",179,235,267,534,425,368,256,118,88,248,84,206,456
2021년11월_여_20~29세,"6,770",349,367,680,902,489,417,863,367,173,789,207,361,806
2021년11월_여_30~39세,"5,164",312,272,396,942,451,454,457,209,128,529,185,302,527
2021년11월_여_40~49세,"6,846",364,453,519,"1,109",691,634,497,311,225,604,222,500,717
2021년11월_여_50~59세,"8,307",448,615,560,"1,058",700,638,531,471,321,804,387,708,"1,066"
2021년11월_여_60~69세,"10,283",505,771,709,"1,047",705,642,612,758,476,977,604,"1,058","1,419"
2021년11월_여_70~79세,"6,884",321,573,465,702,412,377,344,589,374,666,417,814,830
2021년11월_여_80~89세,"3,568",199,299,247,371,234,190,184,358,244,293,206,384,359
2021년11월_여_90~99세,567,35,52,43,69,41,39,36,49,33,34,35,48,53
2021년11월_여_100세 이상,14,1,1,1,0,2,1,3,1,0,0,0,3,1
