,경상남도 창녕군,경상남도 창녕군 창녕읍,경상남도 창녕군 남지읍,경상남도 창녕군 고암면,경상남도 창녕군 성산면,경상남도 창녕군 대합면,경상남도 창녕군 이방면,경상남도 창녕군 유어면,경상남도 창녕군 대지면,경상남도 창녕군 계성면,경상남도 창녕군 영산면,경상남도 창녕군 장마면,경상남도 창녕군 도천면,경상남도 창녕군 길곡면,경상남도 창녕군 부곡면
2020년12월_계_총인구수,"61,301","16,994","12,263","2,034","1,588","3,878","2,540","1,781","2,569","2,363","5,546","1,863","2,768","1,535","3,579"
2020년12월_계_연령구간인구수,"61,301","16,994","12,263","2,034","1,588","3,878","2,540","1,781","2,569","2,363","5,546","1,863","2,768","1,535","3,579"
2020년12월_계_0~9세,"3,213","1,321",960,64,27,101,71,37,135,56,206,38,85,32,80
2020년12월_계_10~19세,"4,118","1,560",977,109,35,165,232,53,163,74,363,61,155,48,123
2020년12월_계_20~29세,"4,929","1,763",929,113,100,269,136,89,211,182,483,85,216,96,257
2020년12월_계_30~39세,"5,097","1,857","1,181",106,103,253,153,107,185,130,406,110,195,75,236
2020년12월_계_40~49세,"7,108","2,344","1,777",135,120,384,182,136,296,211,653,153,279,132,306
2020년12월_계_50~59세,"10,913","2,865","2,130",323,294,716,423,279,447,484,"1,099",334,511,298,710
2020년12월_계_60~69세,"12,171","2,688","2,168",432,408,825,569,437,498,526,"1,187",415,649,418,951
2020년12월_계_70~79세,"8,086","1,584","1,321",405,269,675,414,386,363,392,709,374,390,256,548
2020년12월_계_80~89세,"4,978",887,720,293,208,433,327,224,236,270,391,262,246,153,328
2020년12월_계_90~99세,659,120,93,53,24,56,28,33,31,36,49,31,39,27,39
2020년12월_계_100세 이상,29,5,7,1,0,1,5,0,4,2,0,0,3,0,1
2020년12월_남_총인구수,"30,452","8,415","6,140","1,005",751,"1,987","1,206",871,"1,331","1,174","2,795",907,"1,362",767,"1,741"
2020년12월_남_연령구간인구수,"30,452","8,415","6,140","1,005",751,"1,987","1,206",871,"1,331","1,174","2,795",907,"1,362",767,"1,741"
2020년12월_남_0~9세,"1,670",683,495,29,12,51,38,25,74,31,105,22,44,19,42
2020년12월_남_10~19세,"2,220",821,530,62,26,103,101,23,96,39,207,39,77,27,69
2020년12월_남_20~29세,"2,837",974,525,67,57,176,81,55,130,109,287,57,110,63,146
2020년12월_남_30~39세,"2,780",964,617,61,59,145,89,70,101,78,232,65,121,48,130
2020년12월_남_40~49세,"3,962","1,234",988,85,75,229,111,81,180,119,366,93,147,83,171
2020년12월_남_50~59세,"5,803","1,471","1,128",171,147,435,218,165,268,274,570,180,279,133,364
2020년12월_남_60~69세,"6,090","1,282","1,062",244,204,425,282,219,248,276,605,211,330,225,477
2020년12월_남_70~79세,"3,499",700,562,177,117,281,185,161,151,160,306,160,173,128,238
2020년12월_남_80~89세,"1,482",264,218,97,48,136,91,67,79,85,110,74,75,38,100
2020년12월_남_90~99세,107,22,14,12,6,6,9,5,4,3,7,6,6,3,4
2020년12월_남_100세 이상,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2020년12월_여_총인구수,"30,849","8,579","6,123","1,029",837,"1,891","1,334",910,"1,238","1,189","2,751",956,"1,406",768,"1,838"
2020년12월_여_연령구간인구수,"30,849","8,579","6,123","1,029",837,"1,891","1,334",910,"1,238","1,189","2,751",956,"1,406",768,"1,838"
2020년12월_여_0~9세,"1,543",638,465,35,15,50,33,12,61,25,101,16,41,13,38
2020년12월_여_10~19세,"1,898",739,447,47,9,62,131,30,67,35,156,22,78,21,54
2020년12월_여_20~29세,"2,092",789,404,46,43,93,55,34,81,73,196,28,106,33,111
2020년12월_여_30~39세,"2,317",893,564,45,44,108,64,37,84,52,174,45,74,27,106
2020년12월_여_40~49세,"3,146","1,110",789,50,45,155,71,55,116,92,287,60,132,49,135
2020년12월_여_50~59세,"5,110","1,394","1,002",152,147,281,205,114,179,210,529,154,232,165,346
2020년12월_여_60~69세,"6,081","1,406","1,106",188,204,400,287,218,250,250,582,204,319,193,474
2020년12월_여_70~79세,"4,587",884,759,228,152,394,229,225,212,232,403,214,217,128,310
2020년12월_여_80~89세,"3,496",623,502,196,160,297,236,157,157,185,281,188,171,115,228
2020년12월_여_90~99세,552,98,79,41,18,50,19,28,27,33,42,25,33,24,35
2020년12월_여_100세 이상,27,5,6,1,0,1,4,0,4,2,0,0,3,0,1
