카테고리,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2021년10월_계_총인구수,"13,549,577","1,185,276","273,854","364,416","182,600","364,406","931,319","235,980","212,478","482,861","463,665","547,258","239,203","308,055","808,047","294,458","559,363","93,508","654,117","351,747","302,370","1,080,240","481,840","299,757","298,643","69,910","193,014","729,918","230,403","511,888","269,215","163,704","314,866","1,079,609","261,166","442,335","376,108","479,183","224,066","189,732","485,859","881,154","386,496","236,205","148,618","112,260","42,797","62,241","121,188"
2021년10월_계_연령구간인구수,"13,549,577","1,185,276","273,854","364,416","182,600","364,406","931,319","235,980","212,478","482,861","463,665","547,258","239,203","308,055","808,047","294,458","559,363","93,508","654,117","351,747","302,370","1,080,240","481,840","299,757","298,643","69,910","193,014","729,918","230,403","511,888","269,215","163,704","314,866","1,079,609","261,166","442,335","376,108","479,183","224,066","189,732","485,859","881,154","386,496","236,205","148,618","112,260","42,797","62,241","121,188"
2021년10월_계_0~9세,"1,106,832","92,127","17,640","30,202","10,111","34,174","66,062","14,976","12,461","38,625","33,247","37,997","14,988","23,009","53,573","22,110","49,782","5,897","42,232","22,197","20,035","78,715","37,411","20,041","21,263","6,027","14,191","63,396","22,117","47,971","18,923","12,735","32,040","95,778","20,185","40,392","35,201","43,346","18,113","13,297","54,173","101,759","33,415","19,840","8,139","6,946","2,568","3,184","7,132"
2021년10월_계_10~19세,"1,324,001","115,812","27,926","32,638","13,786","41,462","85,657","16,909","15,797","52,951","41,702","50,994","18,254","32,740","68,280","29,746","54,037","8,409","61,726","33,383","28,343","102,619","41,186","28,781","32,652","6,744","17,429","78,253","24,873","50,301","25,599","14,169","27,753","121,521","25,718","50,498","45,305","49,958","23,254","18,013","49,625","100,268","34,183","24,269","11,844","9,461","3,050","4,505","9,947"
2021년10월_계_20~29세,"1,805,465","185,274","43,708","53,085","30,448","58,033","128,387","33,845","30,237","64,305","64,539","75,534","33,899","41,635","113,267","37,073","77,367","11,036","106,151","58,276","47,875","147,485","62,030","44,179","41,276","9,349","26,161","86,332","31,336","69,428","37,005","22,870","38,234","138,543","34,903","57,363","46,277","59,157","31,500","23,260","52,673","108,628","45,080","27,747","18,053","12,039","5,156","6,148","10,653"
2021년10월_계_30~39세,"1,899,458","177,449","32,959","56,604","26,943","60,943","135,330","35,009","30,886","69,435","60,084","77,094","33,336","43,758","112,769","40,362","85,227","10,020","85,324","43,989","41,335","142,665","68,710","38,279","35,676","9,960","25,263","89,602","37,661","78,030","37,192","22,911","52,678","141,399","33,501","57,607","50,291","68,021","30,920","22,791","75,624","150,834","55,841","28,244","14,643","11,173","4,097","5,528","10,722"
2021년10월_계_40~49세,"2,292,775","199,605","44,260","60,575","27,612","67,158","153,177","36,307","31,818","85,052","73,703","85,717","34,357","51,360","125,670","50,083","96,580","13,829","104,470","55,851","48,619","178,201","78,395","49,871","49,935","10,437","31,682","131,602","43,813","92,325","42,726","24,146","56,079","197,787","43,477","82,623","71,687","82,174","34,955","30,150","91,826","170,148","67,562","39,925","19,810","15,761","4,756","7,784","16,292"
2021년10월_계_50~59세,"2,265,783","197,033","49,118","61,445","31,130","55,340","155,030","39,997","37,045","77,988","81,050","96,063","42,889","53,174","145,106","49,113","90,386","16,385","127,944","69,202","58,742","196,722","83,782","56,528","56,412","12,166","34,889","121,467","33,932","89,769","47,499","29,337","45,056","170,489","43,938","69,399","57,152","76,200","35,600","31,811","68,954","121,286","65,043","39,391","29,181","20,069","6,938","11,071","20,803"
2021년10월_계_60~69세,"1,655,342","130,422","33,208","43,102","24,473","29,639","119,768","34,620","32,156","52,992","61,152","75,024","36,546","38,478","117,870","39,360","60,315","14,019","78,484","41,768","36,716","131,858","61,795","35,734","34,329","8,798","25,976","90,083","21,814","52,821","35,874","23,142","38,439","113,447","34,136","43,953","35,358","54,096","28,434","27,580","53,437","77,479","52,083","31,292","26,694","20,051","7,965","12,897","24,668"
2021년10월_계_70~79세,"772,601","56,819","15,766","17,596","12,010","11,447","57,638","16,879","15,218","25,541","31,260","31,904","16,596","15,308","47,392","17,670","28,729","8,592","30,171","16,934","13,237","61,556","30,310","15,513","15,733","3,968","11,553","45,947","9,954","20,112","15,148","9,196","17,109","65,916","16,220","26,440","23,256","28,748","13,180","13,838","26,498","32,953","22,835","16,573","12,339","10,182","4,867","6,742","13,212"
