,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년07월_계_총인구수,"25,181","10,647","1,266","1,491","2,505","2,636","2,259","1,448","2,929"
2021년07월_계_연령구간인구수,"25,181","10,647","1,266","1,491","2,505","2,636","2,259","1,448","2,929"
2021년07월_계_0~9세,"1,048",634,39,44,48,105,57,38,83
2021년07월_계_10~19세,"1,769","1,020",64,66,145,172,97,54,151
2021년07월_계_20~29세,"1,885",994,82,83,131,187,114,100,194
2021년07월_계_30~39세,"1,553",815,48,69,103,149,134,93,142
2021년07월_계_40~49세,"2,752","1,402",125,137,214,307,172,150,245
2021년07월_계_50~59세,"4,514","1,899",247,278,520,451,353,213,553
2021년07월_계_60~69세,"4,828","1,746",269,301,613,521,470,287,621
2021년07월_계_70~79세,"3,817","1,273",212,292,383,406,448,275,528
2021년07월_계_80~89세,"2,604",735,153,197,296,291,358,206,368
2021년07월_계_90~99세,395,124,26,23,51,42,54,32,43
2021년07월_계_100세 이상,16,5,1,1,1,5,2,0,1
2021년07월_남_총인구수,"12,260","5,172",643,733,"1,229","1,293","1,074",694,"1,422"
2021년07월_남_연령구간인구수,"12,260","5,172",643,733,"1,229","1,293","1,074",694,"1,422"
2021년07월_남_0~9세,511,307,22,22,23,49,25,20,43
2021년07월_남_10~19세,931,542,32,28,76,100,54,32,67
2021년07월_남_20~29세,"1,038",534,50,45,78,97,61,55,118
2021년07월_남_30~39세,820,402,26,33,63,85,82,53,76
2021년07월_남_40~49세,"1,497",707,75,86,120,167,110,81,151
2021년07월_남_50~59세,"2,515",990,144,172,290,273,205,124,317
2021년07월_남_60~69세,"2,404",862,148,151,313,252,229,138,311
2021년07월_남_70~79세,"1,611",547,84,126,158,173,188,117,218
2021년07월_남_80~89세,849,256,60,64,94,86,110,66,113
2021년07월_남_90~99세,81,24,2,6,14,9,10,8,8
2021년07월_남_100세 이상,3,1,0,0,0,2,0,0,0
2021년07월_여_총인구수,"12,921","5,475",623,758,"1,276","1,343","1,185",754,"1,507"
2021년07월_여_연령구간인구수,"12,921","5,475",623,758,"1,276","1,343","1,185",754,"1,507"
2021년07월_여_0~9세,537,327,17,22,25,56,32,18,40
2021년07월_여_10~19세,838,478,32,38,69,72,43,22,84
2021년07월_여_20~29세,847,460,32,38,53,90,53,45,76
2021년07월_여_30~39세,733,413,22,36,40,64,52,40,66
2021년07월_여_40~49세,"1,255",695,50,51,94,140,62,69,94
2021년07월_여_50~59세,"1,999",909,103,106,230,178,148,89,236
2021년07월_여_60~69세,"2,424",884,121,150,300,269,241,149,310
2021년07월_여_70~79세,"2,206",726,128,166,225,233,260,158,310
2021년07월_여_80~89세,"1,755",479,93,133,202,205,248,140,255
2021년07월_여_90~99세,314,100,24,17,37,33,44,24,35
2021년07월_여_100세 이상,13,4,1,1,1,3,2,0,1
