카테고리,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2020년07월_계_총인구수,"1,597,936","843,399","185,256","198,543","265,720","193,880","210,228","133,277","32,522","50,768","47,702","37,166","81,865","37,357","94,315","29,337"
2020년07월_계_연령구간인구수,"1,597,936","843,399","185,256","198,543","265,720","193,880","210,228","133,277","32,522","50,768","47,702","37,166","81,865","37,357","94,315","29,337"
2020년07월_계_0~9세,"126,082","75,672","15,765","14,690","24,538","20,679","14,949","9,003","1,507","2,692","2,436","3,424","7,613","1,276","6,281","1,229"
2020년07월_계_10~19세,"150,750","86,726","19,486","21,010","26,818","19,412","19,142","11,889","2,142","3,944","3,475","3,415","8,024","2,061","7,891","2,041"
2020년07월_계_20~29세,"198,376","119,621","23,890","28,743","41,155","25,833","24,288","14,779","2,404","4,455","4,484","4,526","8,976","2,896","9,645","2,302"
2020년07월_계_30~39세,"196,691","119,386","22,113","23,691","41,387","32,195","23,639","13,296","2,270","3,987","3,394","4,842","11,200","2,447","10,157","2,073"
2020년07월_계_40~49세,"242,162","136,944","29,783","31,670","43,496","31,995","31,194","18,612","3,379","6,336","5,479","5,709","13,184","3,873","14,064","3,388"
2020년07월_계_50~59세,"274,049","137,753","32,238","34,900","43,040","27,575","37,899","24,181","5,978","9,118","8,548","6,072","13,552","7,324","17,856","5,768"
2020년07월_계_60~69세,"215,906","93,792","22,730","24,569","26,699","19,794","30,652","22,160","6,643","9,641","8,940","4,871","9,915","8,333","14,768","6,191"
2020년07월_계_70~79세,"120,020","46,942","12,155","12,448","12,023","10,316","17,499","12,388","4,592","6,254","6,506","2,668","5,511","5,429","8,295","3,936"
2020년07월_계_80~89세,"64,438","23,107","6,089","5,956","5,743","5,319","9,673","6,089","3,089","3,752","3,867","1,463","3,419","3,250","4,612","2,117"
2020년07월_계_90~99세,"8,906","3,265",951,816,783,715,"1,222",809,492,561,537,165,452,439,693,271
2020년07월_계_100세 이상,556,191,56,50,38,47,71,71,26,28,36,11,19,29,53,21
2020년07월_남_총인구수,"809,841","424,881","92,284","98,625","134,700","99,272","106,297","66,851","16,373","25,574","23,689","19,301","42,880","19,143","49,995","14,857"
2020년07월_남_연령구간인구수,"809,841","424,881","92,284","98,625","134,700","99,272","106,297","66,851","16,373","25,574","23,689","19,301","42,880","19,143","49,995","14,857"
2020년07월_남_0~9세,"64,429","38,562","8,011","7,458","12,500","10,593","7,573","4,603",784,"1,405","1,258","1,752","3,930",650,"3,274",638
2020년07월_남_10~19세,"78,485","45,156","10,172","10,966","13,938","10,080","9,959","6,142","1,145","2,077","1,770","1,772","4,197","1,065","4,115","1,087"
2020년07월_남_20~29세,"110,262","65,192","12,969","15,637","22,252","14,334","13,922","8,211","1,402","2,528","2,512","2,624","5,182","1,723","5,634","1,332"
2020년07월_남_30~39세,"104,100","62,357","11,269","12,160","21,747","17,181","12,731","6,925","1,253","2,072","1,793","2,679","6,120","1,381","5,682","1,107"
2020년07월_남_40~49세,"125,500","69,281","14,795","15,611","22,060","16,815","16,018","9,588","1,895","3,413","2,984","3,100","7,230","2,227","7,896","1,868"
2020년07월_남_50~59세,"141,025","68,979","16,143","17,172","21,573","14,091","19,410","12,375","3,289","4,872","4,515","3,201","7,421","3,970","9,916","3,077"
2020년07월_남_60~69세,"108,024","45,950","11,265","11,875","13,119","9,691","15,335","11,000","3,402","4,924","4,543","2,451","5,051","4,363","7,823","3,182"
2020년07월_남_70~79세,"53,893","20,943","5,381","5,519","5,455","4,588","7,728","5,608","2,039","2,873","2,843","1,182","2,499","2,523","3,903","1,752"
2020년07월_남_80~89세,"21,970","7,741","2,043","2,054","1,902","1,742","3,296","2,197","1,053","1,261","1,336",492,"1,161","1,135","1,559",739
2020년07월_남_90~99세,"2,000",671,225,158,148,140,309,179,110,142,125,45,85,99,168,67
2020년07월_남_100세 이상,153,49,11,15,6,17,16,23,1,7,10,3,4,7,25,8
2020년07월_여_총인구수,"788,095","418,518","92,972","99,918","131,020","94,608","103,931","66,426","16,149","25,194","24,013","17,865","38,985","18,214","44,320","14,480"
2020년07월_여_연령구간인구수,"788,095","418,518","92,972","99,918","131,020","94,608","103,931","66,426","16,149","25,194","24,013","17,865","38,985","18,214","44,320","14,480"
2020년07월_여_0~9세,"61,653","37,110","7,754","7,232","12,038","10,086","7,376","4,400",723,"1,287","1,178","1,672","3,683",626,"3,007",591
2020년07월_여_10~19세,"72,265","41,570","9,314","10,044","12,880","9,332","9,183","5,747",997,"1,867","1,705","1,643","3,827",996,"3,776",954
