카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년07월_계_총인구수,"556,561","241,478","12,852","21,660","16,903","7,327","11,990","20,361","16,036","11,131","17,643","20,113","32,841","13,889","15,487","23,245","315,083","21,886","11,207","19,582","17,794","11,297","37,602","19,541","27,566","15,239","24,253","16,946","8,198","21,476","22,156","15,577","13,400","11,363"
2020년07월_계_연령구간인구수,"556,561","241,478","12,852","21,660","16,903","7,327","11,990","20,361","16,036","11,131","17,643","20,113","32,841","13,889","15,487","23,245","315,083","21,886","11,207","19,582","17,794","11,297","37,602","19,541","27,566","15,239","24,253","16,946","8,198","21,476","22,156","15,577","13,400","11,363"
2020년07월_계_0~9세,"40,815","16,119",994,"1,195",912,292,537,"1,111","1,816",512,"1,046","1,487","2,294",986,749,"2,188","24,696","1,875",844,"1,064","1,520",802,"2,293","1,281","2,465","1,401","2,527","1,491",996,"1,510","1,657","1,206",987,777
2020년07월_계_10~19세,"53,638","19,332","1,138","1,550","1,357",506,835,"1,309","1,340",734,"1,314","1,611","2,713","1,386","1,195","2,344","34,306","2,285","1,119","1,561","2,312",745,"3,070","1,496","2,482","1,741","3,812","3,421",744,"1,827","2,123","2,332","1,672","1,564"
2020년07월_계_20~29세,"78,975","34,899","1,954","3,411","2,513","1,093","1,649","3,049","2,060","1,668","2,536","2,659","4,724","1,999","2,169","3,415","44,076","2,986","1,612","3,024","2,159","1,493","6,073","3,063","3,666","2,236","2,623","1,895",977,"3,476","3,295","2,011","1,947","1,540"
2020년07월_계_30~39세,"78,218","33,562","1,957","3,026","2,249",966,"1,514","3,334","2,837","1,565","2,159","2,754","4,358","1,638","1,706","3,499","44,656","2,833","1,432","2,534","2,258","2,418","4,972","3,086","5,989","1,897","3,343","1,286","1,608","3,243","3,049","1,921","1,630","1,157"
2020년07월_계_40~49세,"89,590","35,789","2,034","3,065","2,405","1,035","1,696","3,041","2,619","1,522","2,321","3,061","4,929","2,166","2,320","3,575","53,801","3,590","1,735","2,583","3,405","1,902","5,306","3,034","5,126","2,607","5,394","4,055","1,454","2,990","3,314","3,069","2,235","2,002"
2020년07월_계_50~59세,"98,707","44,033","2,218","4,013","3,107","1,340","2,191","3,522","2,660","2,079","3,392","3,574","6,252","2,595","3,142","3,948","54,674","3,998","2,115","3,974","2,758","1,725","7,193","3,580","3,948","2,963","3,436","2,616","1,188","3,994","4,270","2,504","2,458","1,954"
2020년07월_계_60~69세,"68,988","33,557","1,507","3,136","2,604","1,067","1,949","2,919","1,687","1,818","2,787","2,895","4,305","1,848","2,322","2,713","35,431","2,722","1,438","2,918","1,976","1,222","5,069","2,300","2,323","1,435","1,842","1,230",786,"2,885","2,956","1,380","1,578","1,371"
2020년07월_계_70~79세,"31,453","16,301",714,"1,576","1,230",655,"1,046","1,375",706,850,"1,405","1,382","2,212",831,"1,293","1,026","15,152","1,060",632,"1,219",901,597,"2,415","1,126","1,015",577,763,596,290,"1,046","1,001",677,603,634
