카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동
2020년04월_계_총인구수,"345,216","43,126","2,596","3,195","6,168","8,723","6,279","7,499","5,794","3,682","2,503","19,528","54,563","32,329","23,814","30,019","34,257","30,899","19,597","10,645"
2020년04월_계_연령구간인구수,"345,216","43,126","2,596","3,195","6,168","8,723","6,279","7,499","5,794","3,682","2,503","19,528","54,563","32,329","23,814","30,019","34,257","30,899","19,597","10,645"
2020년04월_계_0~9세,"47,399","3,418",82,102,363,307,204,386,224,90,115,"2,795","9,119","4,377","3,879","5,025","6,310","5,616","3,341","1,646"
2020년04월_계_10~19세,"40,875","4,245",111,134,372,428,307,454,408,133,191,"3,400","6,726","4,508","4,234","4,122","4,585","3,094","2,418","1,005"
2020년04월_계_20~29세,"36,323","6,394",300,311,728,841,886,776,588,321,279,"1,716","6,018","3,736","1,766","2,674","2,616","3,102","1,977","1,294"
2020년04월_계_30~39세,"61,266","5,390",304,286,672,849,742,729,526,273,192,"2,729","12,118","5,911","3,682","5,920","6,995","7,583","4,000","2,365"
2020년04월_계_40~49세,"66,124","6,982",324,341,871,999,878,960,751,373,362,"4,616","10,853","6,927","5,976","6,288","7,300","5,698","3,848","1,777"
2020년04월_계_50~59세,"43,283","6,775",545,561,"1,125","1,657","1,225","1,332","1,089",725,460,"2,451","5,653","3,726","2,502","3,063","3,272","3,415","2,223","1,484"
2020년04월_계_60~69세,"28,173","5,175",472,675,973,"1,750","1,035","1,330",954,862,408,"1,102","2,860","1,844","1,132","1,795","2,186","1,671","1,199",750
2020년04월_계_70~79세,"13,673","3,040",267,413,633,"1,137",565,900,690,518,275,480,841,831,441,777,743,500,413,209
2020년04월_계_80~89세,"6,922","1,470",169,307,385,652,383,556,477,333,198,204,313,393,159,312,201,172,148,90
2020년04월_계_90~99세,"1,121",223,20,61,44,97,52,72,81,47,21,33,61,76,42,43,48,47,29,24
2020년04월_계_100세 이상,57,14,2,4,2,6,2,4,6,7,2,2,1,0,1,0,1,1,1,1
2020년04월_남_총인구수,"172,176","22,259","1,457","1,656","3,375","4,606","3,522","4,037","3,055","2,001","1,322","9,618","26,434","15,652","11,780","14,574","16,713","15,215","9,628","5,272"
2020년04월_남_연령구간인구수,"172,176","22,259","1,457","1,656","3,375","4,606","3,522","4,037","3,055","2,001","1,322","9,618","26,434","15,652","11,780","14,574","16,713","15,215","9,628","5,272"
2020년04월_남_0~9세,"24,291","1,785",41,48,180,149,104,180,115,40,58,"1,445","4,669","2,258","2,008","2,573","3,215","2,865","1,703",855
2020년04월_남_10~19세,"20,538","2,166",59,71,201,230,156,252,229,71,98,"1,713","3,273","2,254","2,182","2,039","2,319","1,505","1,216",504
2020년04월_남_20~29세,"18,359","3,603",176,192,472,487,532,463,336,188,166,877,"2,711","1,684",908,"1,243","1,253","1,463",964,641
2020년04월_남_30~39세,"29,831","2,922",207,162,419,516,497,446,315,176,113,"1,229","5,735","2,776","1,598","2,744","3,249","3,699","1,860","1,168"
2020년04월_남_40~49세,"33,941","3,722",211,209,531,614,589,593,453,230,216,"2,256","5,418","3,385","2,940","3,177","3,688","2,877","1,952",880
2020년04월_남_50~59세,"22,421","3,554",319,315,661,916,683,759,607,426,265,"1,270","2,787","1,922","1,329","1,514","1,541","1,701","1,117",735
2020년04월_남_60~69세,"13,984","2,564",265,362,481,929,538,704,513,486,216,537,"1,369",881,553,818,"1,014",833,562,359
2020년04월_남_70~79세,"6,226","1,323",121,186,270,525,266,404,299,255,120,224,391,367,204,368,352,234,212,105
2020년04월_남_80~89세,"2,316",556,56,95,144,217,140,219,175,118,66,55,73,108,47,87,70,31,38,21
2020년04월_남_90~99세,259,61,2,15,15,23,17,17,12,9,3,12,8,17,11,11,12,7,4,3
2020년04월_남_100세 이상,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
2020년04월_여_총인구수,"173,040","20,867","1,139","1,539","2,793","4,117","2,757","3,462","2,739","1,681","1,181","9,910","28,129","16,677","12,034","15,445","17,544","15,684","9,969","5,373"
2020년04월_여_연령구간인구수,"173,040","20,867","1,139","1,539","2,793","4,117","2,757","3,462","2,739","1,681","1,181","9,910","28,129","16,677","12,034","15,445","17,544","15,684","9,969","5,373"
2020년04월_여_0~9세,"23,108","1,633",41,54,183,158,100,206,109,50,57,"1,350","4,450","2,119","1,871","2,452","3,095","2,751","1,638",791
2020년04월_여_10~19세,"20,337","2,079",52,63,171,198,151,202,179,62,93,"1,687","3,453","2,254","2,052","2,083","2,266","1,589","1,202",501
2020년04월_여_20~29세,"17,964","2,791",124,119,256,354,354,313,252,133,113,839,"3,307","2,052",858,"1,431","1,363","1,639","1,013",653
2020년04월_여_30~39세,"31,435","2,468",97,124,253,333,245,283,211,97,79,"1,500","6,383","3,135","2,084","3,176","3,746","3,884","2,140","1,197"
2020년04월_여_40~49세,"32,183","3,260",113,132,340,385,289,367,298,143,146,"2,360","5,435","3,542","3,036","3,111","3,612","2,821","1,896",897
2020년04월_여_50~59세,"20,862","3,221",226,246,464,741,542,573,482,299,195,"1,181","2,866","1,804","1,173","1,549","1,731","1,714","1,106",749
2020년04월_여_60~69세,"14,189","2,611",207,313,492,821,497,626,441,376,192,565,"1,491",963,579,977,"1,172",838,637,391
2020년04월_여_70~79세,"7,447","1,717",146,227,363,612,299,496,391,263,155,256,450,464,237,409,391,266,201,104
2020년04월_여_80~89세,"4,606",914,113,212,241,435,243,337,302,215,132,149,240,285,112,225,131,141,110,69
2020년04월_여_90~99세,862,162,18,46,29,74,35,55,69,38,18,21,53,59,31,32,36,40,25,21
2020년04월_여_100세 이상,47,11,2,3,1,6,2,4,5,5,1,2,1,0,1,0,1,1,1,0
