카테고리,강원도 태백시,강원도 태백시 황지동,강원도 태백시 황연동,강원도 태백시 삼수동,강원도 태백시 상장동,강원도 태백시 문곡소도동,강원도 태백시 장성동,강원도 태백시 구문소동,강원도 태백시 철암동
2021년10월_계_총인구수,"41,055","6,150","4,289","5,762","13,157","3,823","3,378","2,513","1,983"
2021년10월_계_연령구간인구수,"41,055","6,150","4,289","5,762","13,157","3,823","3,378","2,513","1,983"
2021년10월_계_0~9세,"2,344",427,166,343,"1,039",145,126,60,38
2021년10월_계_10~19세,"3,667",552,305,501,"1,542",266,215,205,81
2021년10월_계_20~29세,"3,480",590,327,392,"1,360",263,287,133,128
2021년10월_계_30~39세,"3,373",566,263,467,"1,333",265,231,131,117
2021년10월_계_40~49세,"6,112",882,579,865,"2,510",480,354,255,187
2021년10월_계_50~59세,"7,043","1,066",743,919,"2,189",705,692,393,336
2021년10월_계_60~69세,"7,766","1,138","1,038","1,063","1,778",918,721,620,490
2021년10월_계_70~79세,"4,823",634,604,792,964,529,464,465,371
2021년10월_계_80~89세,"2,173",261,232,367,391,217,257,232,216
2021년10월_계_90~99세,250,32,32,45,48,30,25,19,19
2021년10월_계_100세 이상,24,2,0,8,3,5,6,0,0
2021년10월_남_총인구수,"20,777","3,059","2,172","2,957","6,650","1,922","1,674","1,315","1,028"
2021년10월_남_연령구간인구수,"20,777","3,059","2,172","2,957","6,650","1,922","1,674","1,315","1,028"
2021년10월_남_0~9세,"1,242",228,80,193,545,75,63,38,20
2021년10월_남_10~19세,"1,892",286,161,256,789,117,103,139,41
2021년10월_남_20~29세,"2,013",353,197,242,770,141,157,77,76
2021년10월_남_30~39세,"1,798",300,147,246,680,141,137,70,77
2021년10월_남_40~49세,"3,254",462,323,487,"1,263",269,193,150,107
2021년10월_남_50~59세,"3,799",527,407,538,"1,163",371,361,236,196
2021년10월_남_60~69세,"3,818",532,524,492,863,470,370,316,251
2021년10월_남_70~79세,"2,120",275,243,349,437,236,205,204,171
2021년10월_남_80~89세,781,88,86,137,132,93,81,81,83
2021년10월_남_90~99세,51,7,4,14,7,7,2,4,6
2021년10월_남_100세 이상,9,1,0,3,1,2,2,0,0
2021년10월_여_총인구수,"20,278","3,091","2,117","2,805","6,507","1,901","1,704","1,198",955
2021년10월_여_연령구간인구수,"20,278","3,091","2,117","2,805","6,507","1,901","1,704","1,198",955
2021년10월_여_0~9세,"1,102",199,86,150,494,70,63,22,18
2021년10월_여_10~19세,"1,775",266,144,245,753,149,112,66,40
2021년10월_여_20~29세,"1,467",237,130,150,590,122,130,56,52
2021년10월_여_30~39세,"1,575",266,116,221,653,124,94,61,40
2021년10월_여_40~49세,"2,858",420,256,378,"1,247",211,161,105,80
2021년10월_여_50~59세,"3,244",539,336,381,"1,026",334,331,157,140
2021년10월_여_60~69세,"3,948",606,514,571,915,448,351,304,239
2021년10월_여_70~79세,"2,703",359,361,443,527,293,259,261,200
2021년10월_여_80~89세,"1,392",173,146,230,259,124,176,151,133
2021년10월_여_90~99세,199,25,28,31,41,23,23,15,13
2021년10월_여_100세 이상,15,1,0,5,2,3,4,0,0
