,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년08월_계_총인구수,"83,061","2,733","2,524","2,540","3,672","3,882","1,358","2,567","1,797","1,845","2,709","5,012","2,254","1,918","4,654","1,377","11,306","12,712","11,588","6,613"
2020년08월_계_연령구간인구수,"83,061","2,733","2,524","2,540","3,672","3,882","1,358","2,567","1,797","1,845","2,709","5,012","2,254","1,918","4,654","1,377","11,306","12,712","11,588","6,613"
2020년08월_계_0~9세,"4,471",106,69,67,104,124,48,74,56,50,46,190,65,41,151,47,795,935,"1,045",458
2020년08월_계_10~19세,"6,276",134,108,118,162,223,61,133,77,81,110,315,101,74,202,64,"1,032","1,342","1,428",511
2020년08월_계_20~29세,"7,283",170,123,158,280,274,95,186,95,106,135,418,127,137,340,88,"1,315","1,368","1,291",577
2020년08월_계_30~39세,"6,795",182,138,164,236,267,90,169,106,113,158,342,137,104,284,84,"1,144","1,227","1,211",639
2020년08월_계_40~49세,"10,174",270,223,254,347,415,112,221,189,189,238,575,190,187,445,149,"1,607","1,867","1,921",775
2020년08월_계_50~59세,"13,934",454,374,448,612,695,202,458,266,285,415,933,349,356,886,215,"1,888","2,137","1,858","1,103"
2020년08월_계_60~69세,"14,363",637,583,539,797,763,290,558,383,397,583,977,471,394,944,263,"1,677","1,688","1,359","1,060"
2020년08월_계_70~79세,"11,344",415,492,468,634,644,248,405,338,355,571,771,432,344,802,281,"1,110","1,280",884,870
2020년08월_계_80~89세,"7,171",314,356,274,405,408,187,313,242,222,381,428,341,249,502,160,620,762,496,511
2020년08월_계_90~99세,"1,176",50,53,43,90,68,23,48,43,44,71,61,40,31,86,26,109,105,94,91
2020년08월_계_100세 이상,74,1,5,7,5,1,2,2,2,3,1,2,1,1,12,0,9,1,1,18
2020년08월_남_총인구수,"41,140","1,383","1,252","1,322","1,838","1,928",650,"1,294",896,929,"1,299","2,563","1,104",976,"2,325",712,"5,543","6,208","5,623","3,295"
2020년08월_남_연령구간인구수,"41,140","1,383","1,252","1,322","1,838","1,928",650,"1,294",896,929,"1,299","2,563","1,104",976,"2,325",712,"5,543","6,208","5,623","3,295"
2020년08월_남_0~9세,"2,319",65,38,36,47,67,27,39,34,23,21,99,40,21,74,25,406,489,529,239
2020년08월_남_10~19세,"3,228",75,66,65,84,105,37,65,40,46,53,168,52,44,113,29,504,700,719,263
2020년08월_남_20~29세,"4,041",103,77,88,156,142,54,108,61,62,80,234,74,78,191,58,704,745,694,332
2020년08월_남_30~39세,"3,617",114,79,108,134,152,53,94,60,66,98,192,84,62,167,49,574,627,592,312
2020년08월_남_40~49세,"5,718",157,144,165,232,257,75,138,120,123,158,349,137,132,276,107,836,937,946,429
2020년08월_남_50~59세,"7,584",243,219,276,329,389,112,260,147,163,237,529,196,198,496,127,974,"1,089",987,613
2020년08월_남_60~69세,"7,178",341,296,276,424,383,133,297,187,212,294,496,226,207,484,133,793,810,651,535
2020년08월_남_70~79세,"4,927",186,222,214,285,289,97,184,151,155,226,341,176,156,340,118,508,533,357,389
2020년08월_남_80~89세,"2,256",88,103,85,119,122,56,94,85,69,124,135,113,70,158,58,218,254,136,169
2020년08월_남_90~99세,258,11,6,8,26,22,6,15,10,10,7,20,6,8,26,8,21,24,12,12
2020년08월_남_100세 이상,14,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2020년08월_여_총인구수,"41,921","1,350","1,272","1,218","1,834","1,954",708,"1,273",901,916,"1,410","2,449","1,150",942,"2,329",665,"5,763","6,504","5,965","3,318"
2020년08월_여_연령구간인구수,"41,921","1,350","1,272","1,218","1,834","1,954",708,"1,273",901,916,"1,410","2,449","1,150",942,"2,329",665,"5,763","6,504","5,965","3,318"
2020년08월_여_0~9세,"2,152",41,31,31,57,57,21,35,22,27,25,91,25,20,77,22,389,446,516,219
2020년08월_여_10~19세,"3,048",59,42,53,78,118,24,68,37,35,57,147,49,30,89,35,528,642,709,248
2020년08월_여_20~29세,"3,242",67,46,70,124,132,41,78,34,44,55,184,53,59,149,30,611,623,597,245
2020년08월_여_30~39세,"3,178",68,59,56,102,115,37,75,46,47,60,150,53,42,117,35,570,600,619,327
2020년08월_여_40~49세,"4,456",113,79,89,115,158,37,83,69,66,80,226,53,55,169,42,771,930,975,346
2020년08월_여_50~59세,"6,350",211,155,172,283,306,90,198,119,122,178,404,153,158,390,88,914,"1,048",871,490
2020년08월_여_60~69세,"7,185",296,287,263,373,380,157,261,196,185,289,481,245,187,460,130,884,878,708,525
2020년08월_여_70~79세,"6,417",229,270,254,349,355,151,221,187,200,345,430,256,188,462,163,602,747,527,481
2020년08월_여_80~89세,"4,915",226,253,189,286,286,131,219,157,153,257,293,228,179,344,102,402,508,360,342
2020년08월_여_90~99세,918,39,47,35,64,46,17,33,33,34,64,41,34,23,60,18,88,81,82,79
2020년08월_여_100세 이상,60,1,3,6,3,1,2,2,1,3,0,2,1,1,12,0,4,1,1,16
