,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년04월_계_총인구수,"44,326","9,877","3,066","3,522","1,931","1,872","2,267","3,466","5,961","1,752","1,746","1,489","4,309","3,068"
2021년04월_계_연령구간인구수,"44,326","9,877","3,066","3,522","1,931","1,872","2,267","3,466","5,961","1,752","1,746","1,489","4,309","3,068"
2021년04월_계_0~9세,"1,755",555,87,100,48,53,63,90,348,22,62,59,149,119
2021년04월_계_10~19세,"2,788",869,201,188,89,70,122,145,435,72,85,128,229,155
2021년04월_계_20~29세,"3,296",962,234,189,127,110,146,251,461,83,93,74,259,307
2021년04월_계_30~39세,"2,713",823,119,155,96,101,108,183,421,76,102,85,233,211
2021년04월_계_40~49세,"4,825","1,329",352,335,182,148,219,324,781,141,146,125,379,364
2021년04월_계_50~59세,"8,233","1,787",696,714,336,343,391,649,"1,048",296,281,256,830,606
2021년04월_계_60~69세,"9,151","1,696",631,788,439,436,521,779,"1,123",381,400,393,979,585
2021년04월_계_70~79세,"6,338","1,137",453,573,302,291,352,582,723,349,304,219,643,410
2021년04월_계_80~89세,"4,420",621,248,404,274,271,277,390,522,274,236,123,510,270
2021년04월_계_90~99세,787,97,43,75,38,47,67,71,96,55,37,26,94,41
2021년04월_계_100세 이상,20,1,2,1,0,2,1,2,3,3,0,1,4,0
2021년04월_남_총인구수,"22,133","4,870","1,551","1,739",941,924,"1,122","1,765","2,951",858,851,779,"2,164","1,618"
2021년04월_남_연령구간인구수,"22,133","4,870","1,551","1,739",941,924,"1,122","1,765","2,951",858,851,779,"2,164","1,618"
2021년04월_남_0~9세,914,282,43,62,30,26,38,48,159,13,28,35,80,70
2021년04월_남_10~19세,"1,515",448,113,106,55,36,56,73,241,33,50,87,125,92
2021년04월_남_20~29세,"1,966",543,131,120,69,65,99,166,279,56,49,39,152,198
2021년04월_남_30~39세,"1,503",435,63,85,54,57,65,123,213,47,59,45,130,127
2021년04월_남_40~49세,"2,676",679,182,187,102,96,124,187,433,80,83,75,227,221
2021년04월_남_50~59세,"4,546",960,399,377,182,176,221,382,556,162,167,141,463,360
2021년04월_남_60~69세,"4,737",835,335,417,231,236,272,388,568,206,217,211,519,302
2021년04월_남_70~79세,"2,753",474,186,236,131,139,152,256,324,163,126,111,291,164
2021년04월_남_80~89세,"1,355",193,88,140,75,78,84,128,157,88,64,31,156,73
2021년04월_남_90~99세,163,21,10,9,12,13,11,14,21,9,8,4,20,11
2021년04월_남_100세 이상,5,0,1,0,0,2,0,0,0,1,0,0,1,0
2021년04월_여_총인구수,"22,193","5,007","1,515","1,783",990,948,"1,145","1,701","3,010",894,895,710,"2,145","1,450"
2021년04월_여_연령구간인구수,"22,193","5,007","1,515","1,783",990,948,"1,145","1,701","3,010",894,895,710,"2,145","1,450"
2021년04월_여_0~9세,841,273,44,38,18,27,25,42,189,9,34,24,69,49
2021년04월_여_10~19세,"1,273",421,88,82,34,34,66,72,194,39,35,41,104,63
2021년04월_여_20~29세,"1,330",419,103,69,58,45,47,85,182,27,44,35,107,109
2021년04월_여_30~39세,"1,210",388,56,70,42,44,43,60,208,29,43,40,103,84
2021년04월_여_40~49세,"2,149",650,170,148,80,52,95,137,348,61,63,50,152,143
2021년04월_여_50~59세,"3,687",827,297,337,154,167,170,267,492,134,114,115,367,246
2021년04월_여_60~69세,"4,414",861,296,371,208,200,249,391,555,175,183,182,460,283
2021년04월_여_70~79세,"3,585",663,267,337,171,152,200,326,399,186,178,108,352,246
2021년04월_여_80~89세,"3,065",428,160,264,199,193,193,262,365,186,172,92,354,197
2021년04월_여_90~99세,624,76,33,66,26,34,56,57,75,46,29,22,74,30
2021년04월_여_100세 이상,15,1,1,1,0,0,1,2,3,2,0,1,3,0
