카테고리,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  해밀동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  반곡동,세종특별자치시  보람동,세종특별자치시  대평동,세종특별자치시  다정동
2021년11월_계_총인구수,"369,465","43,413","2,814","3,132","6,178","9,028","7,018","7,400","5,516","3,383","2,297","18,775","37,906","33,327","8,545","23,539","29,331","34,379","20,633","13,885","19,153","11,355","28,458"
2021년11월_계_연령구간인구수,"369,465","43,413","2,814","3,132","6,178","9,028","7,018","7,400","5,516","3,383","2,297","18,775","37,906","33,327","8,545","23,539","29,331","34,379","20,633","13,885","19,153","11,355","28,458"
2021년11월_계_0~9세,"46,913","3,037",100,95,314,342,245,321,181,68,86,"2,365","5,506","4,054","1,672","3,242","4,370","5,751","3,522","2,272","2,937","1,645","4,788"
2021년11월_계_10~19세,"45,439","4,169",93,116,358,369,309,405,351,106,169,"3,284","5,314","4,613","1,022","4,399","4,276","4,971","2,502","1,288","2,600","1,097","3,628"
2021년11월_계_20~29세,"38,251","6,518",398,275,687,930,"1,022",848,537,275,244,"1,714","4,188","4,013",597,"1,835","2,515","2,473","1,728","1,771","1,827","1,338","2,518"
2021년11월_계_30~39세,"61,298","5,448",379,300,750,952,964,723,465,226,183,"2,390","7,223","5,679","1,845","3,279","5,202","6,076","4,335","3,422","3,409","2,189","5,859"
2021년11월_계_40~49세,"72,186","6,797",323,323,806,"1,025",955,843,642,307,295,"4,281","8,175","7,068","1,881","5,835","6,271","7,711","4,249","2,440","3,944","2,063","5,952"
2021년11월_계_50~59세,"48,474","6,735",528,517,"1,070","1,603","1,304","1,216","1,009",666,432,"2,764","4,405","4,227",868,"2,927","3,447","3,648","2,336","1,576","2,403","1,690","3,103"
2021년11월_계_60~69세,"33,344","5,757",551,707,"1,107","1,868","1,182","1,466","1,079",881,425,"1,238","2,107","2,244",412,"1,335","2,077","2,574","1,388",778,"1,392",934,"1,842"
2021년11월_계_70~79세,"14,704","3,079",256,422,622,"1,120",603,903,650,487,256,492,652,928,169,477,795,883,432,212,453,258,555
2021년11월_계_80~89세,"7,533","1,618",156,314,401,694,381,593,517,314,183,207,261,411,70,177,339,245,110,96,155,118,173
2021년11월_계_90~99세,"1,285",246,29,59,62,119,52,79,77,53,24,39,75,90,9,31,39,47,30,29,33,23,40
2021년11월_계_100세 이상,38,9,1,4,1,6,1,3,8,0,0,1,0,0,0,2,0,0,1,1,0,0,0
2021년11월_남_총인구수,"184,441","22,602","1,602","1,646","3,410","4,803","4,065","4,047","2,942","1,825","1,218","9,222","18,384","16,052","4,170","11,654","14,267","16,838","10,176","6,802","9,369","5,655","13,692"
2021년11월_남_연령구간인구수,"184,441","22,602","1,602","1,646","3,410","4,803","4,065","4,047","2,942","1,825","1,218","9,222","18,384","16,052","4,170","11,654","14,267","16,838","10,176","6,802","9,369","5,655","13,692"
2021년11월_남_0~9세,"23,896","1,562",50,45,159,172,125,157,95,30,43,"1,223","2,763","2,059",859,"1,680","2,259","2,928","1,774","1,159","1,482",880,"2,392"
2021년11월_남_10~19세,"22,924","2,144",48,62,192,181,142,215,199,59,78,"1,679","2,595","2,323",511,"2,324","2,110","2,541","1,249",622,"1,323",551,"1,776"
2021년11월_남_20~29세,"19,613","3,737",234,173,450,551,652,558,336,153,144,862,"1,928","1,789",270,898,"1,192","1,232",880,810,896,683,"1,185"
2021년11월_남_30~39세,"29,878","3,007",249,182,478,575,653,457,289,140,120,"1,083","3,354","2,693",843,"1,467","2,473","2,802","2,041","1,655","1,550","1,059","2,708"
2021년11월_남_40~49세,"36,531","3,647",216,196,510,631,652,506,373,196,178,"2,014","4,054","3,372",954,"2,774","3,076","3,867","2,137","1,231","1,942","1,053","2,952"
2021년11월_남_50~59세,"25,363","3,572",327,286,614,893,762,711,574,397,253,"1,454","2,285","2,199",440,"1,585","1,725","1,740","1,163",808,"1,246",810,"1,519"
2021년11월_남_60~69세,"16,533","2,900",302,384,569,995,636,785,579,484,221,611,"1,012","1,082",189,631,933,"1,201",690,385,661,451,832
2021년11월_남_70~79세,"6,852","1,358",123,210,270,548,296,410,291,252,116,217,306,408,76,230,372,433,210,107,217,136,266
2021년11월_남_80~89세,"2,581",615,50,95,147,227,136,230,192,105,59,68,75,116,23,58,117,85,29,20,47,29,58
2021년11월_남_90~99세,262,59,3,12,20,27,11,17,14,9,6,11,12,11,5,6,10,9,3,5,5,3,4
2021년11월_남_100세 이상,8,1,0,1,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021년11월_여_총인구수,"185,024","20,811","1,212","1,486","2,768","4,225","2,953","3,353","2,574","1,558","1,079","9,553","19,522","17,275","4,375","11,885","15,064","17,541","10,457","7,083","9,784","5,700","14,766"
2021년11월_여_연령구간인구수,"185,024","20,811","1,212","1,486","2,768","4,225","2,953","3,353","2,574","1,558","1,079","9,553","19,522","17,275","4,375","11,885","15,064","17,541","10,457","7,083","9,784","5,700","14,766"
