,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년06월_계_총인구수,"89,999","30,441","3,820","19,859","4,996","5,126","3,410","3,130","12,843","3,537","2,837"
2021년06월_계_연령구간인구수,"89,999","30,441","3,820","19,859","4,996","5,126","3,410","3,130","12,843","3,537","2,837"
2021년06월_계_0~9세,"6,442","2,660",140,"1,521",178,288,97,91,"1,224",165,78
2021년06월_계_10~19세,"8,613","3,209",212,"2,569",329,434,158,163,"1,178",189,172
2021년06월_계_20~29세,"9,324","3,398",523,"2,304",440,486,251,189,"1,273",258,202
2021년06월_계_30~39세,"8,875","3,516",276,"1,969",344,409,193,173,"1,544",265,186
2021년06월_계_40~49세,"14,360","5,098",504,"3,779",654,715,418,392,"2,060",430,310
2021년06월_계_50~59세,"15,583","5,052",658,"3,590",901,932,555,520,"2,183",623,569
2021년06월_계_60~69세,"14,362","4,594",729,"2,338","1,094",927,796,691,"1,836",733,624
2021년06월_계_70~79세,"7,959","1,942",448,"1,177",713,645,598,565,935,515,421
2021년06월_계_80~89세,"3,930",839,284,540,303,267,301,322,528,311,235
2021년06월_계_90~99세,539,133,45,72,39,21,41,23,80,47,38
2021년06월_계_100세 이상,12,0,1,0,1,2,2,1,2,1,2
2021년06월_남_총인구수,"45,702","15,161","2,084","10,274","2,439","2,596","1,735","1,553","6,598","1,770","1,492"
2021년06월_남_연령구간인구수,"45,702","15,161","2,084","10,274","2,439","2,596","1,735","1,553","6,598","1,770","1,492"
2021년06월_남_0~9세,"3,311","1,371",66,782,102,145,48,52,624,81,40
2021년06월_남_10~19세,"4,483","1,603",123,"1,376",179,227,85,90,609,98,93
2021년06월_남_20~29세,"5,506","1,961",362,"1,382",241,281,156,100,738,154,131
2021년06월_남_30~39세,"4,755","1,857",160,"1,044",174,215,127,100,811,147,120
2021년06월_남_40~49세,"7,469","2,519",302,"1,863",360,414,253,234,"1,085",253,186
2021년06월_남_50~59세,"8,098","2,424",369,"1,916",445,492,306,300,"1,174",327,345
2021년06월_남_60~69세,"6,949","2,198",365,"1,142",517,433,371,317,919,369,318
2021년06월_남_70~79세,"3,595",908,214,541,308,284,275,224,441,228,172
2021년06월_남_80~89세,"1,434",292,112,214,108,99,104,130,188,107,80
2021년06월_남_90~99세,100,28,11,14,5,5,10,6,9,6,6
2021년06월_남_100세 이상,2,0,0,0,0,1,0,0,0,0,1
2021년06월_여_총인구수,"44,297","15,280","1,736","9,585","2,557","2,530","1,675","1,577","6,245","1,767","1,345"
2021년06월_여_연령구간인구수,"44,297","15,280","1,736","9,585","2,557","2,530","1,675","1,577","6,245","1,767","1,345"
2021년06월_여_0~9세,"3,131","1,289",74,739,76,143,49,39,600,84,38
2021년06월_여_10~19세,"4,130","1,606",89,"1,193",150,207,73,73,569,91,79
2021년06월_여_20~29세,"3,818","1,437",161,922,199,205,95,89,535,104,71
2021년06월_여_30~39세,"4,120","1,659",116,925,170,194,66,73,733,118,66
2021년06월_여_40~49세,"6,891","2,579",202,"1,916",294,301,165,158,975,177,124
2021년06월_여_50~59세,"7,485","2,628",289,"1,674",456,440,249,220,"1,009",296,224
2021년06월_여_60~69세,"7,413","2,396",364,"1,196",577,494,425,374,917,364,306
2021년06월_여_70~79세,"4,364","1,034",234,636,405,361,323,341,494,287,249
2021년06월_여_80~89세,"2,496",547,172,326,195,168,197,192,340,204,155
2021년06월_여_90~99세,439,105,34,58,34,16,31,17,71,41,32
2021년06월_여_100세 이상,10,0,1,0,1,1,2,1,2,1,1
