,경상남도 하동군,경상남도 하동군 하동읍,경상남도 하동군 화개면,경상남도 하동군 악양면,경상남도 하동군 적량면,경상남도 하동군 횡천면,경상남도 하동군 고전면,경상남도 하동군 금남면,경상남도 하동군 진교면,경상남도 하동군 양보면,경상남도 하동군 북천면,경상남도 하동군 청암면,경상남도 하동군 옥종면,경상남도 하동군 금성면
2021년08월_계_총인구수,"43,896","9,848","3,064","3,498","1,935","1,847","2,228","3,421","5,910","1,719","1,715","1,465","4,246","3,000"
2021년08월_계_연령구간인구수,"43,896","9,848","3,064","3,498","1,935","1,847","2,228","3,421","5,910","1,719","1,715","1,465","4,246","3,000"
2021년08월_계_0~9세,"1,681",533,85,103,54,49,56,84,323,21,62,51,146,114
2021년08월_계_10~19세,"2,736",860,196,180,86,65,123,150,426,64,83,123,230,150
2021년08월_계_20~29세,"3,189",958,228,188,120,100,132,233,454,81,84,70,242,299
2021년08월_계_30~39세,"2,609",795,123,153,100,101,103,173,406,71,97,78,215,194
2021년08월_계_40~49세,"4,699","1,328",342,329,179,141,211,302,762,127,141,120,364,353
2021년08월_계_50~59세,"8,088","1,769",699,698,331,329,371,633,"1,037",278,274,260,829,580
2021년08월_계_60~69세,"9,267","1,720",643,785,445,446,520,791,"1,147",397,391,398,983,601
2021년08월_계_70~79세,"6,338","1,134",446,583,303,293,359,587,730,350,301,216,637,399
2021년08월_계_80~89세,"4,478",649,254,403,278,276,284,393,519,273,243,126,506,274
2021년08월_계_90~99세,794,101,46,75,39,44,68,72,104,55,39,23,92,36
2021년08월_계_100세 이상,17,1,2,1,0,3,1,3,2,2,0,0,2,0
2021년08월_남_총인구수,"21,927","4,867","1,551","1,732",948,908,"1,096","1,733","2,927",839,835,765,"2,144","1,582"
2021년08월_남_연령구간인구수,"21,927","4,867","1,551","1,732",948,908,"1,096","1,733","2,927",839,835,765,"2,144","1,582"
2021년08월_남_0~9세,886,275,43,65,35,23,34,46,149,12,27,29,81,67
2021년08월_남_10~19세,"1,488",450,109,104,53,33,57,76,237,28,47,81,124,89
2021년08월_남_20~29세,"1,898",532,127,124,68,59,86,152,272,52,47,38,145,196
2021년08월_남_30~39세,"1,434",420,63,85,55,55,62,115,202,44,55,42,120,116
2021년08월_남_40~49세,"2,616",681,182,183,102,91,123,178,422,75,80,71,209,219
2021년08월_남_50~59세,"4,455",950,397,364,179,170,206,367,549,156,164,143,468,342
2021년08월_남_60~69세,"4,824",855,341,415,237,243,272,398,584,211,212,214,531,311
2021년08월_남_70~79세,"2,783",479,189,242,131,139,159,258,330,164,130,110,293,159
2021년08월_남_80~89세,"1,378",205,87,142,74,83,86,129,158,88,65,33,154,74
2021년08월_남_90~99세,160,20,12,8,14,9,11,14,24,9,8,4,18,9
2021년08월_남_100세 이상,5,0,1,0,0,3,0,0,0,0,0,0,1,0
2021년08월_여_총인구수,"21,969","4,981","1,513","1,766",987,939,"1,132","1,688","2,983",880,880,700,"2,102","1,418"
2021년08월_여_연령구간인구수,"21,969","4,981","1,513","1,766",987,939,"1,132","1,688","2,983",880,880,700,"2,102","1,418"
2021년08월_여_0~9세,795,258,42,38,19,26,22,38,174,9,35,22,65,47
2021년08월_여_10~19세,"1,248",410,87,76,33,32,66,74,189,36,36,42,106,61
2021년08월_여_20~29세,"1,291",426,101,64,52,41,46,81,182,29,37,32,97,103
2021년08월_여_30~39세,"1,175",375,60,68,45,46,41,58,204,27,42,36,95,78
2021년08월_여_40~49세,"2,083",647,160,146,77,50,88,124,340,52,61,49,155,134
2021년08월_여_50~59세,"3,633",819,302,334,152,159,165,266,488,122,110,117,361,238
2021년08월_여_60~69세,"4,443",865,302,370,208,203,248,393,563,186,179,184,452,290
2021년08월_여_70~79세,"3,555",655,257,341,172,154,200,329,400,186,171,106,344,240
2021년08월_여_80~89세,"3,100",444,167,261,204,193,198,264,361,185,178,93,352,200
2021년08월_여_90~99세,634,81,34,67,25,35,57,58,80,46,31,19,74,27
2021년08월_여_100세 이상,12,1,1,1,0,0,1,3,2,2,0,0,1,0
