,대구광역시 서구,대구광역시 서구 내당1동,대구광역시 서구 내당2.3동,대구광역시 서구 내당4동,대구광역시 서구 비산1동,대구광역시 서구 비산2.3동,대구광역시 서구 비산4동,대구광역시 서구 비산5동,대구광역시 서구 비산6동,대구광역시 서구 비산7동,대구광역시 서구 평리1동,대구광역시 서구 평리2동,대구광역시 서구 평리3동,대구광역시 서구 평리4동,대구광역시 서구 평리5동,대구광역시 서구 평리6동,대구광역시 서구 상중이동,대구광역시 서구 원대동
2021년05월_계_총인구수,"168,704","8,550","10,033","16,835","9,781","9,551","9,942","6,274","7,770","10,767","7,944","8,078","10,032","18,180","1,778","5,125","20,277","7,787"
2021년05월_계_연령구간인구수,"168,704","8,550","10,033","16,835","9,781","9,551","9,942","6,274","7,770","10,767","7,944","8,078","10,032","18,180","1,778","5,125","20,277","7,787"
2021년05월_계_0~9세,"7,212",308,310,709,291,281,362,189,222,381,300,581,346,"1,235",71,134,"1,225",267
2021년05월_계_10~19세,"10,525",484,515,"1,175",623,464,589,325,487,555,457,599,571,"1,243",97,305,"1,642",394
2021년05월_계_20~29세,"21,070","1,316","1,246","2,396","1,132","1,019","1,237",641,976,"1,254","1,030",879,"1,259","2,254",227,616,"2,631",957
2021년05월_계_30~39세,"17,214",949,942,"1,978",859,788,948,597,690,"1,051",749,941,992,"2,227",177,478,"2,136",712
2021년05월_계_40~49세,"22,218","1,058","1,264","2,190","1,302","1,104","1,258",743,983,"1,350","1,011","1,205","1,292","2,636",235,627,"2,927","1,033"
2021년05월_계_50~59세,"33,428","1,631","1,954","3,037","2,088","1,868","2,032","1,273","1,618","2,333","1,615","1,452","2,125","3,459",360,"1,104","3,910","1,569"
2021년05월_계_60~69세,"31,793","1,543","1,982","3,031","1,868","1,971","1,967","1,292","1,554","2,142","1,518","1,416","1,959","3,039",348,"1,120","3,561","1,482"
2021년05월_계_70~79세,"17,257",851,"1,220","1,579","1,113","1,366","1,053",838,837,"1,200",833,709,"1,028","1,456",186,508,"1,554",926
2021년05월_계_80~89세,"7,166",370,551,657,453,625,445,349,361,458,392,270,411,543,69,206,603,403
2021년05월_계_90~99세,761,33,44,83,48,61,41,27,35,40,33,25,48,84,3,27,85,44
2021년05월_계_100세 이상,60,7,5,0,4,4,10,0,7,3,6,1,1,4,5,0,3,0
2021년05월_남_총인구수,"84,423","4,222","4,872","8,146","5,007","4,738","4,887","3,188","3,833","5,694","4,011","3,961","5,053","9,011",937,"2,710","10,207","3,946"
2021년05월_남_연령구간인구수,"84,423","4,222","4,872","8,146","5,007","4,738","4,887","3,188","3,833","5,694","4,011","3,961","5,053","9,011",937,"2,710","10,207","3,946"
2021년05월_남_0~9세,"3,711",173,160,350,146,156,183,98,121,198,146,299,183,620,39,68,654,117
2021년05월_남_10~19세,"5,445",261,273,606,330,248,303,166,256,277,240,285,318,630,56,153,855,188
2021년05월_남_20~29세,"11,589",696,650,"1,282",665,565,667,352,549,734,590,475,674,"1,223",134,355,"1,438",540
2021년05월_남_30~39세,"9,764",533,559,"1,117",505,448,552,360,396,596,444,500,568,"1,199",98,297,"1,183",409
2021년05월_남_40~49세,"11,933",560,704,"1,088",737,640,691,406,495,805,566,611,715,"1,344",135,370,"1,481",585
2021년05월_남_50~59세,"16,897",767,974,"1,376","1,088",982,988,708,823,"1,319",843,713,"1,062","1,719",184,588,"1,935",828
2021년05월_남_60~69세,"14,877",701,879,"1,358",905,934,883,604,700,"1,060",702,662,939,"1,415",170,573,"1,688",704
2021년05월_남_70~79세,"7,553",393,487,711,462,547,456,359,351,541,340,310,452,669,89,229,745,412
2021년05월_남_80~89세,"2,510",130,176,237,161,207,157,128,133,161,134,101,135,179,30,70,215,156
2021년05월_남_90~99세,129,7,8,21,6,11,4,7,7,3,4,4,7,13,1,7,12,7
2021년05월_남_100세 이상,15,1,2,0,2,0,3,0,2,0,2,1,0,0,1,0,1,0
2021년05월_여_총인구수,"84,281","4,328","5,161","8,689","4,774","4,813","5,055","3,086","3,937","5,073","3,933","4,117","4,979","9,169",841,"2,415","10,070","3,841"
2021년05월_여_연령구간인구수,"84,281","4,328","5,161","8,689","4,774","4,813","5,055","3,086","3,937","5,073","3,933","4,117","4,979","9,169",841,"2,415","10,070","3,841"
2021년05월_여_0~9세,"3,501",135,150,359,145,125,179,91,101,183,154,282,163,615,32,66,571,150
2021년05월_여_10~19세,"5,080",223,242,569,293,216,286,159,231,278,217,314,253,613,41,152,787,206
2021년05월_여_20~29세,"9,481",620,596,"1,114",467,454,570,289,427,520,440,404,585,"1,031",93,261,"1,193",417
2021년05월_여_30~39세,"7,450",416,383,861,354,340,396,237,294,455,305,441,424,"1,028",79,181,953,303
2021년05월_여_40~49세,"10,285",498,560,"1,102",565,464,567,337,488,545,445,594,577,"1,292",100,257,"1,446",448
2021년05월_여_50~59세,"16,531",864,980,"1,661","1,000",886,"1,044",565,795,"1,014",772,739,"1,063","1,740",176,516,"1,975",741
2021년05월_여_60~69세,"16,916",842,"1,103","1,673",963,"1,037","1,084",688,854,"1,082",816,754,"1,020","1,624",178,547,"1,873",778
2021년05월_여_70~79세,"9,704",458,733,868,651,819,597,479,486,659,493,399,576,787,97,279,809,514
2021년05월_여_80~89세,"4,656",240,375,420,292,418,288,221,228,297,258,169,276,364,39,136,388,247
2021년05월_여_90~99세,632,26,36,62,42,50,37,20,28,37,29,21,41,71,2,20,73,37
2021년05월_여_100세 이상,45,6,3,0,2,4,7,0,5,3,4,0,1,4,4,0,2,0
