카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2021년08월_계_총인구수,"548,491","239,071","12,497","21,341","16,531","6,986","10,303","25,691","15,709","10,770","17,427","19,543","31,630","13,301","14,965","22,377","309,420","21,173","10,934","14,025","17,185","10,820","36,139","19,021","26,785","14,610","23,589","16,673","17,921","19,753","21,496","15,368","12,888","11,040"
2021년08월_계_연령구간인구수,"548,491","239,071","12,497","21,341","16,531","6,986","10,303","25,691","15,709","10,770","17,427","19,543","31,630","13,301","14,965","22,377","309,420","21,173","10,934","14,025","17,185","10,820","36,139","19,021","26,785","14,610","23,589","16,673","17,921","19,753","21,496","15,368","12,888","11,040"
2021년08월_계_0~9세,"38,414","15,032",862,"1,097",769,239,448,"1,715","1,723",432,944,"1,349","2,045",854,608,"1,947","23,382","1,665",772,678,"1,321",652,"1,914","1,178","2,097","1,277","2,314","1,349","2,456","1,390","1,568","1,143",904,704
2021년08월_계_10~19세,"51,186","18,335","1,058","1,437","1,261",451,695,"1,552","1,301",662,"1,219","1,475","2,535","1,279","1,118","2,292","32,851","2,133","1,040","1,035","2,200",697,"2,832","1,394","2,327","1,623","3,700","3,440","1,588","1,575","1,947","2,210","1,559","1,551"
2021년08월_계_20~29세,"76,183","34,074","1,911","3,392","2,442","1,028","1,395","3,912","1,935","1,574","2,349","2,515","4,501","1,912","2,082","3,126","42,109","2,844","1,573","2,068","2,068","1,451","5,713","2,929","3,584","2,097","2,536","1,804","1,995","3,110","3,160","1,970","1,786","1,421"
2021년08월_계_30~39세,"77,223","33,230","1,860","2,888","2,116",900,"1,284","4,840","2,653","1,472","2,152","2,652","4,014","1,474","1,637","3,288","43,993","2,667","1,384","1,802","2,101","2,232","4,683","2,962","5,660","1,817","3,137","1,233","3,849","2,964","2,940","1,905","1,586","1,071"
2021년08월_계_40~49세,"86,207","34,481","1,931","2,870","2,255",945,"1,427","3,744","2,638","1,411","2,237","2,854","4,671","2,000","2,070","3,428","51,726","3,368","1,628","1,820","3,182","1,758","4,779","2,876","4,875","2,369","5,179","3,956","3,200","2,707","3,157","2,883","2,080","1,909"
2021년08월_계_50~59세,"96,075","42,878","2,178","3,907","3,000","1,263","1,845","4,149","2,561","1,991","3,264","3,493","5,974","2,508","3,040","3,705","53,197","3,841","2,041","2,730","2,738","1,657","6,876","3,433","4,003","2,885","3,442","2,634","2,374","3,635","4,051","2,561","2,373","1,923"
2021년08월_계_60~69세,"74,592","36,260","1,627","3,366","2,833","1,093","1,798","3,515","1,823","1,952","3,075","3,087","4,574","2,003","2,499","3,015","38,332","2,991","1,583","2,358","2,106","1,350","5,623","2,533","2,569","1,568","1,995","1,336","1,619","2,888","3,145","1,527","1,692","1,449"
2021년08월_계_70~79세,"31,851","16,558",736,"1,643","1,293",667,904,"1,488",750,868,"1,441","1,380","2,206",832,"1,297","1,053","15,293","1,112",642,973,943,597,"2,435","1,139","1,040",593,747,569,578,992,994,684,619,636
2021년08월_계_80~89세,"14,457","7,197",282,644,504,350,447,695,270,359,653,622,978,390,553,450,"7,260",470,225,478,449,358,"1,099",493,563,340,454,305,210,419,455,392,238,312
2021년08월_계_90~99세,"2,210",983,51,91,57,50,57,78,52,45,80,116,128,49,58,71,"1,227",79,45,81,74,66,173,81,65,35,82,47,47,72,77,92,51,60
2021년08월_계_100세 이상,93,43,1,6,1,0,3,3,3,4,13,0,4,0,3,2,50,3,1,2,3,2,12,3,2,6,3,0,5,1,2,1,0,4
2021년08월_남_총인구수,"271,131","119,678","6,232","10,700","8,243","3,503","5,113","13,131","7,701","5,587","8,613","9,605","15,855","6,710","7,499","11,186","151,453","10,331","5,284","6,994","8,224","4,918","17,630","9,666","12,973","7,178","11,477","8,205","9,028","9,701","10,754","7,324","6,378","5,388"
2021년08월_남_연령구간인구수,"271,131","119,678","6,232","10,700","8,243","3,503","5,113","13,131","7,701","5,587","8,613","9,605","15,855","6,710","7,499","11,186","151,453","10,331","5,284","6,994","8,224","4,918","17,630","9,666","12,973","7,178","11,477","8,205","9,028","9,701","10,754","7,324","6,378","5,388"
2021년08월_남_0~9세,"19,552","7,619",432,541,402,120,234,840,848,225,476,728,"1,049",422,287,"1,015","11,933",869,393,343,707,328,988,595,"1,024",657,"1,171",738,"1,260",693,801,569,451,346
2021년08월_남_10~19세,"26,541","9,577",546,745,657,232,368,807,657,344,617,786,"1,364",682,581,"1,191","16,964","1,120",515,571,"1,142",359,"1,513",672,"1,205",826,"1,913","1,804",829,820,954,"1,145",809,767
2021년08월_남_20~29세,"39,400","17,791",955,"1,669","1,303",503,730,"2,032",973,865,"1,270","1,320","2,350","1,074","1,076","1,671","21,609","1,417",810,"1,110","1,063",669,"2,992","1,594","1,742","1,090","1,319",895,992,"1,597","1,670",973,926,750
2021년08월_남_30~39세,"39,707","17,564",958,"1,587","1,175",498,677,"2,645","1,261",887,"1,165","1,316","2,037",759,912,"1,687","22,143","1,291",674,956,999,"1,126","2,474","1,626","2,948",864,"1,440",532,"1,925","1,547","1,510",883,811,537
2021년08월_남_40~49세,"42,381","17,734",967,"1,510","1,153",524,742,"2,007","1,359",777,"1,148","1,386","2,400","1,004","1,067","1,690","24,647","1,610",765,917,"1,453",810,"2,294","1,455","2,335","1,107","2,410","1,788","1,663","1,283","1,583","1,307",962,905
2021년08월_남_50~59세,"46,647","21,014","1,097","1,900","1,424",650,940,"2,080","1,272",995,"1,517","1,626","2,957","1,237","1,576","1,743","25,633","1,822",968,"1,292","1,321",729,"3,205","1,715","1,877","1,414","1,758","1,387","1,186","1,719","1,920","1,239","1,146",935
2021년08월_남_60~69세,"36,686","17,825",794,"1,711","1,354",542,857,"1,724",857,948,"1,500","1,515","2,281","1,024","1,216","1,502","18,861","1,473",770,"1,195",981,581,"2,680","1,278","1,229",804,999,687,793,"1,418","1,626",767,873,707
2021년08월_남_70~79세,"14,694","7,760",354,780,585,281,399,722,355,403,656,695,"1,031",384,598,517,"6,934",531,307,442,408,210,"1,072",529,413,278,318,249,296,458,528,288,302,305
2021년08월_남_80~89세,"4,986","2,570",115,236,177,131,152,248,106,139,243,208,364,117,176,158,"2,416",178,73,145,132,93,362,182,184,126,129,111,77,145,147,124,88,120
2021년08월_남_90~99세,514,213,14,19,12,22,13,26,12,4,16,25,22,7,9,12,301,20,9,23,17,13,47,20,15,11,18,14,6,20,14,29,10,15
2021년08월_남_100세 이상,23,11,0,2,1,0,1,0,1,0,5,0,0,0,1,0,12,0,0,0,1,0,3,0,1,1,2,0,1,1,1,0,0,1
