,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2021년12월_계_총인구수,"1,079,353","482,927","14,463","23,609","48,468","21,801","11,343","15,329","25,416","23,536","29,761","36,505","15,346","37,403","32,732","18,690","21,496","31,715","45,093","27,801","2,420","298,873","37,221","46,603","23,357","38,677","30,310","20,806","24,015","16,245","11,399","27,085","23,155","297,553","26,987","18,318","35,240","51,256","27,856","28,826","36,112","21,509","51,449"
2021년12월_계_연령구간인구수,"1,079,353","482,927","14,463","23,609","48,468","21,801","11,343","15,329","25,416","23,536","29,761","36,505","15,346","37,403","32,732","18,690","21,496","31,715","45,093","27,801","2,420","298,873","37,221","46,603","23,357","38,677","30,310","20,806","24,015","16,245","11,399","27,085","23,155","297,553","26,987","18,318","35,240","51,256","27,856","28,826","36,112","21,509","51,449"
2021년12월_계_0~9세,"77,938","37,138",497,"2,858","5,233","1,243",573,"2,057","2,569","2,743","1,981","1,957",820,"1,799","2,339",665,"1,219","2,154","2,428","3,926",77,"19,825","3,535","3,218","1,225","2,978","1,889",858,"1,348","1,124","1,343",993,"1,314","20,975","1,767",829,"2,455","4,313","1,698","1,907","2,167","1,602","4,237"
2021년12월_계_10~19세,"102,354","41,209","1,062","2,140","4,396","1,769",993,"1,115","1,703","1,708","3,062","2,749","1,158","3,498","3,570","1,135","1,932","2,633","4,587","1,884",115,"28,709","4,907","4,240","2,032","4,317","2,624","1,250","3,194","2,186",956,"1,524","1,479","32,436","2,568","1,408","5,659","5,314","3,088","3,107","2,901","2,200","6,191"
2021년12월_계_20~29세,"146,570","61,897","1,992","2,154","5,482","2,961","1,439","1,727","2,877","2,485","3,537","4,216","2,082","5,994","4,526","2,790","2,932","4,701","6,712","2,861",429,"43,692","4,973","6,615","3,732","5,279","4,671","3,394","3,639","2,160","1,326","5,027","2,876","40,981","3,823","2,595","4,483","7,147","3,671","3,664","6,105","2,885","6,608"
2021년12월_계_30~39세,"142,754","69,046","1,540","3,731","8,129","2,592","1,313","3,018","4,831","5,489","3,043","3,912","1,748","4,359","4,228","2,305","2,668","4,934","5,096","5,855",255,"38,249","4,066","5,362","2,977","4,568","4,521","3,354","2,249","1,530","1,795","4,881","2,946","35,459","3,119","1,879","3,441","6,832","3,286","3,297","5,318","2,796","5,491"
2021년12월_계_40~49세,"177,365","78,294","1,922","4,411","9,193","3,313","1,646","2,649","4,335","4,154","4,986","5,536","2,166","5,425","5,823","2,485","3,314","4,661","6,921","5,066",288,"49,522","7,223","7,025","3,407","6,559","4,786","3,544","3,957","2,814","2,123","4,663","3,421","49,549","4,064","2,416","6,853","8,776","4,459","4,608","5,432","3,561","9,380"
2021년12월_계_50~59세,"197,066","84,104","3,112","3,286","6,856","4,253","2,067","1,989","3,673","2,978","5,227","7,027","3,101","7,456","5,896","3,893","4,195","5,871","9,244","3,537",443,"56,499","6,775","9,142","4,475","6,955","5,785","3,927","4,756","3,119","1,955","5,021","4,589","56,463","5,190","4,089","6,586","9,718","5,068","5,132","6,799","4,096","9,785"
2021년12월_계_60~69세,"133,115","62,484","2,495","3,026","5,264","3,139","1,734","1,617","3,083","2,373","4,229","6,245","2,465","4,602","3,372","3,139","2,990","3,756","5,694","2,803",458,"36,055","3,487","6,250","3,165","4,665","3,631","2,525","2,852","1,716","1,244","2,756","3,764","34,576","3,580","3,023","3,392","5,124","3,361","3,467","4,348","2,541","5,740"
2021년12월_계_70~79세,"61,394","30,344","1,150","1,369","2,628","1,559",907,753,"1,555","1,062","2,404","3,121","1,125","2,445","1,695","1,385","1,365","1,799","2,576","1,210",236,"15,423","1,375","2,725","1,436","2,031","1,462","1,139","1,151",795,444,"1,222","1,643","15,627","1,735","1,235","1,343","2,299","1,657","1,932","1,842","1,096","2,488"
