,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2021년07월_계_총인구수,"26,530","9,529","1,694","1,179","1,019","1,514","1,533","1,427","1,812",748,"2,802",980,"1,129","1,164"
2021년07월_계_연령구간인구수,"26,530","9,529","1,694","1,179","1,019","1,514","1,533","1,427","1,812",748,"2,802",980,"1,129","1,164"
2021년07월_계_0~9세,"1,035",671,31,18,30,28,34,42,35,16,79,25,11,15
2021년07월_계_10~19세,"1,464",900,49,32,25,54,55,34,49,29,151,32,28,26
2021년07월_계_20~29세,"1,945",979,96,74,66,108,80,81,109,28,201,41,40,42
2021년07월_계_30~39세,"1,674",914,90,60,45,64,91,53,70,30,132,52,32,41
2021년07월_계_40~49세,"2,737","1,463",118,80,62,125,122,109,142,49,267,67,52,81
2021년07월_계_50~59세,"4,484","1,620",307,204,174,274,277,242,296,102,499,128,179,182
2021년07월_계_60~69세,"5,721","1,505",442,316,246,363,385,355,492,218,588,231,281,299
2021년07월_계_70~79세,"3,885",871,275,208,184,246,239,257,329,142,494,206,221,213
2021년07월_계_80~89세,"3,101",534,244,157,161,220,213,217,262,116,335,170,247,225
2021년07월_계_90~99세,478,71,40,30,26,32,37,37,28,17,56,28,38,38
2021년07월_계_100세 이상,6,1,2,0,0,0,0,0,0,1,0,0,0,2
2021년07월_남_총인구수,"13,055","4,719",847,581,485,749,765,684,922,353,"1,347",514,527,562
2021년07월_남_연령구간인구수,"13,055","4,719",847,581,485,749,765,684,922,353,"1,347",514,527,562
2021년07월_남_0~9세,537,353,17,12,11,14,16,19,19,10,38,17,5,6
2021년07월_남_10~19세,776,474,25,18,15,27,25,14,28,19,79,20,18,14
2021년07월_남_20~29세,"1,107",525,52,46,42,74,44,45,63,17,120,27,28,24
2021년07월_남_30~39세,897,442,53,39,25,32,58,33,35,21,83,36,12,28
2021년07월_남_40~49세,"1,568",768,81,50,40,75,73,66,84,32,162,54,32,51
2021년07월_남_50~59세,"2,500",884,176,106,103,157,158,139,161,55,276,72,105,108
2021년07월_남_60~69세,"3,042",734,253,165,127,200,219,193,287,109,291,144,153,167
2021년07월_남_70~79세,"1,620",367,115,88,79,89,102,102,156,55,206,84,87,90
2021년07월_남_80~89세,905,154,65,50,39,75,63,59,84,34,86,53,81,62
2021년07월_남_90~99세,102,18,10,7,4,6,7,14,5,1,6,7,6,11
2021년07월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년07월_여_총인구수,"13,475","4,810",847,598,534,765,768,743,890,395,"1,455",466,602,602
2021년07월_여_연령구간인구수,"13,475","4,810",847,598,534,765,768,743,890,395,"1,455",466,602,602
2021년07월_여_0~9세,498,318,14,6,19,14,18,23,16,6,41,8,6,9
2021년07월_여_10~19세,688,426,24,14,10,27,30,20,21,10,72,12,10,12
2021년07월_여_20~29세,838,454,44,28,24,34,36,36,46,11,81,14,12,18
2021년07월_여_30~39세,777,472,37,21,20,32,33,20,35,9,49,16,20,13
2021년07월_여_40~49세,"1,169",695,37,30,22,50,49,43,58,17,105,13,20,30
2021년07월_여_50~59세,"1,984",736,131,98,71,117,119,103,135,47,223,56,74,74
2021년07월_여_60~69세,"2,679",771,189,151,119,163,166,162,205,109,297,87,128,132
2021년07월_여_70~79세,"2,265",504,160,120,105,157,137,155,173,87,288,122,134,123
2021년07월_여_80~89세,"2,196",380,179,107,122,145,150,158,178,82,249,117,166,163
2021년07월_여_90~99세,376,53,30,23,22,26,30,23,23,16,50,21,32,27
2021년07월_여_100세 이상,5,1,2,0,0,0,0,0,0,1,0,0,0,1
