,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년11월_계_총인구수,"51,442","24,543","1,768","1,854","2,745","1,598","1,692",863,"1,442","1,135","1,011","3,615","1,771","3,078","4,327"
2020년11월_계_연령구간인구수,"51,442","24,543","1,768","1,854","2,745","1,598","1,692",863,"1,442","1,135","1,011","3,615","1,771","3,078","4,327"
2020년11월_계_0~9세,"2,592","1,892",40,26,99,25,32,16,36,28,28,143,23,60,144
2020년11월_계_10~19세,"4,148","2,697",87,102,184,66,66,29,61,69,34,281,49,141,282
2020년11월_계_20~29세,"3,933","2,269",82,93,246,85,91,45,99,69,49,260,89,171,285
2020년11월_계_30~39세,"3,889","2,406",88,88,186,64,73,38,85,46,41,245,72,158,299
2020년11월_계_40~49세,"6,414","3,766",177,148,305,138,137,44,129,76,67,421,168,291,547
2020년11월_계_50~59세,"9,157","4,340",302,297,490,278,305,123,264,181,181,646,357,575,818
2020년11월_계_60~69세,"9,682","3,728",457,454,579,361,397,200,310,263,236,788,392,712,805
2020년11월_계_70~79세,"6,743","2,183",318,378,381,310,306,203,224,187,199,508,344,563,639
2020년11월_계_80~89세,"4,233","1,099",189,232,233,233,238,145,199,179,149,282,245,354,456
2020년11월_계_90~99세,633,154,28,36,41,37,47,20,34,36,25,41,31,52,51
2020년11월_계_100세 이상,18,9,0,0,1,1,0,0,1,1,2,0,1,1,1
2020년11월_남_총인구수,"25,795","12,303",906,904,"1,428",786,866,378,703,555,505,"1,781",888,"1,581","2,211"
2020년11월_남_연령구간인구수,"25,795","12,303",906,904,"1,428",786,866,378,703,555,505,"1,781",888,"1,581","2,211"
2020년11월_남_0~9세,"1,315",977,20,14,46,13,15,9,13,15,11,68,11,29,74
2020년11월_남_10~19세,"2,264","1,493",49,58,93,39,37,13,31,36,16,145,27,78,149
2020년11월_남_20~29세,"2,314","1,308",52,57,161,51,52,23,64,42,34,142,51,99,178
2020년11월_남_30~39세,"2,138","1,228",62,53,111,31,50,20,55,29,28,129,48,110,184
2020년11월_남_40~49세,"3,571","1,977",105,93,178,84,79,24,81,48,40,227,98,203,334
2020년11월_남_50~59세,"4,988","2,241",175,168,275,143,188,68,145,105,111,341,216,329,483
2020년11월_남_60~69세,"4,830","1,786",237,208,298,199,211,92,164,132,135,406,210,366,386
2020년11월_남_70~79세,"2,957",928,143,169,177,137,149,85,89,84,79,235,149,260,273
2020년11월_남_80~89세,"1,293",335,58,75,79,80,69,42,58,56,45,81,75,98,142
2020년11월_남_90~99세,121,27,5,9,10,9,16,2,3,8,5,7,3,9,8
2020년11월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년11월_여_총인구수,"25,647","12,240",862,950,"1,317",812,826,485,739,580,506,"1,834",883,"1,497","2,116"
2020년11월_여_연령구간인구수,"25,647","12,240",862,950,"1,317",812,826,485,739,580,506,"1,834",883,"1,497","2,116"
2020년11월_여_0~9세,"1,277",915,20,12,53,12,17,7,23,13,17,75,12,31,70
2020년11월_여_10~19세,"1,884","1,204",38,44,91,27,29,16,30,33,18,136,22,63,133
2020년11월_여_20~29세,"1,619",961,30,36,85,34,39,22,35,27,15,118,38,72,107
2020년11월_여_30~39세,"1,751","1,178",26,35,75,33,23,18,30,17,13,116,24,48,115
2020년11월_여_40~49세,"2,843","1,789",72,55,127,54,58,20,48,28,27,194,70,88,213
2020년11월_여_50~59세,"4,169","2,099",127,129,215,135,117,55,119,76,70,305,141,246,335
2020년11월_여_60~69세,"4,852","1,942",220,246,281,162,186,108,146,131,101,382,182,346,419
2020년11월_여_70~79세,"3,786","1,255",175,209,204,173,157,118,135,103,120,273,195,303,366
2020년11월_여_80~89세,"2,940",764,131,157,154,153,169,103,141,123,104,201,170,256,314
2020년11월_여_90~99세,512,127,23,27,31,28,31,18,31,28,20,34,28,43,43
2020년11월_여_100세 이상,14,6,0,0,1,1,0,0,1,1,1,0,1,1,1
