,충청남도 서천군,충청남도 서천군 장항읍,충청남도 서천군 서천읍,충청남도 서천군 마서면,충청남도 서천군 화양면,충청남도 서천군 기산면,충청남도 서천군 한산면,충청남도 서천군 마산면,충청남도 서천군 시초면,충청남도 서천군 문산면,충청남도 서천군 판교면,충청남도 서천군 종천면,충청남도 서천군 비인면,충청남도 서천군 서면
2020년04월_계_총인구수,"52,374","11,192","13,798","5,035","2,301","1,701","2,578","1,527","1,288","1,281","2,140","2,065","3,019","4,449"
2020년04월_계_연령구간인구수,"52,374","11,192","13,798","5,035","2,301","1,701","2,578","1,527","1,288","1,281","2,140","2,065","3,019","4,449"
2020년04월_계_0~9세,"2,421",591,"1,032",176,57,39,56,60,29,33,46,48,52,202
2020년04월_계_10~19세,"3,584",905,"1,537",223,62,58,112,72,60,31,70,85,106,263
2020년04월_계_20~29세,"4,030","1,072","1,367",318,104,94,159,83,60,38,99,105,222,309
2020년04월_계_30~39세,"3,632",890,"1,188",332,117,69,117,79,68,58,100,101,164,349
2020년04월_계_40~49세,"6,059","1,599","2,050",516,169,139,239,110,79,98,161,156,247,496
2020년04월_계_50~59세,"8,665","1,922","2,242",833,319,273,379,228,198,200,347,323,580,821
2020년04월_계_60~69세,"9,971","1,930","2,038","1,039",511,346,526,334,275,312,509,500,689,962
2020년04월_계_70~79세,"7,963","1,474","1,381",923,469,344,516,292,251,277,423,406,554,653
2020년04월_계_80~89세,"5,231",715,816,579,435,286,412,242,242,203,331,284,339,347
2020년04월_계_90~99세,775,89,139,91,54,51,59,27,25,28,51,54,62,45
2020년04월_계_100세 이상,43,5,8,5,4,2,3,0,1,3,3,3,4,2
2020년04월_남_총인구수,"25,898","5,599","6,736","2,518","1,102",836,"1,210",735,630,652,"1,048","1,000","1,498","2,334"
2020년04월_남_연령구간인구수,"25,898","5,599","6,736","2,518","1,102",836,"1,210",735,630,652,"1,048","1,000","1,498","2,334"
2020년04월_남_0~9세,"1,213",287,522,93,31,19,26,27,14,22,17,24,31,100
2020년04월_남_10~19세,"1,851",460,805,117,38,26,52,38,32,17,36,42,57,131
2020년04월_남_20~29세,"2,350",622,769,172,65,59,96,51,34,27,61,67,146,181
2020년04월_남_30~39세,"2,030",477,577,202,70,43,73,51,43,32,62,64,100,236
2020년04월_남_40~49세,"3,350",857,993,320,109,93,131,66,46,67,97,90,155,326
2020년04월_남_50~59세,"4,654","1,075","1,146",470,169,146,196,116,108,116,188,183,302,439
2020년04월_남_60~69세,"4,882",910,977,527,239,178,256,170,148,146,249,251,337,494
2020년04월_남_70~79세,"3,501",618,624,388,214,157,218,133,112,135,202,181,247,272
2020년04월_남_80~89세,"1,882",272,285,210,153,104,147,77,84,86,128,81,111,144
2020년04월_남_90~99세,175,21,35,18,12,11,15,6,9,3,8,15,12,10
2020년04월_남_100세 이상,10,0,3,1,2,0,0,0,0,1,0,2,0,1
2020년04월_여_총인구수,"26,476","5,593","7,062","2,517","1,199",865,"1,368",792,658,629,"1,092","1,065","1,521","2,115"
2020년04월_여_연령구간인구수,"26,476","5,593","7,062","2,517","1,199",865,"1,368",792,658,629,"1,092","1,065","1,521","2,115"
2020년04월_여_0~9세,"1,208",304,510,83,26,20,30,33,15,11,29,24,21,102
2020년04월_여_10~19세,"1,733",445,732,106,24,32,60,34,28,14,34,43,49,132
2020년04월_여_20~29세,"1,680",450,598,146,39,35,63,32,26,11,38,38,76,128
2020년04월_여_30~39세,"1,602",413,611,130,47,26,44,28,25,26,38,37,64,113
2020년04월_여_40~49세,"2,709",742,"1,057",196,60,46,108,44,33,31,64,66,92,170
2020년04월_여_50~59세,"4,011",847,"1,096",363,150,127,183,112,90,84,159,140,278,382
2020년04월_여_60~69세,"5,089","1,020","1,061",512,272,168,270,164,127,166,260,249,352,468
2020년04월_여_70~79세,"4,462",856,757,535,255,187,298,159,139,142,221,225,307,381
2020년04월_여_80~89세,"3,349",443,531,369,282,182,265,165,158,117,203,203,228,203
2020년04월_여_90~99세,600,68,104,73,42,40,44,21,16,25,43,39,50,35
2020년04월_여_100세 이상,33,5,5,4,2,2,3,0,1,2,3,1,4,1
