,경상남도 남해군,경상남도 남해군 남해읍,경상남도 남해군 이동면,경상남도 남해군 상주면,경상남도 남해군 삼동면,경상남도 남해군 미조면,경상남도 남해군 남면,경상남도 남해군 서면,경상남도 남해군 고현면,경상남도 남해군 설천면,경상남도 남해군 창선면
2021년04월_계_총인구수,"42,688","13,158","3,711","1,642","3,884","2,298","3,484","2,584","3,524","2,849","5,554"
2021년04월_계_연령구간인구수,"42,688","13,158","3,711","1,642","3,884","2,298","3,484","2,584","3,524","2,849","5,554"
2021년04월_계_0~9세,"1,561",839,71,47,124,78,59,50,112,51,130
2021년04월_계_10~19세,"2,951","1,421",244,104,174,173,193,88,178,114,262
2021년04월_계_20~29세,"3,201","1,539",215,98,201,173,186,118,204,160,307
2021년04월_계_30~39세,"2,403","1,108",146,82,190,123,135,101,162,106,250
2021년04월_계_40~49세,"4,510","1,920",328,138,371,251,310,205,312,194,481
2021년04월_계_50~59세,"7,181","2,201",620,307,650,451,582,409,556,462,943
2021년04월_계_60~69세,"8,426","1,993",782,331,860,509,699,557,710,678,"1,307"
2021년04월_계_70~79세,"6,634","1,223",679,267,707,332,706,497,642,532,"1,049"
2021년04월_계_80~89세,"4,938",781,537,230,509,172,522,481,529,453,724
2021년04월_계_90~99세,868,131,88,38,97,36,86,76,118,98,100
2021년04월_계_100세 이상,15,2,1,0,1,0,6,2,1,1,1
2021년04월_남_총인구수,"20,629","6,439","1,781",807,"1,881","1,193","1,656","1,239","1,649","1,348","2,636"
2021년04월_남_연령구간인구수,"20,629","6,439","1,781",807,"1,881","1,193","1,656","1,239","1,649","1,348","2,636"
2021년04월_남_0~9세,811,416,35,27,70,38,33,29,63,25,75
2021년04월_남_10~19세,"1,611",751,155,54,100,92,99,54,106,57,143
2021년04월_남_20~29세,"1,976",924,131,66,124,124,120,87,109,101,190
2021년04월_남_30~39세,"1,245",543,76,40,102,67,79,55,88,60,135
2021년04월_남_40~49세,"2,421",921,179,76,213,140,182,129,180,110,291
2021년04월_남_50~59세,"3,869","1,129",355,180,362,243,320,242,295,248,495
2021년04월_남_60~69세,"4,114",945,373,166,421,261,337,271,337,347,656
2021년04월_남_70~79세,"2,928",544,291,115,322,163,324,213,286,236,434
2021년04월_남_80~89세,"1,504",250,165,78,153,60,141,150,157,147,203
2021년04월_남_90~99세,149,16,20,5,14,5,21,9,28,17,14
2021년04월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0
2021년04월_여_총인구수,"22,059","6,719","1,930",835,"2,003","1,105","1,828","1,345","1,875","1,501","2,918"
2021년04월_여_연령구간인구수,"22,059","6,719","1,930",835,"2,003","1,105","1,828","1,345","1,875","1,501","2,918"
2021년04월_여_0~9세,750,423,36,20,54,40,26,21,49,26,55
2021년04월_여_10~19세,"1,340",670,89,50,74,81,94,34,72,57,119
2021년04월_여_20~29세,"1,225",615,84,32,77,49,66,31,95,59,117
2021년04월_여_30~39세,"1,158",565,70,42,88,56,56,46,74,46,115
2021년04월_여_40~49세,"2,089",999,149,62,158,111,128,76,132,84,190
2021년04월_여_50~59세,"3,312","1,072",265,127,288,208,262,167,261,214,448
2021년04월_여_60~69세,"4,312","1,048",409,165,439,248,362,286,373,331,651
2021년04월_여_70~79세,"3,706",679,388,152,385,169,382,284,356,296,615
2021년04월_여_80~89세,"3,434",531,372,152,356,112,381,331,372,306,521
2021년04월_여_90~99세,719,115,68,33,83,31,65,67,90,81,86
2021년04월_여_100세 이상,14,2,0,0,1,0,6,2,1,1,1
