카테고리,부산광역시 북구,부산광역시 북구 구포제1동,부산광역시 북구 구포제2동,부산광역시 북구 구포제3동,부산광역시 북구 금곡동,부산광역시 북구 화명제1동,부산광역시 북구 화명제2동,부산광역시 북구 화명제3동,부산광역시 북구 덕천제1동,부산광역시 북구 덕천제2동,부산광역시 북구 덕천제3동,부산광역시 북구 만덕제1동,부산광역시 북구 만덕제2동,부산광역시 북구 만덕제3동
2020년06월_계_총인구수,"288,376","14,876","26,635","20,675","39,609","43,412","15,701","30,744","13,038","12,600","11,306","12,835","27,575","19,370"
2020년06월_계_연령구간인구수,"288,376","14,876","26,635","20,675","39,609","43,412","15,701","30,744","13,038","12,600","11,306","12,835","27,575","19,370"
2020년06월_계_0~9세,"19,817",758,"1,526","1,006","2,288","4,231","1,018","2,760",524,472,496,948,"2,424","1,366"
2020년06월_계_10~19세,"24,224",733,"1,844","1,618","3,351","4,664","1,351","4,060",628,692,671,810,"2,434","1,368"
2020년06월_계_20~29세,"38,776","2,119","3,816","3,056","4,759","6,162","2,328","4,022","1,679","1,967","1,482","1,539","3,353","2,494"
2020년06월_계_30~39세,"34,829","2,016","3,403","2,098","3,997","5,704","1,728","3,293","1,638","1,575","1,222","2,056","3,542","2,557"
2020년06월_계_40~49세,"41,423","1,800","3,562","3,009","5,493","6,756","2,049","5,650","1,599","1,603","1,506","1,579","4,255","2,562"
2020년06월_계_50~59세,"55,327","3,036","5,449","4,417","7,761","8,528","3,306","5,465","2,413","2,367","2,042","2,287","4,755","3,501"
2020년06월_계_60~69세,"44,003","2,617","4,290","3,389","6,404","4,963","2,271","3,070","2,545","2,320","2,124","2,192","4,279","3,539"
2020년06월_계_70~79세,"20,970","1,268","1,990","1,544","3,560","1,739","1,093","1,695","1,357","1,110","1,254","1,059","1,839","1,462"
2020년06월_계_80~89세,"7,903",468,670,474,"1,800",576,444,649,586,425,457,316,594,444
2020년06월_계_90~99세,"1,005",56,69,60,192,84,76,79,65,64,46,44,94,76
2020년06월_계_100세 이상,99,5,16,4,4,5,37,1,4,5,6,5,6,1
2020년06월_남_총인구수,"142,725","7,546","13,694","10,618","19,220","21,368","7,663","15,049","6,430","6,281","5,521","6,312","13,546","9,477"
2020년06월_남_연령구간인구수,"142,725","7,546","13,694","10,618","19,220","21,368","7,663","15,049","6,430","6,281","5,521","6,312","13,546","9,477"
2020년06월_남_0~9세,"10,192",366,821,527,"1,161","2,179",527,"1,412",268,243,261,468,"1,250",709
2020년06월_남_10~19세,"12,602",349,994,872,"1,707","2,402",689,"2,135",344,368,346,407,"1,252",737
2020년06월_남_20~29세,"20,814","1,125","2,062","1,721","2,567","3,295","1,255","2,137",907,"1,015",797,802,"1,762","1,369"
2020년06월_남_30~39세,"18,031","1,136","1,857","1,142","2,114","2,734",904,"1,528",898,894,672,"1,079","1,781","1,292"
2020년06월_남_40~49세,"20,485","1,001","1,866","1,567","2,664","3,119",971,"2,577",834,855,803,818,"2,118","1,292"
2020년06월_남_50~59세,"26,474","1,502","2,729","2,180","3,697","4,017","1,516","2,749","1,165","1,153",987,"1,049","2,234","1,496"
2020년06월_남_60~69세,"21,701","1,309","2,160","1,705","3,274","2,557","1,143","1,467","1,203","1,099",984,"1,066","2,041","1,693"
2020년06월_남_70~79세,"9,586",594,944,723,"1,451",875,492,751,614,506,528,507,888,713
2020년06월_남_80~89세,"2,621",152,250,171,537,179,134,275,182,133,134,112,200,162
2020년06월_남_90~99세,199,11,9,10,48,11,20,18,15,14,7,3,19,14
2020년06월_남_100세 이상,20,1,2,0,0,0,12,0,0,1,2,1,1,0
2020년06월_여_총인구수,"145,651","7,330","12,941","10,057","20,389","22,044","8,038","15,695","6,608","6,319","5,785","6,523","14,029","9,893"
2020년06월_여_연령구간인구수,"145,651","7,330","12,941","10,057","20,389","22,044","8,038","15,695","6,608","6,319","5,785","6,523","14,029","9,893"
2020년06월_여_0~9세,"9,625",392,705,479,"1,127","2,052",491,"1,348",256,229,235,480,"1,174",657
2020년06월_여_10~19세,"11,622",384,850,746,"1,644","2,262",662,"1,925",284,324,325,403,"1,182",631
2020년06월_여_20~29세,"17,962",994,"1,754","1,335","2,192","2,867","1,073","1,885",772,952,685,737,"1,591","1,125"
2020년06월_여_30~39세,"16,798",880,"1,546",956,"1,883","2,970",824,"1,765",740,681,550,977,"1,761","1,265"
2020년06월_여_40~49세,"20,938",799,"1,696","1,442","2,829","3,637","1,078","3,073",765,748,703,761,"2,137","1,270"
2020년06월_여_50~59세,"28,853","1,534","2,720","2,237","4,064","4,511","1,790","2,716","1,248","1,214","1,055","1,238","2,521","2,005"
2020년06월_여_60~69세,"22,302","1,308","2,130","1,684","3,130","2,406","1,128","1,603","1,342","1,221","1,140","1,126","2,238","1,846"
2020년06월_여_70~79세,"11,384",674,"1,046",821,"2,109",864,601,944,743,604,726,552,951,749
2020년06월_여_80~89세,"5,282",316,420,303,"1,263",397,310,374,404,292,323,204,394,282
2020년06월_여_90~99세,806,45,60,50,144,73,56,61,50,50,39,41,75,62
2020년06월_여_100세 이상,79,4,14,4,4,5,25,1,4,4,4,4,5,1
