카테고리,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년01월_계_총인구수,"591,599","42,475","23,536","21,725","32,170","53,413","19,078","22,503","21,650","35,481","25,014","25,973","33,845","15,046","16,092","38,349","44,543","27,382","45,332","23,681","24,311"
2020년01월_계_연령구간인구수,"591,599","42,475","23,536","21,725","32,170","53,413","19,078","22,503","21,650","35,481","25,014","25,973","33,845","15,046","16,092","38,349","44,543","27,382","45,332","23,681","24,311"
2020년01월_계_0~9세,"43,742","4,367","1,414","1,534","1,833","3,157","1,413","1,433","1,319","2,588","1,424","1,611","1,920",577,848,"3,846","4,131","2,763","4,709","1,285","1,570"
2020년01월_계_10~19세,"47,111","4,612","1,488","1,736","2,338","2,739","1,590","1,708","1,459","2,656","1,766","1,749","2,032",517,696,"5,144","5,603","1,766","4,308","1,547","1,657"
2020년01월_계_20~29세,"87,436","5,716","4,576","3,385","4,352","8,966","2,565","3,320","2,994","5,742","4,067","3,882","8,219","1,864","1,982","4,725","5,342","3,937","5,531","3,489","2,782"
2020년01월_계_30~39세,"102,806","7,447","5,641","3,712","4,685","11,177","3,237","3,418","3,641","6,687","4,174","4,627","8,075","2,612","3,266","4,730","5,961","5,283","6,929","3,636","3,868"
2020년01월_계_40~49세,"93,357","7,809","3,322","3,158","4,190","7,785","3,238","3,295","3,346","5,855","3,763","4,101","4,587","1,491","2,024","7,516","8,804","4,194","7,907","3,316","3,656"
2020년01월_계_50~59세,"88,931","6,089","3,118","3,575","5,723","7,756","2,916","3,520","3,560","4,990","4,091","3,950","4,270","2,504","2,416","5,686","6,575","3,898","6,659","3,807","3,828"
2020년01월_계_60~69세,"73,920","3,988","2,113","2,814","4,919","6,889","2,400","3,409","3,068","4,110","3,513","3,432","3,001","3,130","2,634","3,770","4,846","3,123","5,422","3,549","3,790"
2020년01월_계_70~79세,"37,751","1,694","1,086","1,283","2,459","3,668","1,300","1,741","1,627","2,063","1,593","2,000","1,187","1,503","1,501","2,045","2,439","1,679","2,708","2,089","2,086"
