카테고리,경상남도 고성군,경상남도 고성군 고성읍,경상남도 고성군 삼산면,경상남도 고성군 하일면,경상남도 고성군 하이면,경상남도 고성군 상리면,경상남도 고성군 대가면,경상남도 고성군 영현면,경상남도 고성군 영오면,경상남도 고성군 개천면,경상남도 고성군 구만면,경상남도 고성군 회화면,경상남도 고성군 마암면,경상남도 고성군 동해면,경상남도 고성군 거류면
2020년12월_계_총인구수,"51,361","24,493","1,759","1,848","2,760","1,591","1,689",858,"1,439","1,129","1,010","3,605","1,764","3,088","4,328"
2020년12월_계_연령구간인구수,"51,361","24,493","1,759","1,848","2,760","1,591","1,689",858,"1,439","1,129","1,010","3,605","1,764","3,088","4,328"
2020년12월_계_0~9세,"2,570","1,869",39,27,99,25,35,14,38,25,28,142,23,63,143
2020년12월_계_10~19세,"4,157","2,704",85,102,184,65,66,27,59,70,33,283,51,143,285
2020년12월_계_20~29세,"3,906","2,255",79,90,257,79,85,45,102,68,51,260,82,174,279
2020년12월_계_30~39세,"3,850","2,379",88,91,191,63,74,35,80,43,39,242,70,159,296
2020년12월_계_40~49세,"6,374","3,756",170,143,300,137,133,44,129,76,64,420,168,284,550
2020년12월_계_50~59세,"9,135","4,333",305,292,492,278,300,121,263,183,177,637,356,582,816
2020년12월_계_60~69세,"9,735","3,742",458,455,581,363,407,204,309,263,243,793,393,713,811
2020년12월_계_70~79세,"6,740","2,193",314,380,380,310,303,201,227,186,200,505,343,560,638
2020년12월_계_80~89세,"4,242","1,105",193,232,234,234,236,146,196,180,148,284,242,356,456
2020년12월_계_90~99세,632,147,28,36,41,36,50,21,35,34,25,39,35,53,52
2020년12월_계_100세 이상,20,10,0,0,1,1,0,0,1,1,2,0,1,1,2
2020년12월_남_총인구수,"25,760","12,288",902,899,"1,442",783,864,374,702,551,505,"1,765",882,"1,586","2,217"
2020년12월_남_연령구간인구수,"25,760","12,288",902,899,"1,442",783,864,374,702,551,505,"1,765",882,"1,586","2,217"
2020년12월_남_0~9세,"1,301",967,19,13,45,13,15,8,13,13,11,68,11,30,75
2020년12월_남_10~19세,"2,269","1,496",49,57,94,38,39,13,31,36,14,144,27,80,151
2020년12월_남_20~29세,"2,293","1,298",49,55,168,47,47,23,66,41,36,138,50,98,177
2020년12월_남_30~39세,"2,125","1,230",62,54,118,30,51,17,51,26,26,125,47,107,181
2020년12월_남_40~49세,"3,551","1,964",101,93,179,86,79,24,81,49,37,227,96,199,336
2020년12월_남_50~59세,"4,976","2,237",178,165,272,142,182,66,145,106,110,335,217,337,484
2020년12월_남_60~69세,"4,860","1,794",239,208,299,200,218,94,163,132,139,407,209,367,391
2020년12월_남_70~79세,"2,961",936,140,170,177,138,148,85,91,85,81,234,148,259,269
2020년12월_남_80~89세,"1,302",339,60,75,79,80,69,42,58,56,45,82,73,99,145
2020년12월_남_90~99세,118,24,5,9,11,9,16,2,3,7,5,5,4,10,8
2020년12월_남_100세 이상,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0
2020년12월_여_총인구수,"25,601","12,205",857,949,"1,318",808,825,484,737,578,505,"1,840",882,"1,502","2,111"
2020년12월_여_연령구간인구수,"25,601","12,205",857,949,"1,318",808,825,484,737,578,505,"1,840",882,"1,502","2,111"
2020년12월_여_0~9세,"1,269",902,20,14,54,12,20,6,25,12,17,74,12,33,68
2020년12월_여_10~19세,"1,888","1,208",36,45,90,27,27,14,28,34,19,139,24,63,134
2020년12월_여_20~29세,"1,613",957,30,35,89,32,38,22,36,27,15,122,32,76,102
2020년12월_여_30~39세,"1,725","1,149",26,37,73,33,23,18,29,17,13,117,23,52,115
2020년12월_여_40~49세,"2,823","1,792",69,50,121,51,54,20,48,27,27,193,72,85,214
2020년12월_여_50~59세,"4,159","2,096",127,127,220,136,118,55,118,77,67,302,139,245,332
2020년12월_여_60~69세,"4,875","1,948",219,247,282,163,189,110,146,131,104,386,184,346,420
2020년12월_여_70~79세,"3,779","1,257",174,210,203,172,155,116,136,101,119,271,195,301,369
2020년12월_여_80~89세,"2,940",766,133,157,155,154,167,104,138,124,103,202,169,257,311
2020년12월_여_90~99세,514,123,23,27,30,27,34,19,32,27,20,34,31,43,44
2020년12월_여_100세 이상,16,7,0,0,1,1,0,0,1,1,1,0,1,1,2
