,전라남도 화순군,전라남도 화순군 화순읍,전라남도 화순군 한천면,전라남도 화순군 한천면영외출장소,전라남도 화순군 춘양면,전라남도 화순군 청풍면,전라남도 화순군 이양면,전라남도 화순군 능주면,전라남도 화순군 도곡면,전라남도 화순군 도암면,전라남도 화순군 이서면,전라남도 화순군 백아면,전라남도 화순군 동복면,전라남도 화순군 사평면,전라남도 화순군 동면
2021년02월_계_총인구수,"62,478","39,047",931,431,"1,791","1,046","1,789","3,317","2,874","1,438",997,"1,603","1,636","2,159","3,419"
2021년02월_계_연령구간인구수,"62,478","39,047",931,431,"1,791","1,046","1,789","3,317","2,874","1,438",997,"1,603","1,636","2,159","3,419"
2021년02월_계_0~9세,"3,439","2,843",15,10,35,31,35,125,86,28,19,37,33,45,97
2021년02월_계_10~19세,"5,678","4,635",43,17,69,21,52,275,124,53,38,61,61,65,164
2021년02월_계_20~29세,"6,759","5,124",65,8,114,57,98,282,220,79,80,82,119,144,287
2021년02월_계_30~39세,"4,681","3,460",44,18,90,38,83,224,181,45,48,64,61,122,203
2021년02월_계_40~49세,"8,209","6,233",100,36,117,63,137,340,278,98,72,116,122,174,323
2021년02월_계_50~59세,"11,273","6,972",165,71,318,196,317,560,542,256,208,293,300,401,674
2021년02월_계_60~69세,"9,582","4,649",194,98,370,207,383,671,630,331,205,346,333,461,704
2021년02월_계_70~79세,"7,431","3,204",183,111,346,200,345,496,431,302,185,354,326,418,530
2021년02월_계_80~89세,"4,733","1,695",110,56,290,206,289,300,325,219,124,219,236,275,389
2021년02월_계_90~99세,656,217,11,6,42,26,47,44,56,24,16,30,42,52,43
2021년02월_계_100세 이상,37,15,1,0,0,1,3,0,1,3,2,1,3,2,5
2021년02월_남_총인구수,"30,888","19,186",478,203,922,506,874,"1,630","1,426",745,517,803,770,"1,100","1,728"
2021년02월_남_연령구간인구수,"30,888","19,186",478,203,922,506,874,"1,630","1,426",745,517,803,770,"1,100","1,728"
2021년02월_남_0~9세,"1,751","1,453",6,3,20,15,19,63,34,16,10,23,15,29,45
2021년02월_남_10~19세,"2,944","2,392",26,12,41,9,24,126,71,28,19,30,29,41,96
2021년02월_남_20~29세,"3,673","2,749",37,5,62,34,50,168,118,49,49,54,69,78,151
2021년02월_남_30~39세,"2,365","1,684",28,9,54,18,49,121,112,28,27,32,38,65,100
2021년02월_남_40~49세,"4,252","3,022",63,23,80,49,88,190,170,63,43,85,70,118,188
2021년02월_남_50~59세,"6,167","3,622",103,46,203,117,198,310,306,161,123,182,169,237,390
2021년02월_남_60~69세,"5,032","2,312",98,46,222,125,214,349,332,185,116,192,188,256,397
2021년02월_남_70~79세,"3,100","1,330",82,41,149,80,140,202,197,127,82,136,121,174,239
2021년02월_남_80~89세,"1,452",570,35,17,81,53,81,93,75,80,42,62,66,86,111
2021년02월_남_90~99세,149,51,0,1,10,6,9,8,11,8,6,7,5,16,11
2021년02월_남_100세 이상,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2021년02월_여_총인구수,"31,590","19,861",453,228,869,540,915,"1,687","1,448",693,480,800,866,"1,059","1,691"
2021년02월_여_연령구간인구수,"31,590","19,861",453,228,869,540,915,"1,687","1,448",693,480,800,866,"1,059","1,691"
2021년02월_여_0~9세,"1,688","1,390",9,7,15,16,16,62,52,12,9,14,18,16,52
2021년02월_여_10~19세,"2,734","2,243",17,5,28,12,28,149,53,25,19,31,32,24,68
2021년02월_여_20~29세,"3,086","2,375",28,3,52,23,48,114,102,30,31,28,50,66,136
2021년02월_여_30~39세,"2,316","1,776",16,9,36,20,34,103,69,17,21,32,23,57,103
2021년02월_여_40~49세,"3,957","3,211",37,13,37,14,49,150,108,35,29,31,52,56,135
2021년02월_여_50~59세,"5,106","3,350",62,25,115,79,119,250,236,95,85,111,131,164,284
2021년02월_여_60~69세,"4,550","2,337",96,52,148,82,169,322,298,146,89,154,145,205,307
2021년02월_여_70~79세,"4,331","1,874",101,70,197,120,205,294,234,175,103,218,205,244,291
2021년02월_여_80~89세,"3,281","1,125",75,39,209,153,208,207,250,139,82,157,170,189,278
2021년02월_여_90~99세,507,166,11,5,32,20,38,36,45,16,10,23,37,36,32
2021년02월_여_100세 이상,34,14,1,0,0,1,1,0,1,3,2,1,3,2,5
