카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년03월_계_총인구수,"429,600","4,976","6,820","4,900","3,228","7,945","12,048","38,443","19,400","12,246","13,040","23,687","10,639","5,923","21,036","16,235","15,951","7,884","16,243","13,737","14,302","30,240","14,059","11,222","12,676","2,628","22,557","38,011","29,524"
2021년03월_계_연령구간인구수,"429,600","4,976","6,820","4,900","3,228","7,945","12,048","38,443","19,400","12,246","13,040","23,687","10,639","5,923","21,036","16,235","15,951","7,884","16,243","13,737","14,302","30,240","14,059","11,222","12,676","2,628","22,557","38,011","29,524"
2021년03월_계_0~9세,"33,089",222,265,266,82,533,457,"2,621","1,729",548,914,"2,174",398,532,"1,644","1,112","1,089",288,882,455,984,"2,410","1,166",650,520,66,"2,688","3,911","4,483"
2021년03월_계_10~19세,"42,434",190,462,306,112,564,682,"3,781","2,276",914,"1,416","2,324",666,529,"1,675","1,883","1,434",630,"1,335",825,"1,662","4,595","1,744","1,040",802,128,"2,536","4,133","3,790"
2021년03월_계_20~29세,"62,000",945,"1,337",923,503,978,"2,317","7,162","2,487","1,738","1,881","3,071","1,334",709,"2,605","2,417","2,583","1,126","2,343","1,589","2,305","4,727","1,967","1,789","1,895",247,"2,750","5,173","3,099"
2021년03월_계_30~39세,"55,320",972,772,713,407,"1,113","1,768","4,724","2,247","1,346","1,478","3,595",983,800,"3,023","1,599","2,015",766,"1,779","1,280","1,686","2,943","1,687","1,274","1,477",214,"3,555","5,937","5,167"
2021년03월_계_40~49세,"67,267",615,885,725,392,"1,160","1,603","5,608","3,109","1,637","1,889","3,888","1,294",945,"3,015","2,454","2,346","1,026","2,200","1,605","2,444","5,667","2,292","1,643","1,586",234,"4,073","6,621","6,311"
2021년03월_계_50~59세,"71,631",677,987,663,561,"1,217","1,900","6,651","3,102","2,157","2,303","3,884","1,823",919,"3,486","3,009","2,591","1,400","2,898","2,627","2,649","5,635","2,450","2,147","2,449",535,"3,342","5,893","3,676"
2021년03월_계_60~69세,"54,129",692,993,643,576,"1,180","1,696","4,540","2,692","2,101","1,885","2,814","2,079",749,"3,021","2,202","2,094","1,311","2,657","2,782","1,522","2,373","1,588","1,558","2,175",580,"2,017","3,711","1,898"
2021년03월_계_70~79세,"29,535",459,745,461,385,857,"1,107","2,357","1,273","1,242",841,"1,371","1,392",504,"1,707","1,059","1,187",927,"1,517","1,641",722,"1,175",758,789,"1,128",371,997,"1,794",769
