카테고리,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년02월_계_총인구수,"531,840","23,041","27,642","31,248","38,177","40,083","28,413","23,173","25,741","27,886","21,069","36,367","39,800","20,901","26,998","25,116","34,374","23,628","21,701","16,482"
2020년02월_계_연령구간인구수,"531,840","23,041","27,642","31,248","38,177","40,083","28,413","23,173","25,741","27,886","21,069","36,367","39,800","20,901","26,998","25,116","34,374","23,628","21,701","16,482"
2020년02월_계_0~9세,"35,587","1,340","1,845","2,457","2,316","3,093","1,255","1,608","1,702","2,072","1,253","2,320","2,546","1,054","1,451","1,211","2,779","2,691","1,547","1,047"
2020년02월_계_10~19세,"56,205","1,813","2,307","2,278","2,882","4,685","3,558","2,963","4,619","5,912","2,481","3,455","3,538","2,016","2,189","2,208","3,253","2,254","2,322","1,472"
2020년02월_계_20~29세,"73,959","3,873","3,243","3,680","6,658","6,483","5,097","3,242","3,397","3,043","2,636","4,471","5,514","3,350","3,223","3,501","4,720","2,664","2,756","2,408"
2020년02월_계_30~39세,"67,047","2,905","3,393","4,892","5,664","5,341","2,797","2,618","1,993","2,067","2,067","4,468","5,084","2,444","2,971","2,767","5,088","4,992","2,923","2,573"
2020년02월_계_40~49세,"89,654","3,543","4,442","4,813","5,638","6,864","4,502","4,243","5,359","6,837","3,694","6,214","5,960","3,228","4,088","3,900","5,908","4,040","3,725","2,656"
2020년02월_계_50~59세,"88,754","3,695","4,607","4,894","5,962","6,118","5,030","4,019","4,659","4,459","3,651","5,756","7,174","3,991","4,853","4,637","5,671","3,029","3,645","2,904"
2020년02월_계_60~69세,"65,544","3,105","4,285","4,495","5,232","4,245","3,351","2,379","2,227","1,958","2,585","4,724","5,679","2,763","4,172","3,573","3,840","2,202","2,704","2,025"
2020년02월_계_70~79세,"36,778","1,947","2,412","2,550","2,659","2,206","1,790","1,340","1,125",989,"1,848","3,266","2,855","1,404","2,767","2,263","1,977","1,153","1,355",872
