카테고리,경기도 김포시,경기도 김포시 통진읍,경기도 김포시 고촌읍,경기도 김포시 양촌읍,경기도 김포시 대곶면,경기도 김포시 월곶면,경기도 김포시 하성면,경기도 김포시 김포본동,경기도 김포시 장기본동,경기도 김포시 사우동,경기도 김포시 풍무동,경기도 김포시 장기동,경기도 김포시 구래동,경기도 김포시 마산동,경기도 김포시 운양동
2020년09월_계_총인구수,"463,735","26,505","38,850","28,559","9,728","5,500","8,215","60,466","39,358","22,619","61,677","41,054","41,337","30,834","49,033"
2020년09월_계_연령구간인구수,"463,735","26,505","38,850","28,559","9,728","5,500","8,215","60,466","39,358","22,619","61,677","41,054","41,337","30,834","49,033"
2020년09월_계_0~9세,"54,228","1,705","4,960","2,318",319,147,266,"5,761","5,122","1,621","6,956","5,923","6,531","4,961","7,638"
2020년09월_계_10~19세,"46,944","2,299","3,695","2,433",554,269,464,"6,402","5,533","2,098","6,974","5,056","3,559","2,534","5,074"
2020년09월_계_20~29세,"50,627","3,197","3,757","2,967",925,495,811,"7,784","3,910","3,178","7,450","3,784","5,115","2,706","4,548"
2020년09월_계_30~39세,"74,513","2,905","6,780","3,833",850,387,660,"8,086","5,828","2,908","9,273","6,775","9,919","7,044","9,265"
2020년09월_계_40~49세,"86,263","4,058","7,056","4,761","1,269",615,909,"10,461","8,446","3,802","11,611","9,014","7,830","5,821","10,610"
2020년09월_계_50~59세,"65,968","5,139","5,265","4,930","2,202","1,192","1,736","10,406","4,946","4,158","8,905","4,767","3,804","2,997","5,521"
2020년09월_계_60~69세,"47,981","4,029","4,422","4,145","1,965","1,254","1,691","6,425","3,111","2,701","5,838","3,258","2,761","2,633","3,748"
2020년09월_계_70~79세,"25,439","2,008","1,995","2,141","1,061",702,"1,047","3,424","1,732","1,441","3,268","1,783","1,322","1,610","1,905"
2020년09월_계_80~89세,"10,241","1,033",773,870,505,359,556,"1,502",655,622,"1,248",606,434,455,623
2020년09월_계_90~99세,"1,458",128,133,153,76,75,69,202,72,84,146,88,60,71,101
2020년09월_계_100세 이상,73,4,14,8,2,5,6,13,3,6,8,0,2,2,0
2020년09월_남_총인구수,"232,501","14,138","19,434","15,069","5,686","3,021","4,475","29,894","19,206","11,308","30,259","20,172","20,577","15,288","23,974"
2020년09월_남_연령구간인구수,"232,501","14,138","19,434","15,069","5,686","3,021","4,475","29,894","19,206","11,308","30,259","20,172","20,577","15,288","23,974"
2020년09월_남_0~9세,"27,665",876,"2,562","1,155",171,71,145,"2,866","2,575",863,"3,551","3,039","3,334","2,541","3,916"
2020년09월_남_10~19세,"23,966","1,233","1,920","1,263",302,139,262,"3,297","2,793","1,081","3,574","2,477","1,741","1,281","2,603"
2020년09월_남_20~29세,"26,154","1,898","1,899","1,620",581,299,482,"4,152","1,946","1,695","3,679","1,950","2,468","1,310","2,175"
2020년09월_남_30~39세,"36,679","1,642","3,292","2,145",538,220,391,"3,944","2,689","1,479","4,441","3,182","4,982","3,515","4,219"
2020년09월_남_40~49세,"44,842","2,272","3,663","2,686",819,387,557,"5,112","4,179","1,913","5,717","4,619","4,240","3,154","5,524"
2020년09월_남_50~59세,"33,723","2,781","2,610","2,700","1,390",686,995,"5,172","2,519","2,086","4,456","2,409","1,791","1,414","2,714"
2020년09월_남_60~69세,"23,373","2,129","2,170","2,129","1,130",685,902,"3,225","1,429","1,305","2,771","1,466","1,242","1,123","1,667"
2020년09월_남_70~79세,"11,878",896,994,"1,013",532,384,496,"1,513",808,642,"1,549",798,603,763,887
2020년09월_남_80~89세,"3,861",376,290,325,203,134,222,552,249,229,489,216,165,164,247
2020년09월_남_90~99세,341,33,31,30,20,15,21,58,17,15,31,16,10,22,22
2020년09월_남_100세 이상,19,2,3,3,0,1,2,3,2,0,1,0,1,1,0
2020년09월_여_총인구수,"231,234","12,367","19,416","13,490","4,042","2,479","3,740","30,572","20,152","11,311","31,418","20,882","20,760","15,546","25,059"
2020년09월_여_연령구간인구수,"231,234","12,367","19,416","13,490","4,042","2,479","3,740","30,572","20,152","11,311","31,418","20,882","20,760","15,546","25,059"
2020년09월_여_0~9세,"26,563",829,"2,398","1,163",148,76,121,"2,895","2,547",758,"3,405","2,884","3,197","2,420","3,722"
2020년09월_여_10~19세,"22,978","1,066","1,775","1,170",252,130,202,"3,105","2,740","1,017","3,400","2,579","1,818","1,253","2,471"
2020년09월_여_20~29세,"24,473","1,299","1,858","1,347",344,196,329,"3,632","1,964","1,483","3,771","1,834","2,647","1,396","2,373"
2020년09월_여_30~39세,"37,834","1,263","3,488","1,688",312,167,269,"4,142","3,139","1,429","4,832","3,593","4,937","3,529","5,046"
2020년09월_여_40~49세,"41,421","1,786","3,393","2,075",450,228,352,"5,349","4,267","1,889","5,894","4,395","3,590","2,667","5,086"
2020년09월_여_50~59세,"32,245","2,358","2,655","2,230",812,506,741,"5,234","2,427","2,072","4,449","2,358","2,013","1,583","2,807"
2020년09월_여_60~69세,"24,608","1,900","2,252","2,016",835,569,789,"3,200","1,682","1,396","3,067","1,792","1,519","1,510","2,081"
2020년09월_여_70~79세,"13,561","1,112","1,001","1,128",529,318,551,"1,911",924,799,"1,719",985,719,847,"1,018"
2020년09월_여_80~89세,"6,380",657,483,545,302,225,334,950,406,393,759,390,269,291,376
2020년09월_여_90~99세,"1,117",95,102,123,56,60,48,144,55,69,115,72,50,49,79
2020년09월_여_100세 이상,54,2,11,5,2,4,4,10,1,6,7,0,1,1,0
