,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 상현3동,경기도 용인시 수지구 성복동
2021년09월_계_총인구수,"1,080,027","261,553","33,644","26,959","20,454","23,838","8,289","8,983","20,403","24,992",0,"31,952","12,700","36,253","13,086","441,960","38,390","30,488","17,541","41,884","13,261","33,352","21,683","26,333","39,985","32,053","32,797","27,276","26,044","24,638","36,235","376,514","36,335","41,222","37,836","29,283","18,419","27,247","49,646","20,462","33,508","27,953","54,603"
2021년09월_계_연령구간인구수,"1,080,027","261,553","33,644","26,959","20,454","23,838","8,289","8,983","20,403","24,992",0,"31,952","12,700","36,253","13,086","441,960","38,390","30,488","17,541","41,884","13,261","33,352","21,683","26,333","39,985","32,053","32,797","27,276","26,044","24,638","36,235","376,514","36,335","41,222","37,836","29,283","18,419","27,247","49,646","20,462","33,508","27,953","54,603"
2021년09월_계_0~9세,"96,281","20,268","2,170","1,854","1,480","3,135",332,234,"1,199","1,530",0,"3,546","1,066","3,056",666,"40,623","3,228","3,282","1,831","4,155",908,"2,803","1,768","2,995","3,238","2,520","3,204","2,521","3,187","1,808","3,175","35,390","2,619","4,479","3,293","2,368","1,448","2,321","5,605","1,976","3,180","2,630","5,471"
2021년09월_계_10~19세,"122,166","26,290","3,797","2,433","1,786","2,050",580,984,"2,719","2,172",0,"3,115","1,302","4,253","1,099","50,496","3,524","3,569","1,219","3,305","1,237","4,292","2,172","2,581","4,779","3,031","5,623","4,614","3,291","2,744","4,515","45,380","3,578","5,688","5,337","3,582","1,545","3,308","5,381","2,842","4,184","3,325","6,610"
2021년09월_계_20~29세,"138,588","34,964","4,840","3,467","2,171","1,839",732,930,"2,619","4,451",0,"5,338","1,846","4,907","1,824","57,265","5,032","3,787","2,438","6,628","1,950","4,033","2,565","5,373","4,445","4,067","3,643","3,244","2,459","3,391","4,210","46,359","5,238","4,922","4,074","3,832","2,860","4,093","5,537","2,249","3,792","4,002","5,760"
2021년09월_계_30~39세,"141,711","33,561","3,852","3,103","2,337","4,054",715,730,"2,449","3,191",0,"5,657","1,639","4,453","1,381","57,679","6,002","4,453","3,166","7,560","1,884","3,651","2,737","4,382","4,202","3,921","3,242","2,275","3,551","2,694","3,959","50,471","6,268","5,973","3,887","3,297","3,202","3,530","7,631","2,406","4,089","4,193","5,995"
2021년09월_계_40~49세,"198,119","43,448","5,927","4,518","3,322","4,350","1,035",980,"3,114","3,850",0,"5,619","2,096","6,706","1,931","82,770","6,505","5,904","2,732","7,086","2,287","6,367","3,838","4,516","7,645","5,294","7,676","6,097","5,431","4,203","7,189","71,901","5,896","8,824","7,764","5,439","2,999","5,083","9,633","3,977","6,384","5,266","10,636"
2021년09월_계_50~59세,"169,833","43,807","6,033","4,797","3,748","3,072","1,565","1,560","3,450","4,248",0,"4,180","2,286","6,321","2,547","69,026","6,227","4,994","2,786","6,631","2,261","5,406","3,558","3,268","6,177","5,171","4,918","4,479","3,127","4,571","5,452","57,000","5,450","5,925","5,935","4,832","2,889","4,170","7,239","3,091","5,177","4,099","8,193"
2021년09월_계_60~69세,"112,996","33,956","3,984","3,919","3,162","3,067","1,817","1,904","2,892","3,234",0,"2,678","1,429","3,704","2,166","43,781","4,206","2,759","1,826","3,813","1,369","3,505","2,830","1,983","4,532","3,820","2,238","2,125","2,285","2,894","3,596","35,259","3,807","2,579","3,505","2,950","1,833","2,501","4,886","1,843","3,153","2,403","5,799"
2021년09월_계_70~79세,"65,890","16,214","1,952","1,876","1,518","1,535",927,920,"1,204","1,481",0,"1,260",672,"1,877",992,"26,420","2,392","1,176",750,"1,878",906,"2,197","1,468",845,"3,244","2,775","1,499","1,253","1,751","1,547","2,739","23,256","2,275","1,726","2,759","1,906","1,044","1,463","2,605","1,401","2,384","1,374","4,319"
2021년09월_계_80~89세,"29,915","7,789",945,850,795,642,502,659,628,725,0,475,314,853,401,"12,074","1,133",475,623,704,420,950,653,344,"1,501","1,260",664,583,864,685,"1,215","10,052","1,052",992,"1,121",954,501,680,972,579,"1,026",579,"1,596"
2021년09월_계_90~99세,"4,379","1,217",143,139,129,91,82,81,122,104,0,81,50,119,76,"1,761",134,86,166,116,39,143,89,44,216,187,88,83,97,95,178,"1,401",142,113,158,119,96,94,151,95,136,79,218
2021년09월_계_100세 이상,149,39,1,3,6,3,2,1,7,6,0,3,0,4,3,65,7,3,4,8,0,5,5,2,6,7,2,2,1,6,7,45,10,1,3,4,2,4,6,3,3,3,6
2021년09월_남_총인구수,"535,936","134,369","17,405","14,108","10,455","11,996","4,284","4,917","11,067","12,681",0,"16,132","6,245","18,302","6,777","218,135","19,150","15,165","8,688","20,922","6,866","16,496","10,755","13,575","19,298","15,660","15,736","13,382","12,672","12,013","17,757","183,432","18,125","20,271","18,304","14,186","9,112","13,074","24,451","9,794","16,258","13,533","26,324"
2021년09월_남_연령구간인구수,"535,936","134,369","17,405","14,108","10,455","11,996","4,284","4,917","11,067","12,681",0,"16,132","6,245","18,302","6,777","218,135","19,150","15,165","8,688","20,922","6,866","16,496","10,755","13,575","19,298","15,660","15,736","13,382","12,672","12,013","17,757","183,432","18,125","20,271","18,304","14,186","9,112","13,074","24,451","9,794","16,258","13,533","26,324"
2021년09월_남_0~9세,"49,238","10,352","1,117",981,729,"1,578",167,131,641,775,0,"1,799",562,"1,525",347,"20,849","1,624","1,668",931,"2,127",498,"1,455",908,"1,500","1,663","1,303","1,579","1,317","1,664",956,"1,656","18,037","1,367","2,292","1,637","1,190",757,"1,168","2,902",985,"1,624","1,309","2,806"
