,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2021년11월_계_총인구수,"113,896","32,794","24,368","31,170","4,104","5,347","3,427","9,541","3,145"
2021년11월_계_연령구간인구수,"113,896","32,794","24,368","31,170","4,104","5,347","3,427","9,541","3,145"
2021년11월_계_0~9세,"8,774","2,158","1,749","4,110",80,125,82,275,195
2021년11월_계_10~19세,"11,359","3,274","3,117","3,810",99,164,110,604,181
2021년11월_계_20~29세,"11,602","3,698","2,867","2,982",283,382,215,978,197
2021년11월_계_30~39세,"13,825","3,257","2,359","6,531",238,323,197,631,289
2021년11월_계_40~49세,"20,523","5,247","5,089","7,333",350,459,342,"1,293",410
2021년11월_계_50~59세,"19,965","6,274","4,984","3,411",768,"1,081",708,"2,194",545
2021년11월_계_60~69세,"14,874","4,727","2,495","1,793","1,051","1,420",912,"1,835",641
2021년11월_계_70~79세,"7,669","2,426","1,077",760,686,787,532,"1,038",363
2021년11월_계_80~89세,"4,616","1,518",555,387,480,510,270,619,277
2021년11월_계_90~99세,670,206,76,52,68,94,59,71,44
2021년11월_계_100세 이상,19,9,0,1,1,2,0,3,3
2021년11월_남_총인구수,"59,313","16,430","12,654","16,842","2,206","2,726","1,865","4,950","1,640"
2021년11월_남_연령구간인구수,"59,313","16,430","12,654","16,842","2,206","2,726","1,865","4,950","1,640"
2021년11월_남_0~9세,"4,540","1,111",920,"2,117",40,63,42,138,109
2021년11월_남_10~19세,"5,936","1,675","1,617","2,020",56,81,57,324,106
2021년11월_남_20~29세,"6,648","2,132","1,680","1,567",163,254,139,589,124
2021년11월_남_30~39세,"7,502","1,739","1,211","3,543",144,201,126,385,153
2021년11월_남_40~49세,"11,044","2,671","2,521","4,180",244,288,205,696,239
2021년11월_남_50~59세,"10,811","3,190","2,682","2,060",453,551,409,"1,172",294
2021년11월_남_60~69세,"7,763","2,352","1,345",894,596,744,509,975,348
2021년11월_남_70~79세,"3,402","1,014",479,330,323,375,262,455,164
2021년11월_남_80~89세,"1,502",495,177,117,168,157,97,200,91
2021년11월_남_90~99세,164,51,22,14,19,12,19,16,11
2021년11월_남_100세 이상,1,0,0,0,0,0,0,0,1
2021년11월_여_총인구수,"54,583","16,364","11,714","14,328","1,898","2,621","1,562","4,591","1,505"
2021년11월_여_연령구간인구수,"54,583","16,364","11,714","14,328","1,898","2,621","1,562","4,591","1,505"
2021년11월_여_0~9세,"4,234","1,047",829,"1,993",40,62,40,137,86
2021년11월_여_10~19세,"5,423","1,599","1,500","1,790",43,83,53,280,75
2021년11월_여_20~29세,"4,954","1,566","1,187","1,415",120,128,76,389,73
2021년11월_여_30~39세,"6,323","1,518","1,148","2,988",94,122,71,246,136
2021년11월_여_40~49세,"9,479","2,576","2,568","3,153",106,171,137,597,171
2021년11월_여_50~59세,"9,154","3,084","2,302","1,351",315,530,299,"1,022",251
2021년11월_여_60~69세,"7,111","2,375","1,150",899,455,676,403,860,293
2021년11월_여_70~79세,"4,267","1,412",598,430,363,412,270,583,199
2021년11월_여_80~89세,"3,114","1,023",378,270,312,353,173,419,186
2021년11월_여_90~99세,506,155,54,38,49,82,40,55,33
2021년11월_여_100세 이상,18,9,0,1,1,2,0,3,2
