,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년12월_계_총인구수,"175,591","13,903","7,450","5,356","3,373","8,152","15,451","9,463","5,133","7,418","6,367","19,545","19,034","8,998","16,337","29,611"
2020년12월_계_연령구간인구수,"175,591","13,903","7,450","5,356","3,373","8,152","15,451","9,463","5,133","7,418","6,367","19,545","19,034","8,998","16,337","29,611"
2020년12월_계_0~9세,"15,446",754,525,123,64,611,"2,907",536,141,266,387,"1,759","1,725",600,"1,444","3,604"
2020년12월_계_10~19세,"17,252","1,073",722,216,113,744,"1,160",781,267,462,495,"2,079","2,350",898,"2,019","3,873"
2020년12월_계_20~29세,"19,277","1,870",645,294,182,684,"1,692",859,287,728,584,"2,640","2,187","1,108","2,032","3,485"
2020년12월_계_30~39세,"22,123","1,512",655,268,149,974,"3,931",850,269,494,576,"2,779","2,200",902,"2,022","4,542"
2020년12월_계_40~49세,"27,814","2,018","1,152",498,297,"1,223","2,292","1,411",554,869,877,"3,331","3,452","1,456","2,907","5,477"
2020년12월_계_50~59세,"28,370","3,070","1,311",871,597,"1,370","1,631","1,688",876,"1,356",844,"3,189","3,237","1,541","2,583","4,206"
2020년12월_계_60~69세,"22,029","1,920","1,079","1,308",854,"1,235",964,"1,522","1,111","1,416","1,076","2,023","2,050","1,337","1,778","2,356"
2020년12월_계_70~79세,"13,886",978,757,"1,022",673,779,508,"1,025",937,"1,134",849,"1,073","1,153",756,976,"1,266"
2020년12월_계_80~89세,"8,126",609,530,671,390,454,321,700,605,603,591,565,573,338,499,677
2020년12월_계_90~99세,"1,211",96,69,84,52,77,42,88,84,87,83,97,99,55,76,122
2020년12월_계_100세 이상,57,3,5,1,2,1,3,3,2,3,5,10,8,7,1,3
2020년12월_남_총인구수,"91,399","8,036","3,808","2,726","1,721","4,377","8,110","4,888","2,600","3,849","3,294","10,121","9,908","4,571","8,239","15,151"
2020년12월_남_연령구간인구수,"91,399","8,036","3,808","2,726","1,721","4,377","8,110","4,888","2,600","3,849","3,294","10,121","9,908","4,571","8,239","15,151"
2020년12월_남_0~9세,"7,934",391,276,57,38,304,"1,503",277,78,136,205,944,903,318,720,"1,784"
2020년12월_남_10~19세,"9,155",572,384,116,55,394,582,430,139,263,260,"1,085","1,378",469,969,"2,059"
2020년12월_남_20~29세,"11,408","1,282",385,182,115,421,948,513,176,447,385,"1,491","1,296",629,"1,145","1,993"
2020년12월_남_30~39세,"12,265","1,019",339,169,86,609,"2,115",467,146,297,341,"1,548","1,170",508,"1,113","2,338"
2020년12월_남_40~49세,"14,892","1,202",607,315,185,722,"1,276",786,340,512,508,"1,712","1,714",756,"1,471","2,786"
2020년12월_남_50~59세,"15,147","1,827",732,475,336,735,835,906,484,729,453,"1,651","1,676",798,"1,337","2,173"
2020년12월_남_60~69세,"11,017","1,063",543,660,425,655,505,762,539,708,514,977,993,626,869,"1,178"
2020년12월_남_70~79세,"6,481",469,350,486,337,363,233,479,462,530,384,489,544,329,436,590
2020년12월_남_80~89세,"2,852",185,176,249,135,159,105,253,221,212,224,206,212,122,164,229
2020년12월_남_90~99세,241,26,16,17,9,15,7,15,14,15,19,18,20,15,15,20
2020년12월_남_100세 이상,7,0,0,0,0,0,1,0,1,0,1,0,2,1,0,1
2020년12월_여_총인구수,"84,192","5,867","3,642","2,630","1,652","3,775","7,341","4,575","2,533","3,569","3,073","9,424","9,126","4,427","8,098","14,460"
2020년12월_여_연령구간인구수,"84,192","5,867","3,642","2,630","1,652","3,775","7,341","4,575","2,533","3,569","3,073","9,424","9,126","4,427","8,098","14,460"
2020년12월_여_0~9세,"7,512",363,249,66,26,307,"1,404",259,63,130,182,815,822,282,724,"1,820"
2020년12월_여_10~19세,"8,097",501,338,100,58,350,578,351,128,199,235,994,972,429,"1,050","1,814"
2020년12월_여_20~29세,"7,869",588,260,112,67,263,744,346,111,281,199,"1,149",891,479,887,"1,492"
2020년12월_여_30~39세,"9,858",493,316,99,63,365,"1,816",383,123,197,235,"1,231","1,030",394,909,"2,204"
2020년12월_여_40~49세,"12,922",816,545,183,112,501,"1,016",625,214,357,369,"1,619","1,738",700,"1,436","2,691"
2020년12월_여_50~59세,"13,223","1,243",579,396,261,635,796,782,392,627,391,"1,538","1,561",743,"1,246","2,033"
2020년12월_여_60~69세,"11,012",857,536,648,429,580,459,760,572,708,562,"1,046","1,057",711,909,"1,178"
2020년12월_여_70~79세,"7,405",509,407,536,336,416,275,546,475,604,465,584,609,427,540,676
2020년12월_여_80~89세,"5,274",424,354,422,255,295,216,447,384,391,367,359,361,216,335,448
2020년12월_여_90~99세,970,70,53,67,43,62,35,73,70,72,64,79,79,40,61,102
2020년12월_여_100세 이상,50,3,5,1,2,1,2,3,1,3,4,10,6,6,1,2
