,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년09월_계_총인구수,"32,033","10,222",520,"3,777","8,098","4,859","2,571","1,986"
2021년09월_계_연령구간인구수,"32,033","10,222",520,"3,777","8,098","4,859","2,571","1,986"
2021년09월_계_0~9세,"2,490",990,16,278,552,359,182,113
2021년09월_계_10~19세,"2,281",887,32,228,608,306,129,91
2021년09월_계_20~29세,"4,189","1,253",27,485,"1,016",531,558,319
2021년09월_계_30~39세,"3,916","1,399",30,491,832,594,377,193
2021년09월_계_40~49세,"3,949","1,470",54,376,"1,021",598,236,194
2021년09월_계_50~59세,"5,093","1,542",125,569,"1,440",784,318,315
2021년09월_계_60~69세,"5,659","1,508",120,764,"1,472",967,402,426
2021년09월_계_70~79세,"2,603",704,76,323,661,412,218,209
2021년09월_계_80~89세,"1,579",396,36,220,428,258,134,107
2021년09월_계_90~99세,266,70,4,42,65,50,17,18
2021년09월_계_100세 이상,8,3,0,1,3,0,0,1
2021년09월_남_총인구수,"17,384","5,379",276,"2,029","4,366","2,635","1,553","1,146"
2021년09월_남_연령구간인구수,"17,384","5,379",276,"2,029","4,366","2,635","1,553","1,146"
2021년09월_남_0~9세,"1,256",491,7,128,284,187,99,60
2021년09월_남_10~19세,"1,208",487,16,111,316,157,68,53
2021년09월_남_20~29세,"2,824",756,16,324,668,357,455,248
2021년09월_남_30~39세,"2,259",771,20,299,461,349,242,117
2021년09월_남_40~49세,"2,196",787,31,214,567,336,148,113
2021년09월_남_50~59세,"2,729",808,72,308,786,407,181,167
2021년09월_남_60~69세,"3,037",783,59,404,810,542,200,239
2021년09월_남_70~79세,"1,239",335,40,153,302,196,110,103
2021년09월_남_80~89세,562,142,13,77,154,93,45,38
2021년09월_남_90~99세,70,17,2,11,16,11,5,8
2021년09월_남_100세 이상,4,2,0,0,2,0,0,0
2021년09월_여_총인구수,"14,649","4,843",244,"1,748","3,732","2,224","1,018",840
2021년09월_여_연령구간인구수,"14,649","4,843",244,"1,748","3,732","2,224","1,018",840
2021년09월_여_0~9세,"1,234",499,9,150,268,172,83,53
2021년09월_여_10~19세,"1,073",400,16,117,292,149,61,38
2021년09월_여_20~29세,"1,365",497,11,161,348,174,103,71
2021년09월_여_30~39세,"1,657",628,10,192,371,245,135,76
2021년09월_여_40~49세,"1,753",683,23,162,454,262,88,81
2021년09월_여_50~59세,"2,364",734,53,261,654,377,137,148
2021년09월_여_60~69세,"2,622",725,61,360,662,425,202,187
2021년09월_여_70~79세,"1,364",369,36,170,359,216,108,106
2021년09월_여_80~89세,"1,017",254,23,143,274,165,89,69
2021년09월_여_90~99세,196,53,2,31,49,39,12,10
2021년09월_여_100세 이상,4,1,0,1,1,0,0,1
