,경기도 가평군,경기도 가평군 가평읍,경기도 가평군 설악면,경기도 가평군 청평면,경기도 가평군 상면,경기도 가평군 조종면,경기도 가평군 북면
2021년08월_계_총인구수,"62,383","19,439","9,665","13,983","5,710","9,646","3,940"
2021년08월_계_연령구간인구수,"62,383","19,439","9,665","13,983","5,710","9,646","3,940"
2021년08월_계_0~9세,"3,214","1,100",510,614,158,688,144
2021년08월_계_10~19세,"4,583","1,665",777,967,319,662,193
2021년08월_계_20~29세,"6,163","2,175",896,"1,272",540,"1,019",261
2021년08월_계_30~39세,"5,586","1,841",836,"1,134",385,"1,125",265
2021년08월_계_40~49세,"7,827","2,643","1,115","1,887",556,"1,226",400
2021년08월_계_50~59세,"11,093","3,353","1,697","2,659","1,102","1,589",693
2021년08월_계_60~69세,"12,789","3,475","2,117","2,849","1,462","1,857","1,029"
2021년08월_계_70~79세,"6,778","1,890","1,008","1,620",751,950,559
2021년08월_계_80~89세,"3,793","1,128",594,865,383,479,344
2021년08월_계_90~99세,521,153,111,111,53,46,47
2021년08월_계_100세 이상,36,16,4,5,1,5,5
2021년08월_남_총인구수,"32,137","9,883","4,955","7,157","2,989","5,136","2,017"
2021년08월_남_연령구간인구수,"32,137","9,883","4,955","7,157","2,989","5,136","2,017"
2021년08월_남_0~9세,"1,616",566,249,310,79,353,59
2021년08월_남_10~19세,"2,379",891,375,500,165,344,104
2021년08월_남_20~29세,"3,566","1,195",493,732,368,631,147
2021년08월_남_30~39세,"3,037",968,463,611,211,628,156
2021년08월_남_40~49세,"4,211","1,414",574,"1,014",314,665,230
2021년08월_남_50~59세,"5,893","1,779",913,"1,433",559,834,375
2021년08월_남_60~69세,"6,612","1,751","1,107","1,446",759,"1,019",530
2021년08월_남_70~79세,"3,220",854,509,750,380,451,276
2021년08월_남_80~89세,"1,453",419,238,329,142,198,127
2021년08월_남_90~99세,136,42,31,30,11,11,11
2021년08월_남_100세 이상,14,4,3,2,1,2,2
2021년08월_여_총인구수,"30,246","9,556","4,710","6,826","2,721","4,510","1,923"
2021년08월_여_연령구간인구수,"30,246","9,556","4,710","6,826","2,721","4,510","1,923"
2021년08월_여_0~9세,"1,598",534,261,304,79,335,85
2021년08월_여_10~19세,"2,204",774,402,467,154,318,89
2021년08월_여_20~29세,"2,597",980,403,540,172,388,114
2021년08월_여_30~39세,"2,549",873,373,523,174,497,109
2021년08월_여_40~49세,"3,616","1,229",541,873,242,561,170
2021년08월_여_50~59세,"5,200","1,574",784,"1,226",543,755,318
2021년08월_여_60~69세,"6,177","1,724","1,010","1,403",703,838,499
2021년08월_여_70~79세,"3,558","1,036",499,870,371,499,283
2021년08월_여_80~89세,"2,340",709,356,536,241,281,217
2021년08월_여_90~99세,385,111,80,81,42,35,36
2021년08월_여_100세 이상,22,12,1,3,0,3,3
