카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년11월_계_총인구수,"46,583","20,965","4,471","3,172","5,847","2,421","2,387","3,469","2,103","1,748"
2021년11월_계_연령구간인구수,"46,583","20,965","4,471","3,172","5,847","2,421","2,387","3,469","2,103","1,748"
2021년11월_계_0~9세,"2,106","1,444",127,67,239,32,34,67,61,35
2021년11월_계_10~19세,"3,517","1,983",195,583,383,73,65,107,58,70
2021년11월_계_20~29세,"3,633","2,230",346,128,346,131,96,181,109,66
2021년11월_계_30~39세,"3,269","1,986",232,116,395,92,94,157,127,70
2021년11월_계_40~49세,"4,921","2,927",391,178,573,166,154,254,154,124
2021년11월_계_50~59세,"8,521","3,672",853,544,"1,160",462,465,670,358,337
2021년11월_계_60~69세,"11,145","3,612","1,230",852,"1,540",778,795,"1,078",691,569
2021년11월_계_70~79세,"5,453","1,763",641,413,701,387,406,520,302,320
2021년11월_계_80~89세,"3,449","1,129",395,248,451,261,235,369,214,147
2021년11월_계_90~99세,543,210,60,40,52,38,42,66,26,9
2021년11월_계_100세 이상,26,9,1,3,7,1,1,0,3,1
2021년11월_남_총인구수,"23,903","10,564","2,347","1,630","3,039","1,255","1,214","1,813","1,117",924
2021년11월_남_연령구간인구수,"23,903","10,564","2,347","1,630","3,039","1,255","1,214","1,813","1,117",924
2021년11월_남_0~9세,"1,112",758,66,42,125,16,14,35,35,21
2021년11월_남_10~19세,"1,838","1,014",105,307,209,36,36,53,31,47
2021년11월_남_20~29세,"2,083","1,239",226,77,200,65,60,108,64,44
2021년11월_남_30~39세,"1,728","1,004",125,58,229,49,54,96,75,38
2021년11월_남_40~49세,"2,727","1,572",221,95,328,96,90,159,98,68
2021년11월_남_50~59세,"4,513","1,919",464,288,618,249,240,362,192,181
2021년11월_남_60~69세,"5,825","1,825",642,451,800,419,439,575,374,300
2021년11월_남_70~79세,"2,669",775,338,204,349,210,200,271,162,160
2021년11월_남_80~89세,"1,291",411,146,102,172,109,72,140,77,62
2021년11월_남_90~99세,114,46,14,6,8,6,9,14,8,3
2021년11월_남_100세 이상,3,1,0,0,1,0,0,0,1,0
2021년11월_여_총인구수,"22,680","10,401","2,124","1,542","2,808","1,166","1,173","1,656",986,824
2021년11월_여_연령구간인구수,"22,680","10,401","2,124","1,542","2,808","1,166","1,173","1,656",986,824
2021년11월_여_0~9세,994,686,61,25,114,16,20,32,26,14
2021년11월_여_10~19세,"1,679",969,90,276,174,37,29,54,27,23
2021년11월_여_20~29세,"1,550",991,120,51,146,66,36,73,45,22
2021년11월_여_30~39세,"1,541",982,107,58,166,43,40,61,52,32
2021년11월_여_40~49세,"2,194","1,355",170,83,245,70,64,95,56,56
2021년11월_여_50~59세,"4,008","1,753",389,256,542,213,225,308,166,156
2021년11월_여_60~69세,"5,320","1,787",588,401,740,359,356,503,317,269
2021년11월_여_70~79세,"2,784",988,303,209,352,177,206,249,140,160
2021년11월_여_80~89세,"2,158",718,249,146,279,152,163,229,137,85
2021년11월_여_90~99세,429,164,46,34,44,32,33,52,18,6
2021년11월_여_100세 이상,23,8,1,3,6,1,1,0,2,1
