,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년10월_계_총인구수,"50,042","18,279","3,777","4,435",780,"3,284","3,463","4,297","2,374","2,090",229,"2,544",985,"2,696",809
2020년10월_계_연령구간인구수,"50,042","18,279","3,777","4,435",780,"3,284","3,463","4,297","2,374","2,090",229,"2,544",985,"2,696",809
2020년10월_계_0~9세,"3,195","1,462",219,339,45,105,137,199,120,69,8,147,37,265,43
2020년10월_계_10~19세,"3,667","1,757",195,378,50,136,215,267,100,100,10,149,55,223,32
2020년10월_계_20~29세,"3,766","1,816",237,293,42,199,212,270,129,133,9,156,59,157,54
2020년10월_계_30~39세,"4,064","1,836",292,389,73,190,213,258,127,134,7,170,61,258,56
2020년10월_계_40~49세,"6,262","2,705",439,587,118,341,398,444,211,177,30,289,98,337,88
2020년10월_계_50~59세,"8,123","3,112",597,666,129,530,590,630,400,361,34,351,167,414,142
2020년10월_계_60~69세,"8,559","2,809",741,636,159,706,631,711,492,412,37,458,166,458,143
2020년10월_계_70~79세,"7,434","1,810",619,654,128,645,603,891,480,376,48,490,184,350,156
2020년10월_계_80~89세,"4,383",848,387,439,32,381,417,551,280,285,39,299,138,207,80
2020년10월_계_90~99세,563,114,49,53,2,49,46,73,35,42,6,34,19,27,14
2020년10월_계_100세 이상,26,10,2,1,2,2,1,3,0,1,1,1,1,0,1
2020년10월_남_총인구수,"25,156","9,216","1,919","2,213",428,"1,641","1,773","2,086","1,203","1,027",118,"1,253",491,"1,359",429
2020년10월_남_연령구간인구수,"25,156","9,216","1,919","2,213",428,"1,641","1,773","2,086","1,203","1,027",118,"1,253",491,"1,359",429
2020년10월_남_0~9세,"1,653",787,109,162,23,60,62,95,77,31,6,70,18,132,21
2020년10월_남_10~19세,"1,887",898,96,202,26,68,111,136,46,53,5,71,33,119,23
2020년10월_남_20~29세,"2,198","1,043",140,170,29,101,139,157,81,79,9,95,37,88,30
2020년10월_남_30~39세,"2,220",932,175,221,47,125,114,142,67,89,4,96,34,137,37
2020년10월_남_40~49세,"3,654","1,421",293,344,82,213,253,258,140,104,21,195,59,205,66
2020년10월_남_50~59세,"4,502","1,648",338,370,73,306,345,361,233,211,20,199,96,222,80
2020년10월_남_60~69세,"4,260","1,364",385,325,76,342,327,348,241,209,22,219,90,243,69
2020년10월_남_70~79세,"3,278",825,262,273,62,308,262,380,218,155,20,200,80,156,77
2020년10월_남_80~89세,"1,399",274,114,138,10,112,150,194,93,86,11,100,39,53,25
2020년10월_남_90~99세,102,23,7,8,0,6,10,15,7,9,0,7,5,4,1
2020년10월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년10월_여_총인구수,"24,886","9,063","1,858","2,222",352,"1,643","1,690","2,211","1,171","1,063",111,"1,291",494,"1,337",380
2020년10월_여_연령구간인구수,"24,886","9,063","1,858","2,222",352,"1,643","1,690","2,211","1,171","1,063",111,"1,291",494,"1,337",380
2020년10월_여_0~9세,"1,542",675,110,177,22,45,75,104,43,38,2,77,19,133,22
2020년10월_여_10~19세,"1,780",859,99,176,24,68,104,131,54,47,5,78,22,104,9
2020년10월_여_20~29세,"1,568",773,97,123,13,98,73,113,48,54,0,61,22,69,24
2020년10월_여_30~39세,"1,844",904,117,168,26,65,99,116,60,45,3,74,27,121,19
2020년10월_여_40~49세,"2,608","1,284",146,243,36,128,145,186,71,73,9,94,39,132,22
2020년10월_여_50~59세,"3,621","1,464",259,296,56,224,245,269,167,150,14,152,71,192,62
2020년10월_여_60~69세,"4,299","1,445",356,311,83,364,304,363,251,203,15,239,76,215,74
2020년10월_여_70~79세,"4,156",985,357,381,66,337,341,511,262,221,28,290,104,194,79
2020년10월_여_80~89세,"2,984",574,273,301,22,269,267,357,187,199,28,199,99,154,55
2020년10월_여_90~99세,461,91,42,45,2,43,36,58,28,33,6,27,14,23,13
2020년10월_여_100세 이상,23,9,2,1,2,2,1,3,0,0,1,0,1,0,1
