,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년04월_계_총인구수,"188,038","59,821","5,347","7,361","3,349","5,930","15,336","5,273","6,357","7,647","6,802","3,678","1,955","12,400","24,353","22,429"
2021년04월_계_연령구간인구수,"188,038","59,821","5,347","7,361","3,349","5,930","15,336","5,273","6,357","7,647","6,802","3,678","1,955","12,400","24,353","22,429"
2021년04월_계_0~9세,"13,707","5,814",166,382,89,217,"1,329",152,384,284,217,82,46,702,"2,102","1,741"
2021년04월_계_10~19세,"18,076","7,532",300,624,138,275,"1,120",277,392,513,362,328,84,"1,030","2,606","2,495"
2021년04월_계_20~29세,"22,805","6,982",486,729,293,555,"2,032",454,775,673,684,426,202,"1,594","3,659","3,261"
2021년04월_계_30~39세,"22,887","8,335",404,637,240,556,"2,532",403,927,600,530,277,141,"1,324","3,280","2,701"
2021년04월_계_40~49세,"30,221","12,105",538,"1,004",338,732,"2,577",554,915,817,756,355,179,"1,726","4,069","3,556"
2021년04월_계_50~59세,"31,500","8,966","1,018","1,329",669,"1,117","2,368","1,022","1,168","1,381","1,395",637,375,"2,215","3,904","3,936"
2021년04월_계_60~69세,"26,342","5,608","1,195","1,417",767,"1,271","1,943","1,208","1,017","1,725","1,472",781,483,"2,000","2,789","2,666"
2021년04월_계_70~79세,"13,696","2,929",702,692,459,686,912,651,483,986,815,461,238,"1,107","1,258","1,317"
2021년04월_계_80~89세,"7,713","1,371",458,473,320,463,462,454,260,574,516,303,175,604,611,669
2021년04월_계_90~99세,"1,053",173,76,71,35,55,60,94,36,90,52,27,30,95,75,84
2021년04월_계_100세 이상,38,6,4,3,1,3,1,4,0,4,3,1,2,3,0,3
2021년04월_남_총인구수,"97,025","30,183","2,817","3,674","1,766","3,220","8,587","2,757","3,582","4,023","3,621","1,940","1,018","6,243","12,339","11,255"
2021년04월_남_연령구간인구수,"97,025","30,183","2,817","3,674","1,766","3,220","8,587","2,757","3,582","4,023","3,621","1,940","1,018","6,243","12,339","11,255"
2021년04월_남_0~9세,"7,050","2,940",89,206,51,108,720,80,223,140,105,43,22,344,"1,092",887
2021년04월_남_10~19세,"9,442","3,887",178,312,74,150,581,128,219,303,189,185,49,526,"1,358","1,303"
2021년04월_남_20~29세,"12,618","3,744",285,400,187,346,"1,159",269,479,382,387,224,111,870,"1,952","1,823"
2021년04월_남_30~39세,"12,503","4,358",238,337,137,339,"1,504",234,561,364,330,185,86,712,"1,726","1,392"
2021년04월_남_40~49세,"16,154","6,170",323,534,201,456,"1,578",336,557,490,445,205,106,918,"2,088","1,747"
2021년04월_남_50~59세,"16,723","4,664",553,694,381,617,"1,377",570,642,753,807,352,204,"1,130","1,996","1,983"
2021년04월_남_60~69세,"13,297","2,639",655,714,395,698,"1,022",655,564,876,779,405,248,981,"1,370","1,296"
2021년04월_남_70~79세,"6,279","1,291",317,291,216,334,459,309,234,492,376,226,113,504,547,570
2021년04월_남_80~89세,"2,746",454,164,174,115,160,178,161,90,207,192,112,74,239,190,236
2021년04월_남_90~99세,207,35,15,11,9,11,9,15,13,15,10,3,5,18,20,18
2021년04월_남_100세 이상,6,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0
2021년04월_여_총인구수,"91,013","29,638","2,530","3,687","1,583","2,710","6,749","2,516","2,775","3,624","3,181","1,738",937,"6,157","12,014","11,174"
2021년04월_여_연령구간인구수,"91,013","29,638","2,530","3,687","1,583","2,710","6,749","2,516","2,775","3,624","3,181","1,738",937,"6,157","12,014","11,174"
2021년04월_여_0~9세,"6,657","2,874",77,176,38,109,609,72,161,144,112,39,24,358,"1,010",854
2021년04월_여_10~19세,"8,634","3,645",122,312,64,125,539,149,173,210,173,143,35,504,"1,248","1,192"
2021년04월_여_20~29세,"10,187","3,238",201,329,106,209,873,185,296,291,297,202,91,724,"1,707","1,438"
2021년04월_여_30~39세,"10,384","3,977",166,300,103,217,"1,028",169,366,236,200,92,55,612,"1,554","1,309"
2021년04월_여_40~49세,"14,067","5,935",215,470,137,276,999,218,358,327,311,150,73,808,"1,981","1,809"
2021년04월_여_50~59세,"14,777","4,302",465,635,288,500,991,452,526,628,588,285,171,"1,085","1,908","1,953"
2021년04월_여_60~69세,"13,045","2,969",540,703,372,573,921,553,453,849,693,376,235,"1,019","1,419","1,370"
2021년04월_여_70~79세,"7,417","1,638",385,401,243,352,453,342,249,494,439,235,125,603,711,747
2021년04월_여_80~89세,"4,967",917,294,299,205,303,284,293,170,367,324,191,101,365,421,433
2021년04월_여_90~99세,846,138,61,60,26,44,51,79,23,75,42,24,25,77,55,66
2021년04월_여_100세 이상,32,5,4,2,1,2,1,4,0,3,2,1,2,2,0,3
