,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년06월_계_총인구수,"1,077,826","260,877","33,552","26,794","20,352","23,757","8,273","8,857","20,224","24,927","44,783","36,303","13,055","439,791","38,473","30,571","17,558","41,936","13,359","33,469","21,680","26,202","39,189","32,241","33,020","27,312","23,535","24,910","36,336","377,158","36,577","41,370","37,942","56,712","18,356","49,576","48,548","33,677","54,400"
2021년06월_계_연령구간인구수,"1,077,826","260,877","33,552","26,794","20,352","23,757","8,273","8,857","20,224","24,927","44,783","36,303","13,055","439,791","38,473","30,571","17,558","41,936","13,359","33,469","21,680","26,202","39,189","32,241","33,020","27,312","23,535","24,910","36,336","377,158","36,577","41,370","37,942","56,712","18,356","49,576","48,548","33,677","54,400"
2021년06월_계_0~9세,"97,820","20,710","2,263","1,890","1,498","3,180",339,242,"1,214","1,557","4,743","3,118",666,"41,140","3,324","3,357","1,839","4,221",917,"2,890","1,799","3,066","3,189","2,599","3,298","2,574","2,898","1,905","3,264","35,970","2,677","4,578","3,363","4,804","1,472","5,655","4,686","3,221","5,514"
2021년06월_계_10~19세,"121,970","26,133","3,721","2,419","1,780","1,982",562,850,"2,773","2,197","4,428","4,312","1,109","50,432","3,528","3,581","1,237","3,334","1,263","4,313","2,176","2,547","4,753","3,060","5,695","4,649","3,009","2,774","4,513","45,405","3,626","5,690","5,310","6,934","1,566","5,362","6,126","4,225","6,566"
2021년06월_계_20~29세,"138,327","34,770","4,790","3,481","2,175","1,867",724,909,"2,490","4,414","7,163","4,921","1,836","56,930","5,044","3,825","2,467","6,625","1,956","4,040","2,573","5,244","4,377","4,088","3,604","3,247","2,213","3,430","4,197","46,627","5,362","4,943","4,084","7,969","2,758","5,550","6,307","3,844","5,810"
2021년06월_계_30~39세,"142,636","33,810","3,919","3,072","2,354","4,102",719,743,"2,436","3,207","7,376","4,481","1,401","57,815","6,074","4,539","3,164","7,632","1,884","3,753","2,781","4,482","4,075","3,997","3,314","2,325","3,013","2,755","4,027","51,011","6,228","6,100","3,934","6,891","3,214","7,725","6,687","4,118","6,114"
2021년06월_계_40~49세,"198,690","43,590","5,956","4,519","3,317","4,302","1,063",989,"3,123","3,865","7,748","6,762","1,946","82,847","6,551","5,934","2,723","7,092","2,342","6,420","3,864","4,488","7,589","5,335","7,788","6,157","4,949","4,357","7,258","72,253","5,985","8,845","7,853","10,647","3,011","9,591","9,323","6,446","10,552"
2021년06월_계_50~59세,"167,877","43,506","5,966","4,761","3,715","3,059","1,576","1,557","3,417","4,217","6,443","6,251","2,544","67,924","6,165","4,931","2,807","6,603","2,282","5,301","3,538","3,221","5,953","5,156","4,870","4,413","2,743","4,515","5,426","56,447","5,447","5,870","5,839","8,921","2,873","7,182","7,111","5,150","8,054"
2021년06월_계_60~69세,"111,016","33,303","3,928","3,820","3,106","3,023","1,782","1,886","2,814","3,172","4,039","3,624","2,109","42,857","4,152","2,688","1,785","3,742","1,351","3,480","2,774","1,943","4,397","3,805","2,213","2,090","2,064","2,834","3,539","34,856","3,771","2,530","3,512","5,365","1,827","4,803","4,209","3,122","5,717"
2021년06월_계_70~79세,"65,830","16,155","1,940","1,863","1,500","1,516",933,930,"1,207","1,475","1,925","1,877",989,"26,346","2,396","1,163",758,"1,869",893,"2,198","1,456",829,"3,213","2,797","1,492","1,217","1,739","1,562","2,764","23,329","2,299","1,746","2,788","3,364","1,042","2,592","2,780","2,419","4,299"
