,충청남도 논산시,충청남도 논산시 강경읍,충청남도 논산시 연무읍,충청남도 논산시 성동면,충청남도 논산시 광석면,충청남도 논산시 노성면,충청남도 논산시 상월면,충청남도 논산시 부적면,충청남도 논산시 연산면,충청남도 논산시 벌곡면,충청남도 논산시 양촌면,충청남도 논산시 가야곡면,충청남도 논산시 은진면,충청남도 논산시 채운면,충청남도 논산시 취암동,충청남도 논산시 부창동
2020년12월_계_총인구수,"116,675","8,375","13,732","4,173","4,243","3,020","3,622","3,576","6,137","2,477","6,217","3,439","3,978","2,274","35,004","16,408"
2020년12월_계_연령구간인구수,"116,675","8,375","13,732","4,173","4,243","3,020","3,622","3,576","6,137","2,477","6,217","3,439","3,978","2,274","35,004","16,408"
2020년12월_계_0~9세,"7,232",342,898,120,106,111,78,87,194,65,370,57,106,66,"3,358","1,274"
2020년12월_계_10~19세,"9,806",672,"1,100",182,239,148,168,155,329,110,421,129,194,140,"3,947","1,872"
2020년12월_계_20~29세,"11,387",720,"1,330",290,298,197,226,262,379,120,435,232,443,145,"4,527","1,783"
2020년12월_계_30~39세,"10,764",568,"1,292",243,245,218,223,210,345,116,517,164,250,131,"4,613","1,629"
2020년12월_계_40~49세,"15,403",982,"1,680",366,404,303,397,358,569,242,641,314,445,208,"5,873","2,621"
2020년12월_계_50~59세,"19,703","1,491","2,185",695,772,482,691,671,"1,213",436,"1,075",587,719,368,"5,456","2,862"
2020년12월_계_60~69세,"20,007","1,673","2,397",944,958,650,836,831,"1,478",613,"1,150",873,822,538,"3,960","2,284"
2020년12월_계_70~79세,"13,047","1,169","1,622",727,703,507,557,569,946,439,891,608,550,371,"2,075","1,313"
2020년12월_계_80~89세,"8,050",635,"1,056",543,475,348,385,370,586,276,621,405,379,251,"1,040",680
2020년12월_계_90~99세,"1,183",107,162,61,41,51,55,59,90,54,91,66,65,52,144,85
2020년12월_계_100세 이상,93,16,10,2,2,5,6,4,8,6,5,4,5,4,11,5
2020년12월_남_총인구수,"58,316","4,079","6,853","2,102","2,158","1,523","1,810","1,824","3,189","1,249","3,169","1,741","2,089","1,094","17,466","7,970"
2020년12월_남_연령구간인구수,"58,316","4,079","6,853","2,102","2,158","1,523","1,810","1,824","3,189","1,249","3,169","1,741","2,089","1,094","17,466","7,970"
2020년12월_남_0~9세,"3,709",182,453,62,52,60,40,45,106,27,205,33,53,34,"1,715",642
2020년12월_남_10~19세,"5,059",339,565,98,119,77,94,72,183,57,237,70,86,63,"2,042",957
2020년12월_남_20~29세,"6,377",411,754,164,172,114,121,154,233,65,258,137,265,85,"2,462",982
2020년12월_남_30~39세,"5,705",292,715,157,149,126,117,125,189,74,272,96,164,75,"2,361",793
2020년12월_남_40~49세,"8,161",520,936,238,252,176,213,219,322,147,346,177,286,113,"2,911","1,305"
2020년12월_남_50~59세,"10,383",763,"1,147",364,423,281,390,379,675,241,577,319,417,202,"2,755","1,450"
2020년12월_남_60~69세,"10,052",803,"1,197",488,510,324,436,432,798,325,604,464,428,277,"1,906","1,060"
2020년12월_남_70~79세,"5,786",497,712,304,322,241,257,264,446,209,405,284,247,147,916,535
2020년12월_남_80~89세,"2,759",235,333,208,150,110,122,124,216,86,237,138,131,82,356,231
2020년12월_남_90~99세,304,30,40,19,9,13,20,10,20,17,27,22,11,15,38,13
2020년12월_남_100세 이상,21,7,1,0,0,1,0,0,1,1,1,1,1,1,4,2
2020년12월_여_총인구수,"58,359","4,296","6,879","2,071","2,085","1,497","1,812","1,752","2,948","1,228","3,048","1,698","1,889","1,180","17,538","8,438"
2020년12월_여_연령구간인구수,"58,359","4,296","6,879","2,071","2,085","1,497","1,812","1,752","2,948","1,228","3,048","1,698","1,889","1,180","17,538","8,438"
2020년12월_여_0~9세,"3,523",160,445,58,54,51,38,42,88,38,165,24,53,32,"1,643",632
2020년12월_여_10~19세,"4,747",333,535,84,120,71,74,83,146,53,184,59,108,77,"1,905",915
2020년12월_여_20~29세,"5,010",309,576,126,126,83,105,108,146,55,177,95,178,60,"2,065",801
2020년12월_여_30~39세,"5,059",276,577,86,96,92,106,85,156,42,245,68,86,56,"2,252",836
2020년12월_여_40~49세,"7,242",462,744,128,152,127,184,139,247,95,295,137,159,95,"2,962","1,316"
2020년12월_여_50~59세,"9,320",728,"1,038",331,349,201,301,292,538,195,498,268,302,166,"2,701","1,412"
2020년12월_여_60~69세,"9,955",870,"1,200",456,448,326,400,399,680,288,546,409,394,261,"2,054","1,224"
2020년12월_여_70~79세,"7,261",672,910,423,381,266,300,305,500,230,486,324,303,224,"1,159",778
2020년12월_여_80~89세,"5,291",400,723,335,325,238,263,246,370,190,384,267,248,169,684,449
2020년12월_여_90~99세,879,77,122,42,32,38,35,49,70,37,64,44,54,37,106,72
2020년12월_여_100세 이상,72,9,9,2,2,4,6,4,7,5,4,3,4,3,7,3
