,충청북도,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 서원구,충청북도 청주시 흥덕구,충청북도 청주시 청원구,충청북도 충주시,충청북도 제천시,충청북도 보은군,충청북도 옥천군,충청북도 영동군,충청북도 증평군,충청북도 진천군,충청북도 괴산군,충청북도 음성군,충청북도 단양군
2021년05월_계_총인구수,"1,596,955","846,291","193,673","193,630","265,316","193,672","209,483","132,659","32,180","50,320","46,442","36,536","84,623","37,442","92,213","28,766"
2021년05월_계_연령구간인구수,"1,596,955","846,291","193,673","193,630","265,316","193,672","209,483","132,659","32,180","50,320","46,442","36,536","84,623","37,442","92,213","28,766"
2021년05월_계_0~9세,"120,558","72,922","16,263","13,351","23,718","19,590","14,188","8,468","1,404","2,531","2,220","3,088","7,618","1,280","5,690","1,149"
2021년05월_계_10~19세,"147,489","85,150","19,771","19,874","26,207","19,298","18,613","11,540","2,063","3,800","3,257","3,343","8,374","1,957","7,475","1,917"
2021년05월_계_20~29세,"197,119","119,716","24,945","28,166","40,721","25,884","24,099","14,696","2,334","4,276","4,120","4,435","9,271","2,795","9,246","2,131"
2021년05월_계_30~39세,"192,514","117,947","23,535","22,251","40,987","31,174","23,114","12,748","2,101","3,815","3,116","4,580","11,528","2,353","9,287","1,925"
2021년05월_계_40~49세,"238,517","135,993","30,640","30,211","43,012","32,130","30,401","18,093","3,237","6,105","5,119","5,537","13,650","3,711","13,480","3,191"
2021년05월_계_50~59세,"270,172","137,118","33,267","33,809","42,584","27,458","37,056","23,672","5,720","8,801","8,169","5,982","13,690","7,088","17,427","5,449"
2021년05월_계_60~69세,"233,727","102,194","25,404","26,323","29,076","21,391","33,216","23,650","7,129","10,230","9,542","5,214","10,951","9,000","15,964","6,637"
2021년05월_계_70~79세,"119,892","47,447","12,381","12,486","12,167","10,413","17,244","12,384","4,520","6,328","6,411","2,664","5,508","5,368","8,150","3,868"
2021년05월_계_80~89세,"67,252","24,243","6,436","6,249","5,999","5,559","10,188","6,503","3,157","3,811","3,951","1,513","3,531","3,415","4,755","2,185"
2021년05월_계_90~99세,"9,385","3,448",997,886,829,736,"1,329",839,501,608,524,177,490,458,717,294
2021년05월_계_100세 이상,330,113,34,24,16,39,35,66,14,15,13,3,12,17,22,20
2021년05월_남_총인구수,"809,946","426,502","96,292","96,165","134,592","99,453","106,040","66,598","16,236","25,358","23,171","19,025","44,376","19,256","48,822","14,562"
2021년05월_남_연령구간인구수,"809,946","426,502","96,292","96,165","134,592","99,453","106,040","66,598","16,236","25,358","23,171","19,025","44,376","19,256","48,822","14,562"
2021년05월_남_0~9세,"61,631","37,217","8,242","6,837","12,096","10,042","7,167","4,340",716,"1,300","1,131","1,605","3,939",647,"2,970",599
2021년05월_남_10~19세,"76,671","44,159","10,254","10,313","13,601","9,991","9,690","5,987","1,104","2,016","1,695","1,749","4,352","1,005","3,894","1,020"
2021년05월_남_20~29세,"109,643","65,210","13,465","15,280","22,013","14,452","13,881","8,180","1,381","2,444","2,330","2,597","5,356","1,657","5,360","1,247"
2021년05월_남_30~39세,"102,448","61,926","12,042","11,503","21,583","16,798","12,546","6,724","1,158","1,965","1,638","2,546","6,358","1,342","5,218","1,027"
2021년05월_남_40~49세,"123,676","68,966","15,231","14,963","21,861","16,911","15,617","9,314","1,802","3,290","2,787","2,991","7,443","2,153","7,552","1,761"
2021년05월_남_50~59세,"139,032","68,633","16,549","16,637","21,343","14,104","18,950","12,080","3,164","4,735","4,358","3,161","7,485","3,857","9,695","2,914"
