카테고리,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2021년11월_계_총인구수,"24,974","9,988",836,"1,070","1,353",854,"1,939","1,755","1,810","2,823","1,050","1,496"
2021년11월_계_연령구간인구수,"24,974","9,988",836,"1,070","1,353",854,"1,939","1,755","1,810","2,823","1,050","1,496"
2021년11월_계_0~9세,"1,151",634,16,37,37,32,80,66,55,115,49,30
2021년11월_계_10~19세,"1,636",850,25,75,87,39,78,75,79,210,59,59
2021년11월_계_20~29세,"1,801",894,29,62,65,41,143,119,128,178,59,83
2021년11월_계_30~39세,"1,512",768,21,43,52,54,102,94,80,181,76,41
2021년11월_계_40~49세,"2,546","1,274",64,85,105,68,182,155,134,272,91,116
2021년11월_계_50~59세,"4,392","1,667",170,190,245,159,341,289,329,551,180,271
2021년11월_계_60~69세,"5,205","1,715",246,243,318,214,434,412,370,643,251,359
2021년11월_계_70~79세,"3,750","1,234",162,175,239,134,309,309,360,394,138,296
2021년11월_계_80~89세,"2,580",833,89,136,176,104,226,206,236,235,130,209
2021년11월_계_90~99세,386,111,13,24,29,9,42,29,38,43,16,32
2021년11월_계_100세 이상,15,8,1,0,0,0,2,1,1,1,1,0
2021년11월_남_총인구수,"12,638","5,040",416,515,642,438,"1,010",888,915,"1,461",557,756
2021년11월_남_연령구간인구수,"12,638","5,040",416,515,642,438,"1,010",888,915,"1,461",557,756
2021년11월_남_0~9세,560,306,6,16,12,14,43,30,33,57,27,16
2021년11월_남_10~19세,876,443,13,35,50,17,45,42,43,115,40,33
2021년11월_남_20~29세,"1,019",497,16,41,33,25,84,64,66,105,40,48
2021년11월_남_30~39세,740,363,12,18,18,28,62,42,39,93,42,23
2021년11월_남_40~49세,"1,481",723,41,43,57,43,111,100,83,153,54,73
2021년11월_남_50~59세,"2,475",932,92,100,136,89,192,170,199,315,97,153
2021년11월_남_60~69세,"2,793",901,126,131,171,119,235,230,193,351,136,200
2021년11월_남_70~79세,"1,740",565,77,78,111,66,146,148,165,191,68,125
2021년11월_남_80~89세,869,283,31,47,48,35,84,57,85,73,49,77
2021년11월_남_90~99세,82,24,2,6,6,2,8,5,9,8,4,8
2021년11월_남_100세 이상,3,3,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"12,336","4,948",420,555,711,416,929,867,895,"1,362",493,740
2021년11월_여_연령구간인구수,"12,336","4,948",420,555,711,416,929,867,895,"1,362",493,740
2021년11월_여_0~9세,591,328,10,21,25,18,37,36,22,58,22,14
2021년11월_여_10~19세,760,407,12,40,37,22,33,33,36,95,19,26
2021년11월_여_20~29세,782,397,13,21,32,16,59,55,62,73,19,35
2021년11월_여_30~39세,772,405,9,25,34,26,40,52,41,88,34,18
2021년11월_여_40~49세,"1,065",551,23,42,48,25,71,55,51,119,37,43
2021년11월_여_50~59세,"1,917",735,78,90,109,70,149,119,130,236,83,118
2021년11월_여_60~69세,"2,412",814,120,112,147,95,199,182,177,292,115,159
2021년11월_여_70~79세,"2,010",669,85,97,128,68,163,161,195,203,70,171
2021년11월_여_80~89세,"1,711",550,58,89,128,69,142,149,151,162,81,132
2021년11월_여_90~99세,304,87,11,18,23,7,34,24,29,35,12,24
2021년11월_여_100세 이상,12,5,1,0,0,0,2,1,1,1,1,0
