카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년04월_계_총인구수,"418,205","15,270","36,936","1,892","1,766","2,257","4,190","26,109","3,247","16,334","3,898","3,387","30,648","2,311","47,562","15,297","17,662","3,360","3,332","6,375","6,806","4,523","4,544","29,091","19,813","49,185","16,096","46,314"
2020년04월_계_연령구간인구수,"418,205","15,270","36,936","1,892","1,766","2,257","4,190","26,109","3,247","16,334","3,898","3,387","30,648","2,311","47,562","15,297","17,662","3,360","3,332","6,375","6,806","4,523","4,544","29,091","19,813","49,185","16,096","46,314"
2020년04월_계_0~9세,"42,862",943,"3,407",41,20,41,71,"5,525",80,902,69,96,"2,525",85,"5,061","1,160",968,157,293,727,936,658,367,"2,748","2,395","5,294","1,014","7,279"
2020년04월_계_10~19세,"46,026","1,197","4,003",68,69,146,170,"2,040",222,"1,331",121,164,"3,726",139,"6,403","1,809","2,141",198,234,490,657,202,374,"3,722","2,696","6,098","1,170","6,436"
2020년04월_계_20~29세,"57,454","1,589","4,866",108,102,152,305,"2,820",277,"2,612",539,342,"4,174",248,"6,008","2,139","2,854",609,454,"1,018",930,732,707,"4,299","2,571","7,155","4,187","5,657"
2020년04월_계_30~39세,"67,217","1,396","4,540",96,77,101,229,"8,068",190,"2,260",548,296,"3,730",179,"6,374","1,785","1,801",520,570,"1,367","1,445","1,178",735,"3,997","3,247","9,131","4,167","9,190"
2020년04월_계_40~49세,"73,596","2,042","5,914",140,154,205,470,"3,978",398,"2,425",727,376,"5,209",298,"9,152","2,636","2,974",468,456,"1,007","1,158",670,785,"5,934","4,019","9,524","2,628","9,849"
2020년04월_계_50~59세,"69,302","3,064","7,701",376,339,403,826,"2,017",663,"3,231",868,719,"6,163",498,"8,351","3,084","3,993",635,659,"1,114","1,066",668,806,"5,408","3,187","6,840","1,681","4,942"
2020년04월_계_60~69세,"37,038","2,539","3,797",460,416,486,894,952,612,"2,411",627,756,"3,395",505,"4,156","1,746","2,054",452,380,425,448,323,459,"1,876","1,112","3,194",816,"1,747"
2020년04월_계_70~79세,"15,669","1,421","1,614",306,298,406,672,398,462,846,279,445,"1,135",237,"1,410",642,620,236,176,159,116,71,226,745,379,"1,299",282,789
2020년04월_계_80~89세,"7,861",924,934,249,251,280,486,270,310,281,95,171,525,109,568,263,230,75,95,62,46,15,72,305,181,572,122,370
2020년04월_계_90~99세,"1,133",150,152,47,38,35,64,41,31,31,22,21,66,12,78,33,25,10,12,6,4,5,13,55,26,76,27,53
2020년04월_계_100세 이상,47,5,8,1,2,2,3,0,2,4,3,1,0,1,1,0,2,0,3,0,0,1,0,2,0,2,2,2
2020년04월_남_총인구수,"214,528","7,585","18,796",940,908,"1,146","2,181","13,679","1,657","8,077","2,144","1,743","15,017","1,198","24,038","7,575","8,888","1,872","1,807","3,451","3,498","2,482","2,413","15,159","10,342","25,301","8,605","24,026"
2020년04월_남_연령구간인구수,"214,528","7,585","18,796",940,908,"1,146","2,181","13,679","1,657","8,077","2,144","1,743","15,017","1,198","24,038","7,575","8,888","1,872","1,807","3,451","3,498","2,482","2,413","15,159","10,342","25,301","8,605","24,026"
2020년04월_남_0~9세,"22,140",473,"1,770",18,10,19,41,"2,821",51,458,33,53,"1,319",42,"2,585",601,523,74,162,391,476,353,181,"1,390","1,233","2,840",511,"3,712"
2020년04월_남_10~19세,"24,097",617,"2,163",35,32,91,88,"1,070",125,670,59,92,"1,887",72,"3,343",968,"1,162",98,129,251,322,97,188,"1,951","1,452","3,195",607,"3,333"
2020년04월_남_20~29세,"31,598",944,"2,794",68,69,90,185,"1,314",151,"1,428",296,208,"2,305",141,"3,359","1,203","1,611",382,257,547,496,427,412,"2,480","1,432","3,800","2,058","3,141"
2020년04월_남_30~39세,"35,709",736,"2,331",60,50,66,148,"4,404",104,"1,256",293,194,"1,865",113,"3,103",899,960,344,341,807,809,680,429,"2,099","1,688","4,788","2,473","4,669"
2020년04월_남_40~49세,"37,133","1,052","2,791",87,105,122,307,"2,194",226,"1,141",429,209,"2,389",163,"4,459","1,179","1,311",273,263,533,576,390,423,"2,934","1,983","4,903","1,485","5,206"
2020년04월_남_50~59세,"35,445","1,527","3,904",211,190,240,497,"1,101",361,"1,493",522,377,"2,900",260,"4,186","1,475","1,908",347,344,586,538,347,410,"2,900","1,747","3,487",905,"2,682"
2020년04월_남_60~69세,"18,922","1,307","2,047",240,224,244,457,510,320,"1,145",342,372,"1,694",261,"2,157",869,"1,072",220,203,234,219,152,225,985,591,"1,592",398,842
2020년04월_남_70~79세,"6,846",637,676,132,139,181,270,174,209,388,139,181,478,107,652,299,270,102,71,84,53,31,114,323,157,532,125,322
2020년04월_남_80~89세,"2,419",267,292,76,78,85,174,79,104,95,29,52,168,39,182,80,68,31,33,17,8,5,27,84,55,148,37,106
2020년04월_남_90~99세,213,25,27,13,11,7,13,12,6,2,2,5,12,0,12,2,3,1,4,1,1,0,4,12,4,16,6,12
2020년04월_남_100세 이상,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020년04월_여_총인구수,"203,677","7,685","18,140",952,858,"1,111","2,009","12,430","1,590","8,257","1,754","1,644","15,631","1,113","23,524","7,722","8,774","1,488","1,525","2,924","3,308","2,041","2,131","13,932","9,471","23,884","7,491","22,288"
2020년04월_여_연령구간인구수,"203,677","7,685","18,140",952,858,"1,111","2,009","12,430","1,590","8,257","1,754","1,644","15,631","1,113","23,524","7,722","8,774","1,488","1,525","2,924","3,308","2,041","2,131","13,932","9,471","23,884","7,491","22,288"
2020년04월_여_0~9세,"20,722",470,"1,637",23,10,22,30,"2,704",29,444,36,43,"1,206",43,"2,476",559,445,83,131,336,460,305,186,"1,358","1,162","2,454",503,"3,567"
2020년04월_여_10~19세,"21,929",580,"1,840",33,37,55,82,970,97,661,62,72,"1,839",67,"3,060",841,979,100,105,239,335,105,186,"1,771","1,244","2,903",563,"3,103"
2020년04월_여_20~29세,"25,856",645,"2,072",40,33,62,120,"1,506",126,"1,184",243,134,"1,869",107,"2,649",936,"1,243",227,197,471,434,305,295,"1,819","1,139","3,355","2,129","2,516"
2020년04월_여_30~39세,"31,508",660,"2,209",36,27,35,81,"3,664",86,"1,004",255,102,"1,865",66,"3,271",886,841,176,229,560,636,498,306,"1,898","1,559","4,343","1,694","4,521"
2020년04월_여_40~49세,"36,463",990,"3,123",53,49,83,163,"1,784",172,"1,284",298,167,"2,820",135,"4,693","1,457","1,663",195,193,474,582,280,362,"3,000","2,036","4,621","1,143","4,643"
2020년04월_여_50~59세,"33,857","1,537","3,797",165,149,163,329,916,302,"1,738",346,342,"3,263",238,"4,165","1,609","2,085",288,315,528,528,321,396,"2,508","1,440","3,353",776,"2,260"
2020년04월_여_60~69세,"18,116","1,232","1,750",220,192,242,437,442,292,"1,266",285,384,"1,701",244,"1,999",877,982,232,177,191,229,171,234,891,521,"1,602",418,905
2020년04월_여_70~79세,"8,823",784,938,174,159,225,402,224,253,458,140,264,657,130,758,343,350,134,105,75,63,40,112,422,222,767,157,467
2020년04월_여_80~89세,"5,442",657,642,173,173,195,312,191,206,186,66,119,357,70,386,183,162,44,62,45,38,10,45,221,126,424,85,264
2020년04월_여_90~99세,920,125,125,34,27,28,51,29,25,29,20,16,54,12,66,31,22,9,8,5,3,5,9,43,22,60,21,41
2020년04월_여_100세 이상,41,5,7,1,2,1,2,0,2,3,3,1,0,1,1,0,2,0,3,0,0,1,0,1,0,2,2,1
