카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2021년04월_계_총인구수,"657,410","256,797","24,296","4,116","4,323","4,355","3,191","2,269","6,037","2,115","5,418","4,149","8,709","9,287","18,037","23,396","44,851","55,567","36,681","400,613","24,009","21,746","19,896","8,474","15,934","25,772","14,000","37,685","18,935","40,571","70,002","46,595","56,994"
2021년04월_계_연령구간인구수,"657,410","256,797","24,296","4,116","4,323","4,355","3,191","2,269","6,037","2,115","5,418","4,149","8,709","9,287","18,037","23,396","44,851","55,567","36,681","400,613","24,009","21,746","19,896","8,474","15,934","25,772","14,000","37,685","18,935","40,571","70,002","46,595","56,994"
2021년04월_계_0~9세,"60,997","19,901","1,668",140,106,127,78,51,239,25,171,157,410,275,"1,063","2,104","4,610","5,904","2,773","41,096","1,162","1,792","1,382",293,740,967,861,"3,360","1,393","5,549","10,431","3,949","9,217"
2021년04월_계_10~19세,"67,896","25,911","2,646",230,191,225,164,89,350,69,278,210,659,653,"1,414","3,196","5,793","6,985","2,759","41,985","2,205","2,354","1,873",530,"1,017","1,296","1,199","4,904","2,378","5,658","9,419","4,131","5,021"
2021년04월_계_20~29세,"95,742","34,970","2,861",377,365,383,234,167,747,141,529,600,"1,068","1,162","2,841","2,746","6,187","7,005","7,557","60,772","2,800","2,547","2,465",864,"2,334","6,451","2,488","5,964","2,631","5,126","8,797","10,181","8,124"
2021년04월_계_30~39세,"103,917","32,663","2,482",322,289,333,180,168,532,90,482,538,868,849,"2,514","2,519","6,717","8,249","5,531","71,254","2,102","2,796","2,707",712,"2,204","5,635","1,846","5,010","2,285","6,746","14,362","9,265","15,584"
2021년04월_계_40~49세,"111,870","42,497","4,421",442,436,511,326,235,729,175,679,535,"1,201","1,339","2,891","4,357","8,955","10,189","5,076","69,373","3,634","4,121","3,639","1,073","2,373","3,819","1,914","6,638","3,152","7,913","14,162","7,481","9,454"
2021년04월_계_50~59세,"102,629","43,331","4,475",747,844,847,596,423,"1,148",426,"1,040",736,"1,721","1,819","3,235","4,027","6,910","8,428","5,909","59,298","4,242","3,676","3,531","1,761","3,049","3,581","2,533","6,650","3,556","5,599","8,689","6,643","5,788"
2021년04월_계_60~69세,"66,426","32,546","3,117",946,"1,065","1,007",793,522,"1,170",529,"1,182",774,"1,532","1,634","2,489","2,561","3,504","5,372","4,349","33,880","3,969","2,575","2,425","1,668","2,422","2,528","1,987","3,296","2,053","2,606","2,788","3,004","2,559"
2021년04월_계_70~79세,"30,247","15,577","1,576",524,566,509,464,336,637,356,675,394,802,985,"1,071","1,239","1,371","2,230","1,842","14,670","2,444","1,176","1,151",954,"1,239",996,760,"1,215",912,898,864,"1,257",804
