카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년02월_계_총인구수,"64,216","7,260","6,441","8,145","10,899","3,874","1,743","3,099","8,429","4,209","6,935","3,182"
2020년02월_계_연령구간인구수,"64,216","7,260","6,441","8,145","10,899","3,874","1,743","3,099","8,429","4,209","6,935","3,182"
2020년02월_계_0~9세,"4,239",532,302,431,898,149,109,105,593,359,640,121
2020년02월_계_10~19세,"5,325",625,523,665,971,243,120,182,747,433,577,239
2020년02월_계_20~29세,"6,850",753,750,870,"1,246",446,180,278,882,481,650,314
2020년02월_계_30~39세,"7,508",897,615,841,"1,533",371,195,257,"1,017",540,961,281
2020년02월_계_40~49세,"10,379","1,282",964,"1,293","1,852",564,261,382,"1,417",752,"1,178",434
2020년02월_계_50~59세,"10,393","1,206","1,096","1,340","1,643",707,269,538,"1,323",731,"1,061",479
2020년02월_계_60~69세,"9,795",988,"1,075","1,322","1,488",695,290,632,"1,224",526,966,589
2020년02월_계_70~79세,"6,525",620,756,944,909,446,207,456,845,263,578,501
2020년02월_계_80~89세,"2,724",302,300,387,307,230,97,228,317,100,265,191
2020년02월_계_90~99세,403,44,49,47,41,22,14,34,55,19,54,24
2020년02월_계_100세 이상,75,11,11,5,11,1,1,7,9,5,5,9
2020년02월_남_총인구수,"32,421","3,730","3,227","4,038","5,415","1,975",849,"1,589","4,333","2,184","3,452","1,629"
2020년02월_남_연령구간인구수,"32,421","3,730","3,227","4,038","5,415","1,975",849,"1,589","4,333","2,184","3,452","1,629"
2020년02월_남_0~9세,"2,236",286,164,222,459,75,53,59,332,185,335,66
2020년02월_남_10~19세,"2,743",323,272,324,509,118,53,89,390,213,315,137
2020년02월_남_20~29세,"3,711",426,399,465,650,245,100,166,502,258,330,170
2020년02월_남_30~39세,"3,963",459,320,473,765,202,104,149,546,296,486,163
2020년02월_남_40~49세,"5,616",693,497,702,993,323,136,228,771,397,630,246
2020년02월_남_50~59세,"5,459",660,593,688,787,391,134,295,697,398,549,267
2020년02월_남_60~69세,"4,747",512,518,625,690,355,147,304,589,267,453,287
2020년02월_남_70~79세,"2,882",264,338,399,435,187,84,204,373,124,257,217
2020년02월_남_80~89세,940,93,112,129,114,71,33,82,113,38,90,65
2020년02월_남_90~99세,100,10,12,10,8,8,5,11,18,5,7,6
2020년02월_남_100세 이상,24,4,2,1,5,0,0,2,2,3,0,5
2020년02월_여_총인구수,"31,795","3,530","3,214","4,107","5,484","1,899",894,"1,510","4,096","2,025","3,483","1,553"
2020년02월_여_연령구간인구수,"31,795","3,530","3,214","4,107","5,484","1,899",894,"1,510","4,096","2,025","3,483","1,553"
2020년02월_여_0~9세,"2,003",246,138,209,439,74,56,46,261,174,305,55
2020년02월_여_10~19세,"2,582",302,251,341,462,125,67,93,357,220,262,102
2020년02월_여_20~29세,"3,139",327,351,405,596,201,80,112,380,223,320,144
2020년02월_여_30~39세,"3,545",438,295,368,768,169,91,108,471,244,475,118
2020년02월_여_40~49세,"4,763",589,467,591,859,241,125,154,646,355,548,188
2020년02월_여_50~59세,"4,934",546,503,652,856,316,135,243,626,333,512,212
2020년02월_여_60~69세,"5,048",476,557,697,798,340,143,328,635,259,513,302
2020년02월_여_70~79세,"3,643",356,418,545,474,259,123,252,472,139,321,284
2020년02월_여_80~89세,"1,784",209,188,258,193,159,64,146,204,62,175,126
2020년02월_여_90~99세,303,34,37,37,33,14,9,23,37,14,47,18
2020년02월_여_100세 이상,51,7,9,4,6,1,1,5,7,2,5,4
