카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년11월_계_총인구수,"46,533","20,763","4,501","3,165","5,885","2,400","2,437","3,505","2,133","1,744"
2020년11월_계_연령구간인구수,"46,533","20,763","4,501","3,165","5,885","2,400","2,437","3,505","2,133","1,744"
2020년11월_계_0~9세,"2,158","1,463",129,66,238,39,35,84,69,35
2020년11월_계_10~19세,"3,590","2,013",201,580,388,88,68,115,66,71
2020년11월_계_20~29세,"3,858","2,269",380,137,392,131,132,212,121,84
2020년11월_계_30~39세,"3,454","2,029",254,127,441,116,94,181,136,76
2020년11월_계_40~49세,"5,121","2,980",417,190,637,171,166,270,159,131
2020년11월_계_50~59세,"8,763","3,642",906,573,"1,214",458,527,703,392,348
2020년11월_계_60~69세,"10,212","3,290","1,133",785,"1,381",728,738,984,644,529
2020년11월_계_70~79세,"5,601","1,825",652,429,721,389,405,548,307,325
2020년11월_계_80~89세,"3,220","1,047",368,238,415,244,227,341,205,135
2020년11월_계_90~99세,524,194,55,37,55,33,43,64,33,10
2020년11월_계_100세 이상,32,11,6,3,3,3,2,3,1,0
2020년11월_남_총인구수,"23,858","10,441","2,352","1,626","3,086","1,238","1,237","1,833","1,135",910
2020년11월_남_연령구간인구수,"23,858","10,441","2,352","1,626","3,086","1,238","1,237","1,833","1,135",910
2020년11월_남_0~9세,"1,136",766,68,37,124,20,13,45,42,21
2020년11월_남_10~19세,"1,884","1,036",104,305,211,43,43,61,33,48
2020년11월_남_20~29세,"2,181","1,229",244,85,224,71,74,131,71,52
2020년11월_남_30~39세,"1,815","1,021",132,62,259,59,51,111,80,40
2020년11월_남_40~49세,"2,852","1,620",238,103,358,101,92,171,94,75
2020년11월_남_50~59세,"4,649","1,900",493,306,654,236,280,378,216,186
2020년11월_남_60~69세,"5,328","1,661",596,416,725,397,401,517,351,264
2020년11월_남_70~79세,"2,699",780,330,218,358,206,203,281,159,164
2020년11월_남_80~89세,"1,178",372,129,89,163,97,70,124,77,57
2020년11월_남_90~99세,126,53,18,5,10,6,9,11,11,3
2020년11월_남_100세 이상,10,3,0,0,0,2,1,3,1,0
2020년11월_여_총인구수,"22,675","10,322","2,149","1,539","2,799","1,162","1,200","1,672",998,834
2020년11월_여_연령구간인구수,"22,675","10,322","2,149","1,539","2,799","1,162","1,200","1,672",998,834
2020년11월_여_0~9세,"1,022",697,61,29,114,19,22,39,27,14
2020년11월_여_10~19세,"1,706",977,97,275,177,45,25,54,33,23
2020년11월_여_20~29세,"1,677","1,040",136,52,168,60,58,81,50,32
2020년11월_여_30~39세,"1,639","1,008",122,65,182,57,43,70,56,36
2020년11월_여_40~49세,"2,269","1,360",179,87,279,70,74,99,65,56
2020년11월_여_50~59세,"4,114","1,742",413,267,560,222,247,325,176,162
2020년11월_여_60~69세,"4,884","1,629",537,369,656,331,337,467,293,265
2020년11월_여_70~79세,"2,902","1,045",322,211,363,183,202,267,148,161
2020년11월_여_80~89세,"2,042",675,239,149,252,147,157,217,128,78
2020년11월_여_90~99세,398,141,37,32,45,27,34,53,22,7
2020년11월_여_100세 이상,22,8,6,3,3,1,1,0,0,0
