,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년03월_계_총인구수,"52,663","21,711","4,625","6,879","1,764","1,753","1,371","2,319","2,405","4,031","5,235",380,190
2021년03월_계_연령구간인구수,"52,663","21,711","4,625","6,879","1,764","1,753","1,371","2,319","2,405","4,031","5,235",380,190
2021년03월_계_0~9세,"3,723","2,036",176,643,83,87,66,92,85,154,276,14,11
2021년03월_계_10~19세,"4,137","2,378",232,532,109,76,57,168,84,156,331,9,5
2021년03월_계_20~29세,"4,920","2,390",333,829,150,122,91,170,122,229,449,27,8
2021년03월_계_30~39세,"4,775","2,255",266,917,145,115,113,125,126,254,432,18,9
2021년03월_계_40~49세,"6,447","3,333",432,851,149,143,104,239,189,366,550,60,31
2021년03월_계_50~59세,"8,448","3,397",791,"1,129",286,283,224,378,338,648,861,84,29
2021년03월_계_60~69세,"8,500","2,892",859,872,324,338,304,408,468,926,958,99,52
2021년03월_계_70~79세,"7,092","1,931",897,718,295,309,245,417,533,834,832,46,35
2021년03월_계_80~89세,"4,050",954,565,344,186,247,146,280,410,407,482,20,9
2021년03월_계_90~99세,548,136,71,42,36,33,21,38,50,57,60,3,1
2021년03월_계_100세 이상,23,9,3,2,1,0,0,4,0,0,4,0,0
2021년03월_남_총인구수,"26,333","10,709","2,311","3,614",938,855,684,"1,163","1,151","1,976","2,585",233,114
2021년03월_남_연령구간인구수,"26,333","10,709","2,311","3,614",938,855,684,"1,163","1,151","1,976","2,585",233,114
2021년03월_남_0~9세,"1,901","1,041",89,346,39,46,29,39,47,72,140,6,7
2021년03월_남_10~19세,"2,160","1,239",124,257,78,37,24,93,50,76,174,5,3
2021년03월_남_20~29세,"2,775","1,283",206,493,87,59,52,97,69,143,263,18,5
2021년03월_남_30~39세,"2,470","1,102",156,504,83,53,58,71,65,141,221,12,4
2021년03월_남_40~49세,"3,628","1,677",283,483,98,94,68,155,115,248,339,45,23
2021년03월_남_50~59세,"4,692","1,758",477,644,173,157,131,245,206,359,462,60,20
2021년03월_남_60~69세,"4,298","1,385",428,463,187,187,159,203,239,458,503,57,29
2021년03월_남_70~79세,"3,055",883,361,307,131,136,112,166,211,365,337,25,21
2021년03월_남_80~89세,"1,244",311,172,110,53,77,47,86,140,103,138,5,2
2021년03월_남_90~99세,110,30,15,7,9,9,4,8,9,11,8,0,0
2021년03월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년03월_여_총인구수,"26,330","11,002","2,314","3,265",826,898,687,"1,156","1,254","2,055","2,650",147,76
2021년03월_여_연령구간인구수,"26,330","11,002","2,314","3,265",826,898,687,"1,156","1,254","2,055","2,650",147,76
2021년03월_여_0~9세,"1,822",995,87,297,44,41,37,53,38,82,136,8,4
2021년03월_여_10~19세,"1,977","1,139",108,275,31,39,33,75,34,80,157,4,2
2021년03월_여_20~29세,"2,145","1,107",127,336,63,63,39,73,53,86,186,9,3
2021년03월_여_30~39세,"2,305","1,153",110,413,62,62,55,54,61,113,211,6,5
2021년03월_여_40~49세,"2,819","1,656",149,368,51,49,36,84,74,118,211,15,8
2021년03월_여_50~59세,"3,756","1,639",314,485,113,126,93,133,132,289,399,24,9
2021년03월_여_60~69세,"4,202","1,507",431,409,137,151,145,205,229,468,455,42,23
2021년03월_여_70~79세,"4,037","1,048",536,411,164,173,133,251,322,469,495,21,14
2021년03월_여_80~89세,"2,806",643,393,234,133,170,99,194,270,304,344,15,7
2021년03월_여_90~99세,438,106,56,35,27,24,17,30,41,46,52,3,1
2021년03월_여_100세 이상,23,9,3,2,1,0,0,4,0,0,4,0,0
