카테고리,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 의창구 동읍,경상남도 창원시 의창구 북면,경상남도 창원시 의창구 대산면,경상남도 창원시 의창구 의창동,경상남도 창원시 의창구 팔룡동,경상남도 창원시 의창구 명곡동,경상남도 창원시 의창구 봉림동,경상남도 창원시 의창구 용지동,경상남도 창원시 성산구,경상남도 창원시 성산구 반송동,경상남도 창원시 성산구 용지동,경상남도 창원시 성산구 중앙동,경상남도 창원시 성산구 상남동,경상남도 창원시 성산구 사파동,경상남도 창원시 성산구 가음정동,경상남도 창원시 성산구 성주동,경상남도 창원시 성산구 웅남동,경상남도 창원시 마산합포구,경상남도 창원시 마산합포구 구산면,경상남도 창원시 마산합포구 진동면,경상남도 창원시 마산합포구 진북면,경상남도 창원시 마산합포구 진전면,경상남도 창원시 마산합포구 현동,경상남도 창원시 마산합포구 가포동,경상남도 창원시 마산합포구 월영동,경상남도 창원시 마산합포구 문화동,경상남도 창원시 마산합포구 반월중앙동,경상남도 창원시 마산합포구 완월동,경상남도 창원시 마산합포구 자산동,경상남도 창원시 마산합포구 교방동,경상남도 창원시 마산합포구 오동동,경상남도 창원시 마산합포구 합포동,경상남도 창원시 마산합포구 산호동,경상남도 창원시 마산회원구,경상남도 창원시 마산회원구 내서읍,경상남도 창원시 마산회원구 회원1동,경상남도 창원시 마산회원구 회원2동,경상남도 창원시 마산회원구 석전동,경상남도 창원시 마산회원구 회성동,경상남도 창원시 마산회원구 양덕1동,경상남도 창원시 마산회원구 양덕2동,경상남도 창원시 마산회원구 합성1동,경상남도 창원시 마산회원구 합성2동,경상남도 창원시 마산회원구 구암1동,경상남도 창원시 마산회원구 구암2동,경상남도 창원시 마산회원구 봉암동,경상남도 창원시 진해구,경상남도 창원시 진해구 충무동,경상남도 창원시 진해구 여좌동,경상남도 창원시 진해구 태백동,경상남도 창원시 진해구 경화동,경상남도 창원시 진해구 병암동,경상남도 창원시 진해구 석동,경상남도 창원시 진해구 이동,경상남도 창원시 진해구 자은동,경상남도 창원시 진해구 덕산동,경상남도 창원시 진해구 풍호동,경상남도 창원시 진해구 웅천동,경상남도 창원시 진해구 웅동1동,경상남도 창원시 진해구 웅동2동
2021년07월_계_총인구수,"1,034,635","218,589","19,815","43,440","7,159","50,677","25,808","41,561","30,129",0,"253,362","41,395","29,654","34,547","27,885","45,095","40,670","26,335","7,781","180,600","4,208","12,183","3,429","3,920","14,124",963,"41,675","11,109","14,594","9,057","10,462","15,992","19,422","7,152","12,310","188,322","63,853","10,278","10,056","17,043","6,123","11,055","31,371","9,355","7,521","8,928","9,471","3,268","193,762","16,958","8,501","4,868","11,173","7,493","17,497","8,568","21,360","10,162","25,840","12,930","6,419","41,993"
2021년07월_계_연령구간인구수,"1,034,635","218,589","19,815","43,440","7,159","50,677","25,808","41,561","30,129",0,"253,362","41,395","29,654","34,547","27,885","45,095","40,670","26,335","7,781","180,600","4,208","12,183","3,429","3,920","14,124",963,"41,675","11,109","14,594","9,057","10,462","15,992","19,422","7,152","12,310","188,322","63,853","10,278","10,056","17,043","6,123","11,055","31,371","9,355","7,521","8,928","9,471","3,268","193,762","16,958","8,501","4,868","11,173","7,493","17,497","8,568","21,360","10,162","25,840","12,930","6,419","41,993"
2021년07월_계_0~9세,"80,875","17,534","1,091","6,353",249,"4,209","1,953","2,255","1,424",0,"18,808","3,124","2,062","2,199","1,993","3,299","3,569","2,122",440,"13,292",104,"1,058",60,49,"2,097",47,"4,463",479,822,385,446,"1,199",996,383,704,"12,582","4,781",368,655,"1,113",148,536,"3,060",650,249,389,492,141,"18,659","1,417",312,169,991,533,"1,432",343,"2,330","1,036","3,354","1,795",483,"4,464"
2021년07월_계_10~19세,"98,399","19,363","1,802","3,889",374,"4,596","2,703","3,851","2,148",0,"26,017","5,183","2,665","2,516","3,282","4,683","3,956","2,989",743,"14,126",149,"1,038",137,135,"1,243",35,"3,996",684,"1,347",699,839,"1,309","1,155",424,936,"17,797","7,920",606,778,"1,242",313,828,"3,437",571,459,642,789,212,"21,096","1,818",632,277,992,765,"2,424",524,"2,245","1,204","3,277",985,682,"5,271"
2021년07월_계_20~29세,"127,826","28,585","2,233","3,758",625,"6,906","3,851","6,346","4,866",0,"37,858","5,491","4,570","6,250","4,106","6,417","6,001","4,029",994,"19,179",283,"1,060",245,221,"1,170",128,"5,039","1,709","1,555","1,075","1,150","1,539","1,974",668,"1,363","21,586","8,095",912,"1,116","1,789",549,"1,312","3,280","1,121",913,931,"1,263",305,"20,618","2,120",817,463,"1,133",771,"2,169","1,065","2,274","1,162","2,260","1,258",607,"4,519"
2021년07월_계_30~39세,"131,553","28,651","1,778","7,707",648,"6,948","3,621","4,238","3,711",0,"34,563","4,478","4,003","6,043","3,407","6,256","6,156","3,312",908,"21,382",271,"1,369",197,170,"2,322",102,"6,247","1,073","1,434",824,892,"1,987","2,214",838,"1,442","20,799","6,286",893,"1,331","2,305",532,"1,256","3,938","1,246",741,850,"1,038",383,"26,158","2,126",669,364,"1,456",783,"2,122",978,"3,103","1,270","3,747","2,436",708,"6,396"
2021년07월_계_40~49세,"167,183","34,182","3,092","7,473",776,"8,027","4,397","6,275","4,142",0,"41,169","7,261","4,609","5,263","4,689","7,534","6,375","4,221","1,217","26,614",384,"1,967",303,278,"2,530",111,"6,607","1,376","2,223","1,185","1,415","2,435","2,959","1,032","1,809","29,624","11,266","1,358","1,361","2,359",706,"1,562","5,585","1,317","1,057","1,177","1,366",510,"35,594","2,926","1,143",588,"1,731","1,244","3,406","1,295","3,772","1,715","5,104","2,124","1,082","9,464"
2021년07월_계_50~59세,"184,173","40,965","3,867","6,106","1,298","9,592","5,033","9,065","6,004",0,"51,234","8,275","6,049","6,582","5,925","9,008","8,140","5,840","1,415","29,470",732,"1,971",681,702,"1,900",155,"6,522","1,832","2,447","1,701","1,895","2,480","3,204","1,181","2,067","33,718","12,400","1,703","1,583","2,828","1,120","1,894","5,183","1,623","1,352","1,734","1,669",629,"28,786","2,186","1,375",839,"1,781","1,159","2,780","1,499","3,424","1,420","3,445","1,779","1,071","6,028"
2021년07월_계_60~69세,"148,833","31,361","3,311","5,191","1,675","6,825","2,965","6,268","5,126",0,"30,677","5,198","3,803","4,006","3,286","5,552","4,676","2,892","1,264","31,301","1,165","2,090",895,"1,009","1,765",220,"5,440","2,108","2,481","1,787","2,146","2,782","3,723","1,420","2,270","30,878","8,014","2,311","1,827","3,081","1,487","2,202","4,389","1,647","1,606","1,937","1,742",635,"24,616","2,142","1,577","1,029","1,792","1,201","2,052","1,672","2,688","1,324","2,997","1,509","1,000","3,633"
2021년07월_계_70~79세,"64,728","12,035","1,676","1,895",919,"2,495",902,"2,301","1,847",0,"8,777","1,664","1,290","1,156",773,"1,545","1,193",626,530,"16,832",709,"1,067",536,735,768,114,"2,385","1,217","1,519",900,"1,170","1,579","2,126",772,"1,235","15,040","3,456","1,446",984,"1,695",849,"1,073","1,786",847,857,914,815,318,"12,044","1,410","1,233",720,882,672,765,824,"1,023",684,"1,115",650,481,"1,585"
2021년07월_계_80~89세,"27,354","5,161",858,912,515,943,339,853,741,0,"3,697",631,523,456,356,706,528,264,233,"7,333",342,479,313,529,291,45,849,548,686,450,465,594,939,385,418,"5,668","1,491",610,366,575,380,352,627,296,267,315,269,120,"5,495",714,669,371,378,325,300,323,448,317,485,353,260,552
2021년07월_계_90~99세,"3,623",730,105,151,78,133,42,104,117,0,551,87,79,75,64,94,75,40,37,"1,049",68,83,61,90,38,6,125,83,75,50,42,85,131,47,65,610,142,64,55,55,35,40,86,35,19,39,27,13,683,96,73,47,37,39,45,44,52,29,55,40,45,81
2021년07월_계_100세 이상,88,22,2,5,2,3,2,5,3,0,11,3,1,1,4,1,1,0,0,22,1,1,1,2,0,0,2,0,5,1,2,3,1,2,1,20,2,7,0,1,4,0,0,2,1,0,1,2,13,3,1,1,0,1,2,1,1,1,1,1,0,0
2021년07월_남_총인구수,"524,211","111,364","10,093","21,892","3,626","25,665","13,215","21,173","15,700",0,"129,261","20,886","14,885","18,609","14,035","22,409","20,645","13,714","4,078","89,869","2,176","6,258","1,832","1,951","6,995",508,"20,744","5,476","7,079","4,394","5,148","7,939","9,629","3,635","6,105","94,325","32,117","5,088","4,953","8,510","3,107","5,563","15,478","4,745","3,768","4,459","4,714","1,823","99,392","8,791","4,205","2,461","5,659","3,693","8,956","4,538","10,670","4,996","12,920","6,587","3,288","22,628"
