카테고리,서울특별시 광진구,서울특별시 광진구 화양동,서울특별시 광진구 군자동,서울특별시 광진구 중곡제1동,서울특별시 광진구 중곡제2동,서울특별시 광진구 중곡제3동,서울특별시 광진구 중곡제4동,서울특별시 광진구 능동,서울특별시 광진구 광장동,서울특별시 광진구 자양제1동,서울특별시 광진구 자양제2동,서울특별시 광진구 자양제3동,서울특별시 광진구 자양제4동,서울특별시 광진구 구의제1동,서울특별시 광진구 구의제2동,서울특별시 광진구 구의제3동
2021년01월_계_총인구수,"346,067","22,694","19,894","15,761","21,916","16,626","29,275","11,599","35,388","22,717","25,567","28,676","17,751","22,036","26,904","29,263"
2021년01월_계_연령구간인구수,"346,067","22,694","19,894","15,761","21,916","16,626","29,275","11,599","35,388","22,717","25,567","28,676","17,751","22,036","26,904","29,263"
2021년01월_계_0~9세,"19,328",380,879,759,"1,201",759,"1,441",572,"3,258",998,"1,611","2,310",706,841,"1,760","1,853"
2021년01월_계_10~19세,"25,774",718,"1,027",752,"1,397",940,"1,924",548,"5,511","1,512","1,873","2,635",870,"1,165","2,356","2,546"
2021년01월_계_20~29세,"62,730","9,659","4,492","2,831","3,880","2,711","4,473","2,397","4,130","4,372","3,840","3,949","2,702","4,826","3,740","4,728"
2021년01월_계_30~39세,"55,902","4,404","3,632","2,996","3,942","2,728","4,386","2,658","3,791","3,763","3,902","4,324","2,624","4,266","3,848","4,638"
2021년01월_계_40~49세,"52,331","2,195","2,629","2,178","3,007","2,322","4,137","1,639","7,689","3,380","4,034","4,592","2,428","3,201","4,348","4,552"
2021년01월_계_50~59세,"54,458","2,078","2,887","2,523","3,559","2,911","5,302","1,416","5,492","3,608","4,276","4,680","3,108","3,180","4,552","4,886"
2021년01월_계_60~69세,"42,685","1,709","2,369","2,098","2,849","2,402","4,398","1,273","3,052","2,872","3,618","3,580","2,989","2,469","3,500","3,507"
2021년01월_계_70~79세,"22,415","1,049","1,361","1,172","1,497","1,286","2,304",745,"1,483","1,525","1,702","1,612","1,617","1,425","1,938","1,699"
2021년01월_계_80~89세,"8,932",413,539,389,501,489,773,299,822,592,601,853,608,584,744,725
2021년01월_계_90~99세,"1,296",66,69,54,74,64,110,46,150,81,97,128,82,63,94,118
2021년01월_계_100세 이상,216,23,10,9,9,14,27,6,10,14,13,13,17,16,24,11
2021년01월_남_총인구수,"166,964","10,766","9,814","7,655","10,363","8,252","14,339","5,325","17,091","10,913","12,450","13,770","8,859","10,521","12,950","13,896"
2021년01월_남_연령구간인구수,"166,964","10,766","9,814","7,655","10,363","8,252","14,339","5,325","17,091","10,913","12,450","13,770","8,859","10,521","12,950","13,896"
2021년01월_남_0~9세,"9,858",183,454,392,621,410,748,294,"1,700",487,830,"1,154",348,434,894,909
2021년01월_남_10~19세,"13,116",334,532,389,703,481,"1,042",287,"2,808",789,987,"1,304",426,576,"1,189","1,269"
2021년01월_남_20~29세,"29,387","4,136","2,117","1,287","1,729","1,342","2,249","1,013","2,049","2,051","1,894","1,946","1,323","2,211","1,833","2,207"
2021년01월_남_30~39세,"27,653","2,319","1,869","1,518","1,906","1,430","2,196","1,188","1,619","1,888","1,930","2,047","1,424","2,139","1,926","2,254"
2021년01월_남_40~49세,"25,816","1,221","1,378","1,120","1,480","1,192","2,099",827,"3,547","1,702","2,002","2,158","1,267","1,598","2,115","2,110"
2021년01월_남_50~59세,"26,568","1,099","1,451","1,230","1,670","1,433","2,518",653,"2,801","1,739","2,006","2,250","1,638","1,549","2,183","2,348"
2021년01월_남_60~69세,"20,315",802,"1,153","1,003","1,331","1,164","2,068",578,"1,512","1,339","1,750","1,778","1,435","1,130","1,602","1,670"
2021년01월_남_70~79세,"10,315",479,630,539,700,596,"1,077",336,661,653,803,748,743,642,900,808
2021년01월_남_80~89세,"3,512",167,216,164,205,185,309,129,345,236,219,333,228,221,278,277
2021년01월_남_90~99세,369,21,13,10,15,17,25,19,46,25,26,48,22,18,25,39
2021년01월_남_100세 이상,55,5,1,3,3,2,8,1,3,4,3,4,5,3,5,5
2021년01월_여_총인구수,"179,103","11,928","10,080","8,106","11,553","8,374","14,936","6,274","18,297","11,804","13,117","14,906","8,892","11,515","13,954","15,367"
2021년01월_여_연령구간인구수,"179,103","11,928","10,080","8,106","11,553","8,374","14,936","6,274","18,297","11,804","13,117","14,906","8,892","11,515","13,954","15,367"
2021년01월_여_0~9세,"9,470",197,425,367,580,349,693,278,"1,558",511,781,"1,156",358,407,866,944
2021년01월_여_10~19세,"12,658",384,495,363,694,459,882,261,"2,703",723,886,"1,331",444,589,"1,167","1,277"
2021년01월_여_20~29세,"33,343","5,523","2,375","1,544","2,151","1,369","2,224","1,384","2,081","2,321","1,946","2,003","1,379","2,615","1,907","2,521"
2021년01월_여_30~39세,"28,249","2,085","1,763","1,478","2,036","1,298","2,190","1,470","2,172","1,875","1,972","2,277","1,200","2,127","1,922","2,384"
2021년01월_여_40~49세,"26,515",974,"1,251","1,058","1,527","1,130","2,038",812,"4,142","1,678","2,032","2,434","1,161","1,603","2,233","2,442"
2021년01월_여_50~59세,"27,890",979,"1,436","1,293","1,889","1,478","2,784",763,"2,691","1,869","2,270","2,430","1,470","1,631","2,369","2,538"
