,부산광역시 강서구,부산광역시 강서구 대저1동,부산광역시 강서구 대저2동,부산광역시 강서구 강동동,부산광역시 강서구 명지1동,부산광역시 강서구 명지2동,부산광역시 강서구 가락동,부산광역시 강서구 녹산동,부산광역시 강서구 가덕도동
2020년11월_계_총인구수,"137,229","6,850","7,181","4,503","49,515","30,400","2,482","32,652","3,646"
2020년11월_계_연령구간인구수,"137,229","6,850","7,181","4,503","49,515","30,400","2,482","32,652","3,646"
2020년11월_계_0~9세,"20,113",178,517,85,"9,594","5,163",61,"4,407",108
2020년11월_계_10~19세,"11,607",303,473,144,"4,006","4,186",69,"2,282",144
2020년11월_계_20~29세,"12,254",669,835,350,"4,147","2,504",195,"3,260",294
2020년11월_계_30~39세,"27,263",591,883,360,"12,900","5,026",203,"6,980",320
2020년11월_계_40~49세,"23,412",715,891,373,"8,512","6,627",215,"5,662",417
2020년11월_계_50~59세,"16,892","1,282","1,118",947,"4,692","3,355",492,"4,247",759
2020년11월_계_60~69세,"15,737","1,658","1,359","1,298","3,777","2,389",624,"3,735",897
2020년11월_계_70~79세,"6,820","1,019",707,609,"1,340",828,408,"1,451",458
2020년11월_계_80~89세,"2,644",375,336,270,460,277,181,540,205
2020년11월_계_90~99세,441,57,56,53,78,44,31,83,39
2020년11월_계_100세 이상,46,3,6,14,9,1,3,5,5
2020년11월_남_총인구수,"70,896","3,782","4,007","2,393","24,833","15,110","1,325","17,531","1,915"
2020년11월_남_연령구간인구수,"70,896","3,782","4,007","2,393","24,833","15,110","1,325","17,531","1,915"
2020년11월_남_0~9세,"10,344",88,277,44,"4,852","2,671",30,"2,326",56
2020년11월_남_10~19세,"5,900",177,256,74,"1,957","2,119",45,"1,201",71
2020년11월_남_20~29세,"6,583",401,546,223,"2,019","1,280",117,"1,822",175
2020년11월_남_30~39세,"13,888",338,512,215,"6,399","2,263",118,"3,847",196
2020년11월_남_40~49세,"13,086",433,544,231,"4,705","3,399",142,"3,377",255
2020년11월_남_50~59세,"8,656",747,644,509,"2,200","1,702",269,"2,194",391
2020년11월_남_60~69세,"8,033",921,739,706,"1,831","1,157",332,"1,887",460
2020년11월_남_70~79세,"3,417",525,360,284,699,407,207,698,237
2020년11월_남_80~89세,897,142,119,92,158,98,58,164,66
2020년11월_남_90~99세,79,9,8,10,10,13,7,14,8
2020년11월_남_100세 이상,13,1,2,5,3,1,0,1,0
2020년11월_여_총인구수,"66,333","3,068","3,174","2,110","24,682","15,290","1,157","15,121","1,731"
2020년11월_여_연령구간인구수,"66,333","3,068","3,174","2,110","24,682","15,290","1,157","15,121","1,731"
2020년11월_여_0~9세,"9,769",90,240,41,"4,742","2,492",31,"2,081",52
2020년11월_여_10~19세,"5,707",126,217,70,"2,049","2,067",24,"1,081",73
2020년11월_여_20~29세,"5,671",268,289,127,"2,128","1,224",78,"1,438",119
2020년11월_여_30~39세,"13,375",253,371,145,"6,501","2,763",85,"3,133",124
2020년11월_여_40~49세,"10,326",282,347,142,"3,807","3,228",73,"2,285",162
2020년11월_여_50~59세,"8,236",535,474,438,"2,492","1,653",223,"2,053",368
2020년11월_여_60~69세,"7,704",737,620,592,"1,946","1,232",292,"1,848",437
2020년11월_여_70~79세,"3,403",494,347,325,641,421,201,753,221
2020년11월_여_80~89세,"1,747",233,217,178,302,179,123,376,139
2020년11월_여_90~99세,362,48,48,43,68,31,24,69,31
2020년11월_여_100세 이상,33,2,4,9,6,0,3,4,5
