,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년10월_계_총인구수,"158,834","6,406","4,114","3,052","3,587","6,599","2,796","1,804","2,111","2,890","2,717","1,753","1,883","1,639","1,773","5,096","5,067","22,278","9,234","13,439","6,407","6,335","21,917","15,529","10,408"
2020년10월_계_연령구간인구수,"158,834","6,406","4,114","3,052","3,587","6,599","2,796","1,804","2,111","2,890","2,717","1,753","1,883","1,639","1,773","5,096","5,067","22,278","9,234","13,439","6,407","6,335","21,917","15,529","10,408"
2020년10월_계_0~9세,"10,736",194,97,69,84,403,50,36,54,61,46,30,44,26,31,250,313,"1,917",667,933,393,356,"2,074","1,485","1,123"
2020년10월_계_10~19세,"13,821",285,210,91,146,368,128,66,82,114,73,48,54,48,72,340,416,"2,374",884,980,547,602,"2,634","1,708","1,551"
2020년10월_계_20~29세,"16,651",461,309,155,316,883,144,79,164,191,130,80,84,68,66,523,541,"2,969",850,"1,455",654,689,"2,741","1,843","1,256"
2020년10월_계_30~39세,"15,521",372,201,167,215,960,116,82,135,152,123,61,85,65,72,500,437,"2,570",844,"1,577",613,573,"2,519","1,957","1,125"
2020년10월_계_40~49세,"22,412",586,340,324,364,776,253,163,171,279,181,149,117,120,143,638,723,"3,581","1,409","1,873",916,901,"3,799","2,523","2,083"
2020년10월_계_50~59세,"26,560","1,113",696,557,605,941,456,295,443,529,517,314,384,292,295,845,952,"3,511","1,473","2,285","1,052","1,202","3,595","2,660","1,548"
2020년10월_계_60~69세,"25,347","1,394",888,646,856,965,624,386,467,695,683,456,477,432,459,918,829,"2,750","1,491","2,216","1,158","1,130","2,582","1,917",928
2020년10월_계_70~79세,"16,675","1,111",748,559,543,763,566,367,327,484,559,349,363,340,360,698,554,"1,633","1,014","1,402",693,619,"1,232",884,507
2020년10월_계_80~89세,"9,600",769,541,416,380,467,392,279,229,320,360,237,248,211,247,325,267,850,527,633,322,228,638,471,243
2020년10월_계_90~99세,"1,447",114,80,67,78,69,64,50,39,63,44,24,25,37,27,57,35,117,70,78,57,35,100,76,41
2020년10월_계_100세 이상,64,7,4,1,0,4,3,1,0,2,1,5,2,0,1,2,0,6,5,7,2,0,3,5,3
2020년10월_남_총인구수,"78,669","3,238","2,123","1,606","1,881","3,395","1,355",899,"1,077","1,507","1,368",896,975,855,921,"2,492","2,461","11,047","4,460","6,674","3,116","3,147","10,449","7,569","5,158"
2020년10월_남_연령구간인구수,"78,669","3,238","2,123","1,606","1,881","3,395","1,355",899,"1,077","1,507","1,368",896,975,855,921,"2,492","2,461","11,047","4,460","6,674","3,116","3,147","10,449","7,569","5,158"
2020년10월_남_0~9세,"5,645",101,52,38,39,204,25,19,28,27,17,19,25,13,21,138,176,"1,010",362,474,195,192,"1,081",796,593
2020년10월_남_10~19세,"7,244",157,128,55,92,192,81,40,39,58,39,23,35,28,33,180,201,"1,231",454,531,293,310,"1,350",875,819
2020년10월_남_20~29세,"9,119",271,178,108,175,480,84,47,101,114,73,48,55,41,38,297,294,"1,664",457,809,373,375,"1,392",995,650
2020년10월_남_30~39세,"8,060",216,112,107,134,537,65,55,79,90,74,39,52,43,48,239,216,"1,294",420,838,335,318,"1,232",991,526
2020년10월_남_40~49세,"11,662",362,215,217,225,443,155,108,109,180,132,97,80,87,94,358,384,"1,792",713,984,467,452,"1,816","1,207",985
