,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년12월_계_총인구수,"90,081","30,710","3,754","20,007","4,951","5,118","3,344","3,086","12,817","3,491","2,803"
2021년12월_계_연령구간인구수,"90,081","30,710","3,754","20,007","4,951","5,118","3,344","3,086","12,817","3,491","2,803"
2021년12월_계_0~9세,"6,272","2,596",122,"1,501",164,293,86,94,"1,195",151,70
2021년12월_계_10~19세,"8,535","3,214",213,"2,513",331,426,155,159,"1,174",183,167
2021년12월_계_20~29세,"9,361","3,455",513,"2,385",429,456,250,180,"1,240",244,209
2021년12월_계_30~39세,"8,677","3,461",268,"1,948",319,416,184,161,"1,509",240,171
2021년12월_계_40~49세,"14,228","5,109",462,"3,727",639,717,395,378,"2,069",426,306
2021년12월_계_50~59세,"15,731","5,143",648,"3,682",895,925,555,515,"2,199",603,566
2021년12월_계_60~69세,"14,679","4,725",754,"2,437","1,107",942,790,692,"1,866",755,611
2021년12월_계_70~79세,"7,994","1,993",442,"1,177",713,639,585,562,948,518,417
2021년12월_계_80~89세,"4,008",870,283,564,312,283,299,319,521,317,240
2021년12월_계_90~99세,584,144,47,73,40,19,44,25,94,53,45
2021년12월_계_100세 이상,12,0,2,0,2,2,1,1,2,1,1
2021년12월_남_총인구수,"45,795","15,291","2,050","10,386","2,403","2,586","1,702","1,538","6,607","1,764","1,468"
2021년12월_남_연령구간인구수,"45,795","15,291","2,050","10,386","2,403","2,586","1,702","1,538","6,607","1,764","1,468"
2021년12월_남_0~9세,"3,229","1,341",57,775,87,151,46,52,614,73,33
2021년12월_남_10~19세,"4,449","1,618",122,"1,350",179,225,75,86,611,95,88
2021년12월_남_20~29세,"5,520","1,982",349,"1,435",235,253,154,101,725,153,133
2021년12월_남_30~39세,"4,680","1,853",164,"1,035",162,218,122,90,790,136,110
2021년12월_남_40~49세,"7,413","2,522",280,"1,857",356,413,236,223,"1,085",254,187
2021년12월_남_50~59세,"8,191","2,460",366,"1,954",450,494,309,301,"1,192",323,342
2021년12월_남_60~69세,"7,096","2,228",380,"1,197",512,438,379,325,940,381,316
2021년12월_남_70~79세,"3,624",951,209,541,308,279,265,224,444,231,172
2021년12월_남_80~89세,"1,476",305,111,228,109,109,104,128,194,111,77
2021년12월_남_90~99세,116,31,12,14,5,5,12,8,12,7,10
2021년12월_남_100세 이상,1,0,0,0,0,1,0,0,0,0,0
2021년12월_여_총인구수,"44,286","15,419","1,704","9,621","2,548","2,532","1,642","1,548","6,210","1,727","1,335"
2021년12월_여_연령구간인구수,"44,286","15,419","1,704","9,621","2,548","2,532","1,642","1,548","6,210","1,727","1,335"
2021년12월_여_0~9세,"3,043","1,255",65,726,77,142,40,42,581,78,37
2021년12월_여_10~19세,"4,086","1,596",91,"1,163",152,201,80,73,563,88,79
2021년12월_여_20~29세,"3,841","1,473",164,950,194,203,96,79,515,91,76
2021년12월_여_30~39세,"3,997","1,608",104,913,157,198,62,71,719,104,61
2021년12월_여_40~49세,"6,815","2,587",182,"1,870",283,304,159,155,984,172,119
2021년12월_여_50~59세,"7,540","2,683",282,"1,728",445,431,246,214,"1,007",280,224
2021년12월_여_60~69세,"7,583","2,497",374,"1,240",595,504,411,367,926,374,295
2021년12월_여_70~79세,"4,370","1,042",233,636,405,360,320,338,504,287,245
2021년12월_여_80~89세,"2,532",565,172,336,203,174,195,191,327,206,163
2021년12월_여_90~99세,468,113,35,59,35,14,32,17,82,46,35
2021년12월_여_100세 이상,11,0,2,0,2,1,1,1,2,1,1
