카테고리,충청북도 옥천군,충청북도 옥천군 옥천읍,충청북도 옥천군 동이면,충청북도 옥천군 안남면,충청북도 옥천군 안내면,충청북도 옥천군 청성면,충청북도 옥천군 청산면,충청북도 옥천군 이원면,충청북도 옥천군 군서면,충청북도 옥천군 군북면
2021년12월_계_총인구수,"50,093","29,064","3,213","1,397","1,906","2,353","2,968","4,048","2,183","2,961"
2021년12월_계_연령구간인구수,"50,093","29,064","3,213","1,397","1,906","2,353","2,968","4,048","2,183","2,961"
2021년12월_계_0~9세,"2,397","1,987",80,39,36,36,40,81,40,58
2021년12월_계_10~19세,"3,763","2,979",117,66,63,60,139,164,72,103
2021년12월_계_20~29세,"4,111","3,046",204,48,86,79,118,234,123,173
2021년12월_계_30~39세,"3,681","2,684",167,66,70,78,100,228,118,170
2021년12월_계_40~49세,"6,025","4,425",274,91,148,128,211,343,157,248
2021년12월_계_50~59세,"8,818","5,037",610,252,312,419,467,730,393,598
2021년12월_계_60~69세,"10,447","4,635",874,370,545,691,853,"1,041",592,846
2021년12월_계_70~79세,"6,362","2,739",495,251,338,429,580,699,383,448
2021년12월_계_80~89세,"3,865","1,328",330,174,271,371,406,449,266,270
2021년12월_계_90~99세,611,201,61,40,36,59,52,79,38,45
2021년12월_계_100세 이상,13,3,1,0,1,3,2,0,1,2
2021년12월_남_총인구수,"25,242","14,541","1,647",698,975,"1,175","1,434","2,083","1,140","1,549"
2021년12월_남_연령구간인구수,"25,242","14,541","1,647",698,975,"1,175","1,434","2,083","1,140","1,549"
2021년12월_남_0~9세,"1,235","1,024",42,21,20,16,15,39,26,32
2021년12월_남_10~19세,"2,003","1,586",61,35,31,33,75,91,35,56
2021년12월_남_20~29세,"2,337","1,690",128,31,53,53,69,135,72,106
2021년12월_남_30~39세,"1,899","1,339",91,40,39,36,53,138,65,98
2021년12월_남_40~49세,"3,238","2,253",156,56,95,83,126,230,102,137
2021년12월_남_50~59세,"4,747","2,643",334,134,183,231,268,400,222,332
2021년12월_남_60~69세,"5,341","2,246",471,196,286,386,430,547,323,456
2021년12월_남_70~79세,"2,980","1,224",241,124,171,204,266,346,190,214
2021년12월_남_80~89세,"1,315",496,106,52,86,113,119,138,97,108
2021년12월_남_90~99세,146,40,17,9,11,20,13,19,7,10
2021년12월_남_100세 이상,1,0,0,0,0,0,0,0,1,0
2021년12월_여_총인구수,"24,851","14,523","1,566",699,931,"1,178","1,534","1,965","1,043","1,412"
2021년12월_여_연령구간인구수,"24,851","14,523","1,566",699,931,"1,178","1,534","1,965","1,043","1,412"
2021년12월_여_0~9세,"1,162",963,38,18,16,20,25,42,14,26
2021년12월_여_10~19세,"1,760","1,393",56,31,32,27,64,73,37,47
2021년12월_여_20~29세,"1,774","1,356",76,17,33,26,49,99,51,67
2021년12월_여_30~39세,"1,782","1,345",76,26,31,42,47,90,53,72
2021년12월_여_40~49세,"2,787","2,172",118,35,53,45,85,113,55,111
2021년12월_여_50~59세,"4,071","2,394",276,118,129,188,199,330,171,266
2021년12월_여_60~69세,"5,106","2,389",403,174,259,305,423,494,269,390
2021년12월_여_70~79세,"3,382","1,515",254,127,167,225,314,353,193,234
2021년12월_여_80~89세,"2,550",832,224,122,185,258,287,311,169,162
2021년12월_여_90~99세,465,161,44,31,25,39,39,60,31,35
2021년12월_여_100세 이상,12,3,1,0,1,3,2,0,0,2
