카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년12월_계_총인구수,"82,450","2,665","2,497","2,553","3,593","3,856","1,343","2,541","1,785","1,810","2,654","4,992","2,237","1,898","4,621","1,359","11,241","12,649","11,557","6,599"
2020년12월_계_연령구간인구수,"82,450","2,665","2,497","2,553","3,593","3,856","1,343","2,541","1,785","1,810","2,654","4,992","2,237","1,898","4,621","1,359","11,241","12,649","11,557","6,599"
2020년12월_계_0~9세,"4,307",97,61,72,94,123,43,70,50,50,43,179,66,40,138,45,755,886,"1,041",454
2020년12월_계_10~19세,"6,166",126,106,112,165,213,62,128,80,67,107,302,96,68,197,61,"1,032","1,345","1,406",493
2020년12월_계_20~29세,"7,231",158,121,158,265,270,92,186,91,110,124,425,127,146,328,84,"1,310","1,360","1,298",578
2020년12월_계_30~39세,"6,645",168,131,171,213,271,84,170,106,112,151,325,128,94,288,80,"1,123","1,200","1,190",640
2020년12월_계_40~49세,"9,991",259,216,250,342,412,109,218,180,179,235,565,183,175,433,142,"1,559","1,867","1,889",778
2020년12월_계_50~59세,"13,704",438,364,442,588,668,198,442,266,275,393,941,330,348,866,213,"1,876","2,136","1,833","1,087"
2020년12월_계_60~69세,"14,562",637,588,538,783,774,292,555,392,391,570,989,488,402,973,267,"1,720","1,720","1,418","1,065"
2020년12월_계_70~79세,"11,402",415,493,479,636,645,252,414,332,360,580,774,432,341,799,281,"1,119","1,276",891,883
2020년12월_계_80~89세,"7,166",309,360,279,418,408,180,308,242,222,381,427,343,250,497,158,622,752,497,513
2020년12월_계_90~99세,"1,200",57,52,45,84,71,29,48,44,41,69,63,43,32,90,28,116,106,93,89
2020년12월_계_100세 이상,76,1,5,7,5,1,2,2,2,3,1,2,1,2,12,0,9,1,1,19
2020년12월_남_총인구수,"40,844","1,352","1,238","1,337","1,813","1,899",639,"1,303",891,911,"1,274","2,546","1,098",964,"2,320",703,"5,502","6,160","5,602","3,292"
2020년12월_남_연령구간인구수,"40,844","1,352","1,238","1,337","1,813","1,899",639,"1,303",891,911,"1,274","2,546","1,098",964,"2,320",703,"5,502","6,160","5,602","3,292"
2020년12월_남_0~9세,"2,228",59,36,40,43,65,21,37,31,22,21,90,39,20,66,24,388,458,529,239
2020년12월_남_10~19세,"3,165",75,61,64,91,99,38,64,44,40,52,162,49,39,111,28,492,701,704,251
2020년12월_남_20~29세,"4,034",101,76,91,143,142,53,112,58,65,78,238,75,81,188,55,706,739,699,334
2020년12월_남_30~39세,"3,539",101,76,111,125,150,49,96,59,65,91,182,78,61,170,49,569,611,578,318
2020년12월_남_40~49세,"5,609",154,139,159,227,255,72,141,115,118,157,340,128,120,266,101,814,939,932,432
2020년12월_남_50~59세,"7,446",237,216,274,321,362,108,258,148,160,224,529,187,199,489,126,960,"1,078",965,605
2020년12월_남_60~69세,"7,294",335,294,279,423,394,137,299,190,212,286,503,242,214,501,134,809,825,680,537
2020년12월_남_70~79세,"4,983",192,226,220,288,289,102,190,149,154,229,344,179,148,345,121,514,539,361,393
2020년12월_남_80~89세,"2,261",85,106,90,126,118,53,91,86,67,128,137,115,73,158,55,217,243,144,169
2020년12월_남_90~99세,270,13,6,8,24,24,6,15,10,8,7,21,6,9,26,10,28,27,10,12
2020년12월_남_100세 이상,15,0,2,1,2,1,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2020년12월_여_총인구수,"41,606","1,313","1,259","1,216","1,780","1,957",704,"1,238",894,899,"1,380","2,446","1,139",934,"2,301",656,"5,739","6,489","5,955","3,307"
2020년12월_여_연령구간인구수,"41,606","1,313","1,259","1,216","1,780","1,957",704,"1,238",894,899,"1,380","2,446","1,139",934,"2,301",656,"5,739","6,489","5,955","3,307"
2020년12월_여_0~9세,"2,079",38,25,32,51,58,22,33,19,28,22,89,27,20,72,21,367,428,512,215
2020년12월_여_10~19세,"3,001",51,45,48,74,114,24,64,36,27,55,140,47,29,86,33,540,644,702,242
2020년12월_여_20~29세,"3,197",57,45,67,122,128,39,74,33,45,46,187,52,65,140,29,604,621,599,244
2020년12월_여_30~39세,"3,106",67,55,60,88,121,35,74,47,47,60,143,50,33,118,31,554,589,612,322
2020년12월_여_40~49세,"4,382",105,77,91,115,157,37,77,65,61,78,225,55,55,167,41,745,928,957,346
2020년12월_여_50~59세,"6,258",201,148,168,267,306,90,184,118,115,169,412,143,149,377,87,916,"1,058",868,482
2020년12월_여_60~69세,"7,268",302,294,259,360,380,155,256,202,179,284,486,246,188,472,133,911,895,738,528
2020년12월_여_70~79세,"6,419",223,267,259,348,356,150,224,183,206,351,430,253,193,454,160,605,737,530,490
2020년12월_여_80~89세,"4,905",224,254,189,292,290,127,217,156,155,253,290,228,177,339,103,405,509,353,344
2020년12월_여_90~99세,930,44,46,37,60,47,23,33,34,33,62,42,37,23,64,18,88,79,83,77
2020년12월_여_100세 이상,61,1,3,6,3,0,2,2,1,3,0,2,1,2,12,0,4,1,1,17
