,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020년04월_계_80~89세,"23,030","6,068",235,547,359,440,457,335,422,447,414,699,285,879,549,"5,962",495,388,418,433,432,577,504,706,583,590,836,"5,743",661,455,545,530,616,443,843,242,454,687,267,"5,257",810,"1,042",483,649,441,475,952,405
2020년04월_계_90~99세,"3,245",937,40,102,45,61,76,36,68,74,53,100,39,150,93,828,65,56,52,63,51,76,69,94,75,87,140,765,95,53,70,79,84,53,106,23,70,108,24,715,125,155,67,58,54,52,139,65
2020년04월_계_100세 이상,188,55,2,8,1,6,4,4,6,4,1,5,2,6,6,52,3,4,9,6,5,6,3,2,6,2,6,38,5,6,5,5,4,2,4,0,3,2,2,43,10,4,8,4,4,3,8,2
2020년04월_남_총인구수,"423,544","90,664","1,189","2,611","2,050","3,567","2,139","2,918","3,632","4,566","5,539","14,911","6,806","24,487","16,249","99,428","5,348","1,784","4,141","7,188","7,514","7,607","13,660","15,572","7,118","6,903","22,593","133,876","10,593","5,555","9,138","8,864","26,289","8,379","25,117","5,289","13,147","14,384","7,121","99,576","10,239","36,496","2,501","6,333","4,535","6,137","24,218","9,117"
2020년04월_남_연령구간인구수,"423,544","90,664","1,189","2,611","2,050","3,567","2,139","2,918","3,632","4,566","5,539","14,911","6,806","24,487","16,249","99,428","5,348","1,784","4,141","7,188","7,514","7,607","13,660","15,572","7,118","6,903","22,593","133,876","10,593","5,555","9,138","8,864","26,289","8,379","25,117","5,289","13,147","14,384","7,121","99,576","10,239","36,496","2,501","6,333","4,535","6,137","24,218","9,117"
2020년04월_남_0~9세,"38,839","7,854",24,58,58,235,62,130,144,246,378,"1,329",831,"2,524","1,835","7,673",314,50,163,747,385,396,"1,274","1,438",338,386,"2,182","12,539","1,134",350,"1,151",533,"3,144",361,"2,262",290,948,"1,110","1,256","10,773",840,"5,290",51,283,190,391,"2,369","1,359"
2020년04월_남_10~19세,"45,544","10,131",31,124,68,222,105,245,214,358,500,"1,990","1,014","3,214","2,046","11,206",398,80,302,702,532,556,"2,214","2,327",559,613,"2,923","14,037","1,077",554,703,835,"3,558",618,"3,404",310,"1,246","1,259",473,"10,170","1,041","3,807",102,377,321,487,"2,887","1,148"
2020년04월_남_20~29세,"64,823","12,631",102,207,194,445,195,444,542,646,739,"2,110",866,"3,690","2,451","15,732",688,116,530,981,"1,744","1,324","1,994","2,529","1,193","1,024","3,609","22,108","1,294",780,"1,087","1,424","4,045","1,955","4,071","1,113","2,415","2,776","1,148","14,352","1,412","4,949",232,"1,122",662,"1,013","3,997",965
2020년04월_남_30~39세,"62,274","10,921",79,188,147,401,160,323,431,509,709,"1,693",788,"3,291","2,202","12,310",621,145,443,974,"1,164",929,"1,639","1,776",785,733,"3,101","21,596","1,721",631,"1,906","1,124","4,385","1,089","3,031",953,"2,391","2,493","1,872","17,447","1,189","8,617",202,881,535,762,"3,710","1,551"
2020년04월_남_40~49세,"69,115","14,625",118,265,231,454,274,417,507,666,878,"2,619","1,235","4,230","2,731","15,799",668,225,607,"1,073","1,009","1,059","2,522","2,735","1,012",919,"3,970","21,942","1,973",840,"1,334","1,311","5,032","1,105","4,128",774,"2,186","2,259","1,000","16,749","1,707","6,525",297,911,668,981,"3,881","1,779"
2020년04월_남_50~59세,"68,652","15,949",249,532,506,708,448,495,643,841,954,"2,578","1,109","4,089","2,797","17,264","1,181",370,851,"1,162","1,071","1,373","2,322","2,781","1,318","1,384","3,451","21,369","1,536","1,092","1,388","1,779","3,698","1,455","4,530",853,"2,079","2,258",701,"14,070","1,879","3,845",557,"1,098",818,"1,006","3,742","1,125"
2020년04월_남_60~69세,"45,194","11,002",323,650,471,651,439,444,602,695,811,"1,526",567,"2,347","1,476","11,734",910,397,720,956,870,"1,179","1,055","1,241","1,059","1,153","2,194","12,874","1,046",757,943,"1,176","1,612","1,102","2,529",640,"1,228","1,422",419,"9,584","1,249","2,188",567,898,724,819,"2,427",712
2020년04월_남_70~79세,"20,684","5,284",169,369,254,285,277,288,357,428,410,807,290,824,526,"5,471",390,263,352,432,549,566,447,501,623,485,863,"5,373",583,395,437,498,590,539,852,264,480,571,164,"4,556",652,940,305,511,440,484,887,337
2020년04월_남_80~89세,"7,711","2,034",85,185,112,146,156,126,169,162,148,236,98,253,158,"2,064",159,129,154,154,177,205,181,230,221,185,269,"1,889",207,148,175,170,209,143,288,87,162,218,82,"1,724",240,308,166,239,168,182,292,129
2020년04월_남_90~99세,659,223,9,33,9,18,22,6,22,15,12,22,8,23,24,159,18,8,14,6,12,18,12,14,9,20,28,142,19,6,12,14,16,12,22,5,12,18,6,135,26,26,19,12,7,10,23,12
2020년04월_남_100세 이상,49,10,0,0,0,2,1,0,1,0,0,1,0,2,3,16,1,1,5,1,1,2,0,0,1,1,3,7,3,2,2,0,0,0,0,0,0,0,0,16,4,1,3,1,2,2,3,0
2020년04월_여_총인구수,"417,394","91,422","1,089","2,507","1,946","3,446","1,997","2,977","3,497","4,704","5,682","15,601","7,021","24,195","16,760","100,847","4,931","1,677","4,005","7,599","7,642","7,612","13,702","16,268","6,996","7,018","23,397","130,294","10,825","5,347","8,637","8,897","25,434","8,075","26,216","4,674","11,683","14,096","6,410","94,831","9,670","32,225","2,216","6,252","4,392","5,687","24,934","9,455"
2020년04월_여_연령구간인구수,"417,394","91,422","1,089","2,507","1,946","3,446","1,997","2,977","3,497","4,704","5,682","15,601","7,021","24,195","16,760","100,847","4,931","1,677","4,005","7,599","7,642","7,612","13,702","16,268","6,996","7,018","23,397","130,294","10,825","5,347","8,637","8,897","25,434","8,075","26,216","4,674","11,683","14,096","6,410","94,831","9,670","32,225","2,216","6,252","4,392","5,687","24,934","9,455"
2020년04월_여_0~9세,"37,326","7,578",18,54,46,226,60,112,106,217,375,"1,303",801,"2,386","1,874","7,431",346,56,187,733,377,381,"1,279","1,359",298,381,"2,034","12,107","1,119",384,"1,122",492,"3,050",352,"2,101",276,950,"1,048","1,213","10,210",793,"5,008",55,289,190,355,"2,237","1,283"
2020년04월_여_10~19세,"41,841","9,303",30,105,64,224,102,208,207,369,496,"1,910",966,"2,799","1,823","10,189",295,56,294,724,515,541,"2,026","2,072",494,538,"2,634","12,917","1,040",515,578,789,"3,163",567,"3,202",299,"1,194","1,166",404,"9,432",944,"3,491",100,403,292,459,"2,618","1,125"
2020년04월_여_20~29세,"54,199","10,635",77,150,141,331,132,376,443,496,657,"1,889",752,"3,028","2,163","13,294",508,89,441,874,"1,637","1,076","1,683","2,172",917,788,"3,109","18,765","1,390",662,954,"1,231","3,417","1,440","3,543",931,"1,887","2,453",857,"11,505",984,"3,687",146,964,486,735,"3,546",957
2020년04월_여_30~39세,"57,218","10,638",57,99,110,327,104,294,311,408,607,"1,720",879,"3,353","2,369","11,794",511,94,378,"1,072",925,757,"1,701","1,884",639,627,"3,206","19,594","1,815",550,"1,661",911,"4,304",807,"3,211",699,"1,714","2,243","1,679","15,192","1,066","7,151",105,673,379,540,"3,569","1,709"
2020년04월_여_40~49세,"67,577","14,727",69,169,152,390,164,381,399,636,784,"2,851","1,375","4,407","2,950","16,291",652,142,492,"1,057",941,916,"2,827","3,232",902,871,"4,259","21,357","1,749",738,"1,132","1,318","5,095","1,041","4,797",611,"1,872","2,198",806,"15,202","1,500","5,570",152,711,540,804,"4,267","1,658"
2020년04월_여_50~59세,"68,445","15,814",221,466,405,668,347,523,594,868,997,"2,601","1,043","4,097","2,984","17,833","1,053",266,782,"1,318","1,204","1,497","2,197","2,822","1,370","1,482","3,842","21,316","1,397","1,000","1,315","1,904","3,468","1,609","4,986",757,"2,019","2,233",628,"13,482","1,659","3,194",390,"1,044",792,"1,025","4,223","1,155"
2020년04월_여_60~69세,"46,981","11,216",250,570,424,594,397,477,686,822,866,"1,772",622,"2,278","1,458","12,541",771,373,664,"1,005","1,106","1,288","1,070","1,352","1,205","1,139","2,568","13,275","1,115",737,931,"1,239","1,694","1,246","2,674",604,"1,180","1,468",387,"9,949","1,222","2,184",488,993,864,849,"2,554",795
2020년04월_여_70~79세,"25,763","6,718",184,455,320,345,333,363,447,540,592,"1,010",363,"1,090",676,"6,871",410,291,461,475,639,722,536,817,738,719,"1,063","6,455",668,403,513,583,764,670,"1,059",324,514,726,231,"5,719",827,"1,074",410,716,527,584,"1,139",442
2020년04월_여_80~89세,"15,319","4,034",150,362,247,294,301,209,253,285,266,463,187,626,391,"3,898",336,259,264,279,255,372,323,476,362,405,567,"3,854",454,307,370,360,407,300,555,155,292,469,185,"3,533",570,734,317,410,273,293,660,276
2020년04월_여_90~99세,"2,586",714,31,69,36,43,54,30,46,59,41,78,31,127,69,669,47,48,38,57,39,58,57,80,66,67,112,623,76,47,58,65,68,41,84,18,58,90,18,580,99,129,48,46,47,42,116,53
2020년04월_여_100세 이상,139,45,2,8,1,4,3,4,5,4,1,4,2,4,3,36,2,3,4,5,4,4,3,2,5,1,3,31,2,4,3,5,4,2,4,0,3,2,2,27,6,3,5,3,2,1,5,2
