,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년05월_계_총인구수,"46,276","20,852","4,483","2,960","5,843","2,368","2,432","3,500","2,112","1,726"
2020년05월_계_연령구간인구수,"46,276","20,852","4,483","2,960","5,843","2,368","2,432","3,500","2,112","1,726"
2020년05월_계_0~9세,"2,239","1,513",131,66,261,42,39,82,68,37
2020년05월_계_10~19세,"3,504","2,057",218,428,381,85,68,124,72,71
2020년05월_계_20~29세,"3,900","2,303",372,135,404,123,139,217,122,85
2020년05월_계_30~39세,"3,554","2,115",254,128,445,123,88,193,132,76
2020년05월_계_40~49세,"5,175","2,999",430,185,651,176,173,272,154,135
2020년05월_계_50~59세,"8,855","3,651",910,571,"1,225",461,532,742,411,352
2020년05월_계_60~69세,"9,764","3,154","1,080",750,"1,314",694,722,925,616,509
2020년05월_계_70~79세,"5,621","1,831",662,423,723,396,402,554,306,324
2020년05월_계_80~89세,"3,131","1,031",367,231,384,231,231,333,196,127
2020년05월_계_90~99세,503,189,54,39,53,33,36,55,34,10
2020년05월_계_100세 이상,30,9,5,4,2,4,2,3,1,0
2020년05월_남_총인구수,"23,699","10,480","2,343","1,522","3,056","1,218","1,237","1,815","1,123",905
2020년05월_남_연령구간인구수,"23,699","10,480","2,343","1,522","3,056","1,218","1,237","1,815","1,123",905
2020년05월_남_0~9세,"1,173",788,69,35,139,23,17,40,41,21
2020년05월_남_10~19세,"1,829","1,060",117,222,209,37,43,64,34,43
2020년05월_남_20~29세,"2,209","1,248",237,84,232,64,78,133,72,61
2020년05월_남_30~39세,"1,876","1,071",134,61,256,68,47,115,81,43
2020년05월_남_40~49세,"2,875","1,616",247,104,362,104,101,172,91,78
2020년05월_남_50~59세,"4,681","1,906",488,303,658,234,280,397,226,189
2020년05월_남_60~69세,"5,080","1,589",574,403,682,375,389,484,334,250
2020년05월_남_70~79세,"2,712",783,335,217,360,208,205,284,158,162
2020년05월_남_80~89세,"1,135",365,130,85,149,96,68,113,75,54
2020년05월_남_90~99세,118,51,12,7,9,7,8,10,10,4
2020년05월_남_100세 이상,11,3,0,1,0,2,1,3,1,0
2020년05월_여_총인구수,"22,577","10,372","2,140","1,438","2,787","1,150","1,195","1,685",989,821
2020년05월_여_연령구간인구수,"22,577","10,372","2,140","1,438","2,787","1,150","1,195","1,685",989,821
2020년05월_여_0~9세,"1,066",725,62,31,122,19,22,42,27,16
2020년05월_여_10~19세,"1,675",997,101,206,172,48,25,60,38,28
2020년05월_여_20~29세,"1,691","1,055",135,51,172,59,61,84,50,24
2020년05월_여_30~39세,"1,678","1,044",120,67,189,55,41,78,51,33
2020년05월_여_40~49세,"2,300","1,383",183,81,289,72,72,100,63,57
2020년05월_여_50~59세,"4,174","1,745",422,268,567,227,252,345,185,163
2020년05월_여_60~69세,"4,684","1,565",506,347,632,319,333,441,282,259
2020년05월_여_70~79세,"2,909","1,048",327,206,363,188,197,270,148,162
2020년05월_여_80~89세,"1,996",666,237,146,235,135,163,220,121,73
2020년05월_여_90~99세,385,138,42,32,44,26,28,45,24,6
2020년05월_여_100세 이상,19,6,5,3,2,2,1,0,0,0
