,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2021년07월_계_총인구수,"27,835","7,823","1,869","1,669","2,323","1,331","1,901","1,158","4,198","2,452","1,684","1,427"
2021년07월_계_연령구간인구수,"27,835","7,823","1,869","1,669","2,323","1,331","1,901","1,158","4,198","2,452","1,684","1,427"
2021년07월_계_0~9세,"1,014",454,53,28,66,19,42,30,189,60,40,33
2021년07월_계_10~19세,"1,926",647,127,81,120,38,87,43,445,202,82,54
2021년07월_계_20~29세,"2,270",745,110,103,144,70,125,81,471,210,99,112
2021년07월_계_30~39세,"1,653",630,99,61,108,63,79,47,313,92,94,67
2021년07월_계_40~49세,"2,941","1,036",170,143,199,96,155,74,497,312,150,109
2021년07월_계_50~59세,"4,812","1,285",289,281,426,239,346,197,728,459,292,270
2021년07월_계_60~69세,"5,223","1,300",402,357,443,287,414,235,684,414,333,354
2021년07월_계_70~79세,"4,164",958,319,304,381,255,354,234,493,339,308,219
2021년07월_계_80~89세,"3,267",655,269,256,372,231,246,193,317,309,243,176
2021년07월_계_90~99세,549,107,30,55,63,30,52,24,60,55,42,31
2021년07월_계_100세 이상,16,6,1,0,1,3,1,0,1,0,1,2
2021년07월_남_총인구수,"13,660","3,791",915,822,"1,096",650,922,579,"2,100","1,231",825,729
2021년07월_남_연령구간인구수,"13,660","3,791",915,822,"1,096",650,922,579,"2,100","1,231",825,729
2021년07월_남_0~9세,519,226,25,12,40,13,27,19,88,29,20,20
2021년07월_남_10~19세,"1,040",344,68,47,70,14,48,19,247,113,43,27
2021년07월_남_20~29세,"1,255",404,64,66,81,40,67,53,245,115,54,66
2021년07월_남_30~39세,870,305,60,38,57,43,38,27,167,52,49,34
2021년07월_남_40~49세,"1,634",538,98,95,101,61,81,50,265,179,102,64
2021년07월_남_50~59세,"2,678",691,163,150,237,136,188,118,396,278,166,155
2021년07월_남_60~69세,"2,748",633,219,195,224,155,222,130,356,228,184,202
2021년07월_남_70~79세,"1,794",420,122,127,168,108,169,97,222,137,122,102
2021년07월_남_80~89세,"1,019",213,89,81,106,75,74,64,97,92,75,53
2021년07월_남_90~99세,100,16,7,11,11,5,8,2,17,8,9,6
2021년07월_남_100세 이상,3,1,0,0,1,0,0,0,0,0,1,0
2021년07월_여_총인구수,"14,175","4,032",954,847,"1,227",681,979,579,"2,098","1,221",859,698
2021년07월_여_연령구간인구수,"14,175","4,032",954,847,"1,227",681,979,579,"2,098","1,221",859,698
2021년07월_여_0~9세,495,228,28,16,26,6,15,11,101,31,20,13
2021년07월_여_10~19세,886,303,59,34,50,24,39,24,198,89,39,27
2021년07월_여_20~29세,"1,015",341,46,37,63,30,58,28,226,95,45,46
2021년07월_여_30~39세,783,325,39,23,51,20,41,20,146,40,45,33
2021년07월_여_40~49세,"1,307",498,72,48,98,35,74,24,232,133,48,45
2021년07월_여_50~59세,"2,134",594,126,131,189,103,158,79,332,181,126,115
2021년07월_여_60~69세,"2,475",667,183,162,219,132,192,105,328,186,149,152
2021년07월_여_70~79세,"2,370",538,197,177,213,147,185,137,271,202,186,117
2021년07월_여_80~89세,"2,248",442,180,175,266,156,172,129,220,217,168,123
2021년07월_여_90~99세,449,91,23,44,52,25,44,22,43,47,33,25
2021년07월_여_100세 이상,13,5,1,0,0,3,1,0,1,0,0,2
