카테고리,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2021년11월_남_100세 이상,19,3,3,0,0,1,2,0,3,2,0,0,0,1,0,0,0,1,1,0,1,1,0,0
2021년11월_여_총인구수,"274,341","22,289","19,975","15,794","24,615","15,918","13,922","3,090","4,803","10,866","6,274","6,830","15,842","5,767","10,255","8,151","5,075","15,861","11,069","11,834","13,946","12,518","11,553","8,094"
2021년11월_여_연령구간인구수,"274,341","22,289","19,975","15,794","24,615","15,918","13,922","3,090","4,803","10,866","6,274","6,830","15,842","5,767","10,255","8,151","5,075","15,861","11,069","11,834","13,946","12,518","11,553","8,094"
2021년11월_여_0~9세,"23,910","2,066","1,091","1,753","3,004","2,293","1,472",170,214,524,298,232,"1,300",294,612,330,368,"1,195",820,"1,086","1,280","1,129",933,"1,446"
2021년11월_여_10~19세,"27,838","2,080","1,629","2,210","3,203","2,009","1,041",174,327,738,421,594,"1,488",420,906,565,335,"1,651","1,296","1,607","1,578","1,296","1,548",722
2021년11월_여_20~29세,"34,827","3,033","2,956","2,017","2,823","1,668","1,594",444,714,"1,417",717,937,"1,935",805,"1,306","1,116",603,"2,157","1,311","1,360","1,924","1,574","1,609",807
2021년11월_여_30~39세,"39,465","3,833","2,209","2,793","4,122","2,964","2,343",420,540,"1,271",651,674,"2,112",658,"1,226",821,750,"2,082","1,176","1,521","2,140","1,638","1,360","2,161"
2021년11월_여_40~49세,"47,240","4,034","2,874","3,282","5,204","3,293","2,158",337,600,"1,403",823,930,"2,401",782,"1,540","1,053",685,"2,704","2,097","2,681","2,650","2,127","2,159","1,423"
2021년11월_여_50~59세,"47,099","3,555","4,230","2,090","3,397","2,060","2,341",754,"1,178","2,250","1,311","1,444","2,951","1,122","2,071","1,654",928,"2,827","1,968","1,690","2,297","2,195","1,987",799
2021년11월_여_60~69세,"31,620","2,219","2,770","1,015","1,870","1,085","1,790",518,738,"1,928","1,165","1,161","2,332",937,"1,570","1,487",823,"1,833","1,203",990,"1,215","1,434","1,070",467
2021년11월_여_70~79세,"13,467",939,"1,260",388,611,326,712,149,271,808,559,511,831,473,583,664,332,840,745,556,538,643,540,188
2021년11월_여_80~89세,"7,363",423,795,209,313,171,383,95,196,441,278,292,397,247,367,382,210,482,407,275,278,375,286,61
2021년11월_여_90~99세,"1,462",106,154,36,62,48,85,29,24,84,49,53,92,29,73,77,39,86,44,65,46,101,61,19
2021년11월_여_100세 이상,50,1,7,1,6,1,3,0,1,2,2,2,3,0,1,2,2,4,2,3,0,6,0,1
