카테고리,전라북도 부안군,전라북도 부안군 부안읍,전라북도 부안군 주산면,전라북도 부안군 동진면,전라북도 부안군 행안면,전라북도 부안군 계화면,전라북도 부안군 보안면,전라북도 부안군 변산면,전라북도 부안군 진서면,전라북도 부안군 백산면,전라북도 부안군 상서면,전라북도 부안군 하서면,전라북도 부안군 줄포면,전라북도 부안군 위도면
2020년06월_계_총인구수,"52,585","20,849","1,994","2,957","2,335","3,535","2,499","4,574","2,362","2,609","2,254","2,772","2,666","1,179"
2020년06월_계_연령구간인구수,"52,585","20,849","1,994","2,957","2,335","3,535","2,499","4,574","2,362","2,609","2,254","2,772","2,666","1,179"
2020년06월_계_0~9세,"2,650","1,650",44,73,101,117,52,222,81,52,74,67,84,33
2020년06월_계_10~19세,"3,837","2,384",72,122,138,157,87,300,119,98,92,121,112,35
2020년06월_계_20~29세,"4,353","2,182",118,207,174,223,142,377,155,150,164,197,197,67
2020년06월_계_30~39세,"4,018","2,060",122,170,194,240,115,371,148,112,134,151,128,73
2020년06월_계_40~49세,"6,272","3,113",163,280,257,384,199,550,223,247,189,272,279,116
2020년06월_계_50~59세,"9,021","3,426",326,507,416,548,464,889,430,425,418,463,485,224
2020년06월_계_60~69세,"9,495","2,874",450,564,429,783,553,859,572,537,451,578,566,279
2020년06월_계_70~79세,"7,651","1,965",381,569,340,701,505,626,406,521,410,532,486,209
2020년06월_계_80~89세,"4,650","1,076",272,412,242,346,340,334,197,412,285,342,274,118
2020년06월_계_90~99세,598,113,42,51,42,34,40,43,27,53,33,47,49,24
2020년06월_계_100세 이상,40,6,4,2,2,2,2,3,4,2,4,2,6,1
2020년06월_남_총인구수,"26,110","10,219",964,"1,505","1,195","1,783","1,235","2,321","1,197","1,280","1,110","1,373","1,309",619
2020년06월_남_연령구간인구수,"26,110","10,219",964,"1,505","1,195","1,783","1,235","2,321","1,197","1,280","1,110","1,373","1,309",619
2020년06월_남_0~9세,"1,385",862,21,50,41,49,26,123,46,27,41,38,46,15
2020년06월_남_10~19세,"2,035","1,256",45,61,73,80,50,156,72,47,49,63,67,16
2020년06월_남_20~29세,"2,418","1,175",67,120,96,124,82,208,91,86,87,112,129,41
2020년06월_남_30~39세,"2,181","1,015",73,104,116,151,70,208,83,76,81,87,68,49
2020년06월_남_40~49세,"3,512","1,539",103,193,166,246,130,341,128,157,110,156,168,75
2020년06월_남_50~59세,"4,903","1,708",182,289,242,328,256,479,231,252,251,280,260,145
2020년06월_남_60~69세,"4,752","1,434",221,300,231,362,286,425,282,264,244,293,265,145
2020년06월_남_70~79세,"3,307",849,157,245,152,309,215,280,194,221,165,211,220,89
2020년06월_남_80~89세,"1,484",357,88,132,67,124,113,94,62,134,76,120,78,39
2020년06월_남_90~99세,128,23,7,11,11,10,7,7,7,16,4,13,7,5
2020년06월_남_100세 이상,5,1,0,0,0,0,0,0,1,0,2,0,1,0
2020년06월_여_총인구수,"26,475","10,630","1,030","1,452","1,140","1,752","1,264","2,253","1,165","1,329","1,144","1,399","1,357",560
2020년06월_여_연령구간인구수,"26,475","10,630","1,030","1,452","1,140","1,752","1,264","2,253","1,165","1,329","1,144","1,399","1,357",560
2020년06월_여_0~9세,"1,265",788,23,23,60,68,26,99,35,25,33,29,38,18
2020년06월_여_10~19세,"1,802","1,128",27,61,65,77,37,144,47,51,43,58,45,19
2020년06월_여_20~29세,"1,935","1,007",51,87,78,99,60,169,64,64,77,85,68,26
2020년06월_여_30~39세,"1,837","1,045",49,66,78,89,45,163,65,36,53,64,60,24
2020년06월_여_40~49세,"2,760","1,574",60,87,91,138,69,209,95,90,79,116,111,41
2020년06월_여_50~59세,"4,118","1,718",144,218,174,220,208,410,199,173,167,183,225,79
2020년06월_여_60~69세,"4,743","1,440",229,264,198,421,267,434,290,273,207,285,301,134
2020년06월_여_70~79세,"4,344","1,116",224,324,188,392,290,346,212,300,245,321,266,120
2020년06월_여_80~89세,"3,166",719,184,280,175,222,227,240,135,278,209,222,196,79
2020년06월_여_90~99세,470,90,35,40,31,24,33,36,20,37,29,34,42,19
2020년06월_여_100세 이상,35,5,4,2,2,2,2,3,3,2,2,2,5,1
