카테고리,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 동남구 목천읍,충청남도 천안시 동남구 풍세면,충청남도 천안시 동남구 광덕면,충청남도 천안시 동남구 북면,충청남도 천안시 동남구 성남면,충청남도 천안시 동남구 수신면,충청남도 천안시 동남구 병천면,충청남도 천안시 동남구 동면,충청남도 천안시 동남구 중앙동,충청남도 천안시 동남구 문성동,충청남도 천안시 동남구 원성1동,충청남도 천안시 동남구 원성2동,충청남도 천안시 동남구 봉명동,충청남도 천안시 동남구 일봉동,충청남도 천안시 동남구 신방동,충청남도 천안시 동남구 청룡동,충청남도 천안시 동남구 신안동,충청남도 천안시 서북구,충청남도 천안시 서북구 성환읍,충청남도 천안시 서북구 성거읍,충청남도 천안시 서북구 직산읍,충청남도 천안시 서북구 입장면,충청남도 천안시 서북구 성정1동,충청남도 천안시 서북구 성정2동,충청남도 천안시 서북구 쌍용1동,충청남도 천안시 서북구 쌍용2동,충청남도 천안시 서북구 쌍용3동,충청남도 천안시 서북구 백석동,충청남도 천안시 서북구 불당동,충청남도 천안시 서북구 부성1동,충청남도 천안시 서북구 부성2동
2020년11월_계_총인구수,"658,977","258,269","24,240","4,145","4,328","4,329","3,258","2,324","6,123","2,126","5,515","3,594","8,820","9,469","18,171","24,210","45,173","55,946","36,498","400,708","24,440","21,945","19,635","8,568","16,087","25,527","14,080","38,085","19,093","40,842","69,980","45,531","56,895"
2020년11월_계_연령구간인구수,"658,977","258,269","24,240","4,145","4,328","4,329","3,258","2,324","6,123","2,126","5,515","3,594","8,820","9,469","18,171","24,210","45,173","55,946","36,498","400,708","24,440","21,945","19,635","8,568","16,087","25,527","14,080","38,085","19,093","40,842","69,980","45,531","56,895"
2020년11월_계_0~9세,"62,331","20,480","1,726",150,109,128,84,55,254,27,167,87,424,291,"1,099","2,210","4,842","6,076","2,751","41,851","1,236","1,883","1,406",290,766,964,889,"3,491","1,476","5,749","10,498","3,874","9,329"
2020년11월_계_10~19세,"68,602","26,326","2,766",240,190,249,177,87,343,75,285,176,676,704,"1,439","3,275","5,930","7,017","2,697","42,276","2,261","2,407","1,885",567,"1,052","1,325","1,226","5,018","2,395","5,724","9,381","4,068","4,967"
2020년11월_계_20~29세,"96,383","35,352","2,787",386,379,379,243,192,782,133,554,497,"1,109","1,162","2,882","2,912","6,247","7,157","7,551","61,031","2,826","2,553","2,412",888,"2,395","6,446","2,502","6,056","2,705","5,124","8,825","10,039","8,260"
2020년11월_계_30~39세,"105,760","33,369","2,536",336,278,333,194,175,554,92,498,395,885,885,"2,508","2,686","6,885","8,544","5,585","72,391","2,191","2,912","2,692",727,"2,208","5,572","1,868","5,133","2,397","7,010","14,815","9,055","15,811"
2020년11월_계_40~49세,"112,012","42,959","4,549",436,453,511,335,247,745,184,678,469,"1,234","1,381","2,971","4,499","9,041","10,156","5,070","69,053","3,768","4,179","3,606","1,111","2,425","3,802","1,941","6,745","3,185","7,848","13,979","7,275","9,189"
2020년11월_계_50~59세,"103,238","43,992","4,405",784,897,863,652,445,"1,199",439,"1,087",674,"1,766","1,906","3,310","4,175","6,852","8,494","6,044","59,246","4,329","3,713","3,464","1,790","3,154","3,530","2,591","6,719","3,543","5,605","8,551","6,518","5,739"
2020년11월_계_60~69세,"63,131","31,020","2,883",917,"1,003",946,753,502,"1,115",508,"1,186",705,"1,475","1,590","2,390","2,532","3,282","5,099","4,134","32,111","3,883","2,444","2,294","1,603","2,319","2,424","1,918","3,096","1,936","2,437","2,584","2,806","2,367"
2020년11월_계_70~79세,"30,101","15,509","1,546",513,566,513,472,339,638,364,701,384,803,990,"1,071","1,274","1,330","2,215","1,790","14,592","2,489","1,175","1,161",966,"1,213",977,754,"1,172",898,884,870,"1,241",792
2020년11월_계_80~89세,"15,031","7,978",916,338,382,345,298,254,415,260,309,176,383,498,423,559,661,"1,007",754,"7,053","1,264",597,634,531,488,407,330,577,478,393,397,572,385
2020년11월_계_90~99세,"2,212","1,195",126,45,69,61,47,26,71,40,39,29,56,57,67,81,100,169,112,"1,017",162,80,77,81,57,74,60,73,78,65,77,78,55
2020년11월_계_100세 이상,176,89,0,0,2,1,3,2,7,4,11,2,9,5,11,7,3,12,10,87,31,2,4,14,10,6,1,5,2,3,3,5,1
2020년11월_남_총인구수,"336,256","130,852","12,384","2,246","2,187","2,233","1,711","1,263","3,252","1,140","2,896","1,882","4,562","4,885","9,283","12,090","23,005","28,002","17,831","205,404","12,702","11,491","10,676","4,594","8,490","13,639","6,944","18,678","9,261","20,502","35,091","23,466","29,870"
2020년11월_남_연령구간인구수,"336,256","130,852","12,384","2,246","2,187","2,233","1,711","1,263","3,252","1,140","2,896","1,882","4,562","4,885","9,283","12,090","23,005","28,002","17,831","205,404","12,702","11,491","10,676","4,594","8,490","13,639","6,944","18,678","9,261","20,502","35,091","23,466","29,870"
2020년11월_남_0~9세,"31,870","10,541",889,81,56,67,43,26,118,15,87,46,235,145,583,"1,121","2,517","3,110","1,402","21,329",630,922,757,144,401,492,478,"1,760",720,"2,911","5,389","1,988","4,737"
2020년11월_남_10~19세,"35,571","13,681","1,444",124,113,131,91,48,181,47,148,87,389,393,768,"1,680","3,102","3,590","1,345","21,890","1,210","1,225",993,310,513,686,617,"2,619","1,303","2,963","4,781","2,104","2,566"
2020년11월_남_20~29세,"50,637","18,737","1,554",245,209,221,141,118,529,80,295,250,622,662,"1,483","1,599","3,375","3,761","3,593","31,900","1,614","1,434","1,456",537,"1,310","3,232","1,281","3,156","1,421","2,698","4,427","5,095","4,239"
2020년11월_남_30~39세,"56,177","17,508","1,311",202,152,195,120,117,338,54,302,233,492,539,"1,391","1,273","3,621","4,289","2,879","38,669","1,221","1,562","1,608",457,"1,304","3,380","1,007","2,541","1,204","3,360","7,313","5,087","8,625"
2020년11월_남_40~49세,"57,800","22,095","2,348",272,249,281,210,168,439,128,378,280,656,718,"1,539","2,248","4,563","5,044","2,574","35,705","2,080","2,264","2,053",658,"1,337","2,140",966,"3,149","1,504","3,978","6,834","3,703","5,039"
2020년11월_남_50~59세,"53,027","22,482","2,368",432,473,471,370,267,618,257,626,370,912,986,"1,690","2,104","3,465","4,249","2,824","30,545","2,360","2,033","1,876",993,"1,706","1,902","1,194","3,196","1,679","2,826","4,473","3,303","3,004"
