,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020년05월_계_총인구수,"529,617","22,961","27,872","31,096","38,136","40,023","27,997","23,011","25,507","27,672","20,984","36,121","39,627","20,853","27,351","24,924","34,076","23,462","21,562","16,382"
2020년05월_계_연령구간인구수,"529,617","22,961","27,872","31,096","38,136","40,023","27,997","23,011","25,507","27,672","20,984","36,121","39,627","20,853","27,351","24,924","34,076","23,462","21,562","16,382"
2020년05월_계_0~9세,"34,989","1,301","1,862","2,388","2,268","3,029","1,250","1,597","1,662","2,048","1,239","2,257","2,509","1,045","1,494","1,183","2,689","2,611","1,531","1,026"
2020년05월_계_10~19세,"55,137","1,824","2,280","2,245","2,848","4,609","3,384","2,895","4,561","5,828","2,433","3,354","3,462","1,980","2,198","2,157","3,186","2,196","2,254","1,443"
2020년05월_계_20~29세,"73,995","3,877","3,285","3,683","6,765","6,630","4,870","3,224","3,379","3,006","2,647","4,444","5,489","3,345","3,282","3,464","4,715","2,726","2,750","2,414"
2020년05월_계_30~39세,"66,600","2,875","3,438","4,820","5,588","5,293","2,793","2,617","1,991","2,085","2,049","4,472","5,053","2,399","3,045","2,719","5,029","4,899","2,910","2,525"
2020년05월_계_40~49세,"88,464","3,511","4,430","4,765","5,562","6,765","4,415","4,170","5,266","6,743","3,646","6,090","5,862","3,226","4,107","3,833","5,808","4,006","3,663","2,596"
2020년05월_계_50~59세,"88,497","3,637","4,641","4,891","5,935","6,102","5,014","3,991","4,619","4,464","3,646","5,724","7,164","3,984","4,892","4,564","5,623","3,055","3,632","2,919"
2020년05월_계_60~69세,"66,218","3,120","4,347","4,498","5,294","4,307","3,420","2,408","2,256","1,977","2,582","4,772","5,751","2,796","4,236","3,621","3,877","2,197","2,722","2,037"
2020년05월_계_70~79세,"37,087","1,981","2,454","2,585","2,695","2,220","1,811","1,338","1,127",972,"1,870","3,294","2,862","1,424","2,775","2,288","1,987","1,163","1,354",887
2020년05월_계_80~89세,"15,977",713,973,"1,060","1,012",916,904,674,546,477,753,"1,484","1,221",555,"1,157",922,981,530,642,457
2020년05월_계_90~99세,"2,388",108,148,146,153,139,130,93,86,59,106,216,206,88,138,146,176,75,101,74
2020년05월_계_100세 이상,265,14,14,15,16,13,6,4,14,13,13,14,48,11,27,27,5,4,3,4
2020년05월_남_총인구수,"256,045","11,844","13,439","14,886","18,675","19,523","13,486","10,975","12,492","13,540","10,167","16,736","19,259","10,323","13,602","12,138","15,842","11,286","10,283","7,549"
2020년05월_남_연령구간인구수,"256,045","11,844","13,439","14,886","18,675","19,523","13,486","10,975","12,492","13,540","10,167","16,736","19,259","10,323","13,602","12,138","15,842","11,286","10,283","7,549"
2020년05월_남_0~9세,"18,038",664,942,"1,248","1,166","1,557",647,820,881,"1,114",623,"1,142","1,311",533,762,599,"1,373","1,353",785,518
2020년05월_남_10~19세,"28,557",970,"1,175","1,151","1,425","2,344","1,895","1,482","2,285","3,072","1,366","1,623","1,792","1,025","1,199","1,097","1,639","1,109","1,189",719
2020년05월_남_20~29세,"38,125","2,257","1,745","1,846","3,446","3,284","2,616","1,630","1,779","1,569","1,381","2,300","2,795","1,676","1,767","1,832","2,297","1,309","1,442","1,154"
2020년05월_남_30~39세,"33,214","1,553","1,730","2,411","2,851","2,623","1,418","1,248",937,906,"1,043","2,193","2,551","1,244","1,595","1,444","2,346","2,436","1,458","1,227"
2020년05월_남_40~49세,"42,184","1,834","2,238","2,394","2,843","3,217","1,962","1,932","2,333","2,977","1,703","2,968","2,797","1,568","2,090","1,877","2,653","1,978","1,660","1,160"
2020년05월_남_50~59세,"42,893","1,834","2,238","2,261","2,840","3,013","2,393","1,936","2,398","2,378","1,815","2,716","3,374","1,969","2,461","2,226","2,588","1,445","1,701","1,307"
2020년05월_남_60~69세,"30,848","1,480","1,941","2,007","2,468","2,064","1,560","1,125","1,188",968,"1,206","2,080","2,789","1,394","2,015","1,696","1,747",960,"1,239",921
2020년05월_남_70~79세,"16,018",916,"1,096","1,158","1,223","1,033",694,559,469,393,749,"1,204","1,310",675,"1,227",992,840,506,587,387
2020년05월_남_80~89세,"5,503",308,298,373,372,343,258,221,194,143,256,454,463,216,448,327,319,173,202,135
2020년05월_남_90~99세,584,24,35,35,39,39,41,21,25,16,25,53,45,18,31,42,39,17,20,19
2020년05월_남_100세 이상,81,4,1,2,2,6,2,1,3,4,0,3,32,5,7,6,1,0,0,2
2020년05월_여_총인구수,"273,572","11,117","14,433","16,210","19,461","20,500","14,511","12,036","13,015","14,132","10,817","19,385","20,368","10,530","13,749","12,786","18,234","12,176","11,279","8,833"
2020년05월_여_연령구간인구수,"273,572","11,117","14,433","16,210","19,461","20,500","14,511","12,036","13,015","14,132","10,817","19,385","20,368","10,530","13,749","12,786","18,234","12,176","11,279","8,833"
2020년05월_여_0~9세,"16,951",637,920,"1,140","1,102","1,472",603,777,781,934,616,"1,115","1,198",512,732,584,"1,316","1,258",746,508
2020년05월_여_10~19세,"26,580",854,"1,105","1,094","1,423","2,265","1,489","1,413","2,276","2,756","1,067","1,731","1,670",955,999,"1,060","1,547","1,087","1,065",724
2020년05월_여_20~29세,"35,870","1,620","1,540","1,837","3,319","3,346","2,254","1,594","1,600","1,437","1,266","2,144","2,694","1,669","1,515","1,632","2,418","1,417","1,308","1,260"
2020년05월_여_30~39세,"33,386","1,322","1,708","2,409","2,737","2,670","1,375","1,369","1,054","1,179","1,006","2,279","2,502","1,155","1,450","1,275","2,683","2,463","1,452","1,298"
2020년05월_여_40~49세,"46,280","1,677","2,192","2,371","2,719","3,548","2,453","2,238","2,933","3,766","1,943","3,122","3,065","1,658","2,017","1,956","3,155","2,028","2,003","1,436"
2020년05월_여_50~59세,"45,604","1,803","2,403","2,630","3,095","3,089","2,621","2,055","2,221","2,086","1,831","3,008","3,790","2,015","2,431","2,338","3,035","1,610","1,931","1,612"
2020년05월_여_60~69세,"35,370","1,640","2,406","2,491","2,826","2,243","1,860","1,283","1,068","1,009","1,376","2,692","2,962","1,402","2,221","1,925","2,130","1,237","1,483","1,116"
