카테고리,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020년02월_계_총인구수,"590,419","42,372","23,504","21,620","32,046","53,368","18,997","22,434","21,630","35,461","25,011","25,850","33,893","14,960","15,994","38,361","44,474","27,352","45,222","23,652","24,218"
2020년02월_계_연령구간인구수,"590,419","42,372","23,504","21,620","32,046","53,368","18,997","22,434","21,630","35,461","25,011","25,850","33,893","14,960","15,994","38,361","44,474","27,352","45,222","23,652","24,218"
2020년02월_계_0~9세,"43,273","4,347","1,399","1,501","1,816","3,124","1,391","1,434","1,302","2,561","1,405","1,567","1,895",573,825,"3,808","4,096","2,734","4,659","1,272","1,564"
2020년02월_계_10~19세,"46,816","4,585","1,468","1,724","2,319","2,715","1,571","1,688","1,462","2,636","1,763","1,720","2,044",496,683,"5,150","5,577","1,769","4,288","1,551","1,607"
2020년02월_계_20~29세,"87,203","5,667","4,571","3,347","4,303","9,006","2,555","3,284","2,983","5,770","4,070","3,860","8,260","1,844","1,954","4,731","5,339","3,933","5,503","3,476","2,747"
2020년02월_계_30~39세,"102,315","7,452","5,635","3,679","4,670","11,095","3,184","3,421","3,623","6,669","4,155","4,592","8,071","2,604","3,234","4,694","5,911","5,253","6,899","3,608","3,866"
2020년02월_계_40~49세,"93,333","7,804","3,332","3,159","4,154","7,790","3,246","3,295","3,349","5,851","3,779","4,094","4,584","1,488","2,019","7,531","8,804","4,210","7,903","3,316","3,625"
2020년02월_계_50~59세,"88,711","6,049","3,101","3,559","5,672","7,735","2,908","3,498","3,567","4,985","4,073","3,930","4,301","2,457","2,404","5,698","6,610","3,888","6,657","3,810","3,809"
2020년02월_계_60~69세,"74,245","4,022","2,125","2,832","4,960","6,908","2,413","3,407","3,070","4,115","3,534","3,451","3,001","3,142","2,641","3,803","4,852","3,143","5,446","3,561","3,819"
2020년02월_계_70~79세,"37,872","1,694","1,095","1,291","2,472","3,700","1,308","1,750","1,630","2,076","1,605","2,011","1,181","1,503","1,506","2,052","2,436","1,676","2,707","2,088","2,091"
2020년02월_계_80~89세,"14,082",658,645,442,"1,381","1,127",360,547,559,660,531,548,472,725,612,755,700,628,993,837,902
2020년02월_계_90~99세,"2,347",83,128,82,285,150,55,88,79,129,89,72,79,125,114,130,127,91,154,108,179
2020년02월_계_100세 이상,222,11,5,4,14,18,6,22,6,9,7,5,5,3,2,9,22,27,13,25,9
2020년02월_남_총인구수,"285,619","20,636","11,104","10,647","15,237","26,024","9,229","10,790","10,611","17,300","12,309","12,423","15,772","7,106","7,523","18,274","21,308","13,849","22,054","11,703","11,720"
2020년02월_남_연령구간인구수,"285,619","20,636","11,104","10,647","15,237","26,024","9,229","10,790","10,611","17,300","12,309","12,423","15,772","7,106","7,523","18,274","21,308","13,849","22,054","11,703","11,720"
2020년02월_남_0~9세,"22,102","2,240",718,780,920,"1,575",715,755,674,"1,294",722,766,"1,007",281,443,"1,957","2,050","1,419","2,317",662,807
2020년02월_남_10~19세,"23,853","2,361",835,960,"1,214","1,338",791,848,742,"1,411",977,872,"1,026",264,340,"2,480","2,668",907,"2,160",827,832
2020년02월_남_20~29세,"40,939","2,639","1,872","1,713","2,215","4,152","1,283","1,572","1,581","2,750","1,990","1,892","2,885",839,949,"2,335","2,583","1,966","2,641","1,669","1,413"
2020년02월_남_30~39세,"51,842","3,539","2,717","1,834","2,372","5,901","1,635","1,700","1,871","3,550","2,153","2,374","4,160","1,361","1,654","2,221","2,805","2,733","3,367","1,934","1,961"
2020년02월_남_40~49세,"46,881","3,837","1,675","1,548","1,975","4,057","1,633","1,583","1,712","2,958","1,919","2,086","2,369",759,"1,063","3,602","4,147","2,284","4,060","1,772","1,842"
2020년02월_남_50~59세,"42,204","2,966","1,493","1,666","2,614","3,626","1,348","1,650","1,696","2,308","1,900","1,744","2,039","1,143","1,107","2,755","3,305","1,944","3,208","1,883","1,809"
2020년02월_남_60~69세,"34,519","1,995","1,019","1,332","2,331","3,082","1,062","1,591","1,356","1,803","1,674","1,498","1,533","1,554","1,156","1,670","2,248","1,519","2,619","1,697","1,780"
2020년02월_남_70~79세,"17,743",808,487,641,"1,080","1,820",618,880,750,951,782,959,574,671,608,965,"1,200",799,"1,287",931,932
2020년02월_남_80~89세,"4,919",229,238,157,432,425,132,185,210,245,174,214,158,208,184,264,271,252,352,290,299
2020년02월_남_90~99세,549,22,48,16,77,41,11,23,17,27,17,16,20,24,19,23,25,15,37,28,43
2020년02월_남_100세 이상,68,0,2,0,7,7,1,3,2,3,1,2,1,2,0,2,6,11,6,10,2
2020년02월_여_총인구수,"304,800","21,736","12,400","10,973","16,809","27,344","9,768","11,644","11,019","18,161","12,702","13,427","18,121","7,854","8,471","20,087","23,166","13,503","23,168","11,949","12,498"
2020년02월_여_연령구간인구수,"304,800","21,736","12,400","10,973","16,809","27,344","9,768","11,644","11,019","18,161","12,702","13,427","18,121","7,854","8,471","20,087","23,166","13,503","23,168","11,949","12,498"
