,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 영귀미면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2021년10월_계_총인구수,"68,499","34,243","4,573","2,440","2,383","3,729","4,060","6,208","3,775","3,920","3,168"
2021년10월_계_연령구간인구수,"68,499","34,243","4,573","2,440","2,383","3,729","4,060","6,208","3,775","3,920","3,168"
2021년10월_계_0~9세,"3,605","2,462",115,45,43,123,111,376,95,120,115
2021년10월_계_10~19세,"4,992","3,417",157,109,82,180,183,416,122,188,138
2021년10월_계_20~29세,"6,494","3,979",346,135,113,273,218,767,217,261,185
2021년10월_계_30~39세,"5,786","3,699",280,97,91,195,220,583,214,233,174
2021년10월_계_40~49세,"8,007","5,169",369,157,168,293,340,539,344,361,267
2021년10월_계_50~59세,"12,179","5,889",742,423,461,750,754,946,728,778,708
2021년10월_계_60~69세,"14,982","5,405","1,340",763,767,"1,053","1,182","1,367","1,130","1,061",914
2021년10월_계_70~79세,"7,158","2,500",694,389,361,480,628,661,538,513,394
2021년10월_계_80~89세,"4,613","1,492",450,270,269,337,377,482,329,366,241
2021년10월_계_90~99세,651,215,78,50,26,42,44,71,56,38,31
2021년10월_계_100세 이상,32,16,2,2,2,3,3,0,2,1,1
2021년10월_남_총인구수,"35,274","17,307","2,422","1,221","1,246","1,912","2,110","3,322","1,985","2,059","1,690"
2021년10월_남_연령구간인구수,"35,274","17,307","2,422","1,221","1,246","1,912","2,110","3,322","1,985","2,059","1,690"
2021년10월_남_0~9세,"1,842","1,249",62,28,28,67,52,188,48,54,66
2021년10월_남_10~19세,"2,528","1,755",86,55,43,93,111,163,60,95,67
2021년10월_남_20~29세,"3,933","2,284",235,81,72,168,130,563,132,154,114
2021년10월_남_30~39세,"3,149","1,959",158,51,50,99,130,333,144,134,91
2021년10월_남_40~49세,"4,299","2,615",244,93,113,159,199,312,199,216,149
2021년10월_남_50~59세,"6,464","3,063",416,222,240,399,408,511,377,432,396
2021년10월_남_60~69세,"7,818","2,716",692,402,407,553,616,738,623,574,497
2021년10월_남_70~79세,"3,412","1,083",361,178,185,245,315,322,254,264,205
2021년10월_남_80~89세,"1,673",534,147,100,98,118,137,179,132,131,97
2021년10월_남_90~99세,153,48,21,11,10,11,11,13,16,5,7
2021년10월_남_100세 이상,3,1,0,0,0,0,1,0,0,0,1
2021년10월_여_총인구수,"33,225","16,936","2,151","1,219","1,137","1,817","1,950","2,886","1,790","1,861","1,478"
2021년10월_여_연령구간인구수,"33,225","16,936","2,151","1,219","1,137","1,817","1,950","2,886","1,790","1,861","1,478"
2021년10월_여_0~9세,"1,763","1,213",53,17,15,56,59,188,47,66,49
2021년10월_여_10~19세,"2,464","1,662",71,54,39,87,72,253,62,93,71
2021년10월_여_20~29세,"2,561","1,695",111,54,41,105,88,204,85,107,71
2021년10월_여_30~39세,"2,637","1,740",122,46,41,96,90,250,70,99,83
2021년10월_여_40~49세,"3,708","2,554",125,64,55,134,141,227,145,145,118
2021년10월_여_50~59세,"5,715","2,826",326,201,221,351,346,435,351,346,312
2021년10월_여_60~69세,"7,164","2,689",648,361,360,500,566,629,507,487,417
2021년10월_여_70~79세,"3,746","1,417",333,211,176,235,313,339,284,249,189
2021년10월_여_80~89세,"2,940",958,303,170,171,219,240,303,197,235,144
2021년10월_여_90~99세,498,167,57,39,16,31,33,58,40,33,24
2021년10월_여_100세 이상,29,15,2,2,2,3,2,0,2,1,0
